,Quartet.Num,330,329,328,327,326,325,324,323,322,321,320,319,318,317,316,315,314,313,312,311,310,309,308,307,306,305,304,303,302,301,300,299,298,297,296,295,294,293,292,291,290,289,288,287,286,285,284,283,282,281,280,279,278,277,276,275,274,273,272,271,270,269,268,267,266,265,264,263,262,261,260,259,258,257,256,255,254,253,252,251,250,249,248,247,246,245,244,243,242,241,240,239,238,237,236,235,234,233,232,231,230,229,228,227,226,225,224,223,222,221,220
1EMQ,4,-0.97971,-0.9586,-1.03465,-1.08889,-1.00189,-0.90545,-0.96823,-1.06349,-1.04532,-1.13631,-0.93896,-0.91772,-0.8771,-0.70845,-0.69282,-0.59866,-0.64891,-0.72282,-0.63304,-0.47947,-0.27167,0.20705,0.82092,1.61774,2.49387,3.43228,4.36865,5.27578,6.05693,6.60928,6.88993,6.72771,6.40375,5.81616,5.10504,4.52123,3.75224,3.36168,3.44905,4.01857,5.34238,7.18554,9.59662,12.3505,15.8943,19.8101,24.2223,29.277,34.9007,41.1563,48.234,56.4084,65.4875,75.8648,87.4746,100.177,113.89,128.694,144.143,160.027,175.939,191.993,206.503,219.481,229.917,237.319,240.929,240.278,234.747,224.71,210.584,192.607,171.553,147.754,122.262,95.5131,68.5641,41.7542,16.0944,-7.83357,-29.0691,-47.6497,-62.838,-74.6739,-83.5311,-88.9727,-91.8968,-92.2778,-90.3813,-87.3655,-83.1047,-78.0332,-72.8911,-66.9094,-61.4104,-56.2728,-51.3815,-46.6284,-42.656,-38.7944,-34.2555,-30.1633,-26.4586,-22.615,-17.7996,-12.8106,-6.79359,-1.17696,3.53014,7.83386,11.9158
1EVM,3,-0.42197,-0.26637,-0.11399,0.05274,-0.05743,-0.1494,-0.01064,-0.07098,-0.07203,-0.12112,-0.09506,-0.18108,-0.21335,-0.22942,-0.14107,0.04379,0.08163,0.13921,0.17435,0.52081,0.55136,0.65709,0.85975,1.23544,1.72919,2.37125,2.83309,3.15482,3.30446,3.36527,3.38511,3.13155,2.78385,2.34326,1.96968,1.82019,1.79658,2.05541,2.47657,3.2365,4.61035,6.43547,8.58306,11.1572,14.0409,17.2022,21.1198,25.5521,30.4705,36.3555,43.1181,50.7673,59.4097,68.7229,78.7419,89.2254,100.347,111.991,123.964,136.427,148.895,161.432,173.97,186.094,197.235,206.642,213.874,218.78,221.129,220.373,216.494,208.911,198.293,184.996,169.099,150.579,129.613,106.908,83.5197,60.1869,37.7143,16.6671,-2.70938,-19.3799,-33.1044,-44.0078,-51.9299,-57.4344,-60.6604,-61.7784,-60.7621,-58.3423,-54.6109,-50.0355,-45.0877,-39.5886,-33.7953,-27.9403,-22.5852,-17.0386,-11.5771,-5.65891,-0.3604,4.59642,9.51986,15.2874,21.0313,26.489,31.3013,35.122,38.8477
1FQP,3,-0.04649,0.06041,0.08983,0.1217,0.17401,0.11494,0.1436,0.15052,0.19197,0.32305,0.48488,0.64818,0.9561,1.29214,1.81717,2.44343,3.20274,4.20181,5.3338,6.84115,8.68249,10.8443,13.3562,16.2403,19.622,23.2512,27.3263,31.5499,35.9407,40.3828,44.6922,48.7855,52.7216,56.2583,59.3256,62.11,64.2568,66.0207,67.3146,67.8646,67.6168,66.7177,64.8006,61.9373,58.0617,53.0696,47.2602,40.7006,33.6065,26.321,18.674,11.2054,3.88806,-2.91424,-9.27892,-15.1852,-20.3942,-24.8775,-28.4764,-31.2989,-33.1626,-34.1586,-34.0613,-32.7955,-30.8616,-28.0039,-24.3218,-20.0262,-15.3035,-10.6566,-6.02771,-1.74389,2.39332,5.76655,8.76487,11.1247,13.0765,14.3301,14.9239,15.052,14.814,14.1013,12.9366,11.3292,9.58501,7.66064,5.72246,3.66119,1.78626,0.00697,-1.49245,-2.58794,-3.24373,-3.66828,-3.34755,-2.76153,-1.5977,-0.00411,1.80547,4.1771,6.9537,10.2019,13.6711,17.3234,20.8368,24.5089,28.04,31.4036,34.212,36.5006,38.2248
1I34,2,0.34679119,0.59237091,0.627916093,0.829647809,0.640268674,0.725061539,0.746497618,0.401967137,0.516352525,0.26443794,0.104,-0.156013342,-0.123631527,0.255492687,1.056702724,2.078844244,2.940337153,4.066942963,5.961059602,8.035984198,10.06076659,13.19418296,17.42173387,23.16930281,29.65704264,36.92494677,45.41682984,55.17867047,65.04164125,74.44297193,83.52547753,91.3585346,98.08368144,102.5682213,104.8202945,105.3257256,103.5203866,100.2486685,95.3666178,89.37417662,81.95195875,73.33193899,63.62731545,52.93938905,41.66876888,29.5339153,16.89954253,3.56457756,-9.884439387,-23.05006259,-35.50906774,-46.90877604,-57.8422659,-68.24663591,-77.08620471,-85.3415265,-92.89208436,-100.6551245,-107.7587043,-113.8338891,-118.6275851,-122.6550713,-124.4949472,-125.0447631,-122.8762142,-118.9610316,-113.0731116,-104.1760411,-94.09865259,-81.82827843,-68.52043384,-54.15683797,-39.39895975,-24.5552315,-10.26445813,4.334040082,17.24411367,29.89240851,41.06916858,50.85634054,58.45014462,63.78388991,66.97954084,67.46978136,66.53761282,64.34632675,60.74573235,56.69528931,50.72828518,44.72184875,38.62374787,32.07085408,25.600281,19.1273415,13.60301354,10.00233782,7.292950833,3.591047377,1.610454538,0.485735364,0.206906139,0.297779337,0.456403067,1.257629368,2.816445401,3.573140607,4.593525604,5.277316999,6.243038369,6.690504315,5.926303228
1LVS,3,-0.56178,-0.61812,-0.66029,-0.57669,-0.73442,-0.8791,-0.7581,-0.63575,-0.4564,-0.26224,0.05461,0.33261,0.89695,1.40268,2.05217,2.84413,3.84055,4.91493,6.39239,8.28955,10.5843,13.1334,16.1236,19.4817,23.308,27.6179,32.1604,36.9975,42.2006,47.5629,52.8132,57.6041,61.9449,65.7175,69.0305,71.359,72.8381,73.4962,73.5723,72.9139,71.4779,69.1807,66.3867,62.9891,58.6558,53.4212,47.7326,41.678,34.9296,27.7526,19.946,11.9384,3.80766,-4.77899,-13.4684,-22.4009,-31.3278,-40.6624,-50.0737,-59.2113,-67.8782,-76.0292,-84.0686,-90.6668,-96.0052,-98.8088,-99.9903,-98.8029,-95.3748,-89.4317,-82.1272,-72.8141,-62.474,-51.3576,-39.246,-27.0874,-15.1219,-2.83849,8.02028,18.1948,27.2263,34.4711,40.02,43.6301,45.3054,45.6922,44.5743,42.0813,38.585,34.5711,30.0204,25.6793,21.7209,18.0725,15.0556,12.5939,11.0877,10.0662,9.88221,10.4475,11.9193,13.6674,16.5106,19.1825,22.8152,26.4751,30.0129,33.0669,35.3379,37.4341,38.9883
1NP9,3,-2.26985,-1.37085,-1.00163,-0.75227,-0.7589,-0.97162,-1.80601,-0.64521,-0.65918,-1.84308,-1.499,-1.08753,-1.03929,0.41116,-0.92887,-2.06837,-1.74164,-0.85368,-1.15684,-1.07169,-2.93614,-1.09211,-2.67564,-1.59378,-2.26272,-2.37888,-0.35201,-3.30606,-1.84487,-2.52629,-2.46853,-3.99976,-5.98948,-6.86575,-10.8103,-10.7594,-11.0261,-9.91595,-9.26499,-9.62935,-7.96885,-5.0146,-1.00855,3.83977,9.96969,18.304,23.1205,33.3554,41.088,48.648,62.6249,74.956,86.6454,98.3143,113.606,127.695,143.435,158.12,175.325,190.203,205.778,221.598,236.682,254.372,268.541,278.526,284.443,290.14,285.895,276.496,264.983,248.451,224.918,201.468,173.721,147.017,117.69,84.4214,51.6294,21.7372,-8.79845,-34.8458,-55.9709,-69.4123,-90.3559,-97.3939,-102.556,-106.913,-104.197,-101.59,-97.4695,-92.587,-82.1134,-79.5902,-66.9245,-60.1539,-49.802,-40.46,-35.052,-25.0427,-21.0687,-12.5315,-8.27704,3.5916,10.0661,19.3857,19.705,32.5879,38.6372,54.4338,65.3953
1XAV,3,0.01279,-0.02738,0.06542,0.06482,0.09684,0.08742,0.09265,-0.06699,-0.02311,0.000747206,0.07626,-0.04873,-0.12878,-0.22759,-0.19168,-0.17246,-0.3127,-0.61447,-0.75652,-0.64099,-0.60201,-0.47864,-0.44445,-0.42567,-0.4382,-0.37048,-0.47717,-0.8522,-1.24003,-1.95573,-2.54183,-3.37858,-4.23652,-5.14352,-6.02438,-6.65362,-7.04756,-7.14503,-7.01747,-6.37544,-5.25325,-3.63227,-1.4786,1.06794,4.01361,7.59662,11.5843,16.2829,21.4796,27.4171,34.1047,41.6765,50.2292,59.7131,70.1683,81.3278,93.6197,106.496,119.98,133.892,148.003,162.068,175.841,188.391,199.423,208.363,214.423,217.066,216.352,211.912,203.837,192.498,177.888,160.67,141.125,119.304,96.0421,71.7376,46.9925,22.7487,-0.77244,-22.5107,-41.7102,-58.1419,-71.591,-81.5007,-88.6374,-92.7548,-94.2513,-93.7425,-91.0717,-86.8556,-81.6291,-75.3836,-68.7989,-62.1012,-55.2384,-48.7511,-42.6218,-36.7425,-31.6524,-26.6549,-22.1173,-17.7381,-13.5169,-8.87365,-4.39711,-0.06494,3.66836,6.77993,9.53349
139D,4,0.07702,0.67337,0.70114,-0.64324,0.31407,-0.85707,0.10755,-0.42523,-0.75418,0.11699,0.7514,0.64093,-0.29833,0.01946,0.97683,-0.19943,0.5661,0.73625,0.51,0.91753,1.35444,0.28172,1.19205,1.3821,2.23037,1.96084,3.0621,2.60886,2.74774,1.18835,0.87864,-0.62258,-1.08395,-0.86278,-1.55741,-1.3553,0.80752,1.05537,6.89833,10.8331,16.0907,22.9758,29.4673,37.4909,44.4897,53.7286,63.0209,73.7754,87.3247,102.257,116.264,133.625,152.843,172.035,191.167,211.574,228.358,247.427,264.834,285.524,303.612,322.017,340.839,356.371,370.875,382.69,387.038,386.505,375.425,362.347,340.22,321.021,291.62,261.937,228.903,191.724,154.607,109.966,71.6265,31.9637,-2.18505,-36.6632,-57.0112,-76.8311,-93.2808,-103.876,-107.222,-113.591,-110.089,-106.874,-99.7241,-91.6071,-83.8112,-74.9752,-65.4996,-56.0052,-48.0302,-38.2865,-30.6931,-24.9001,-15.8894,-8.90846,-2.63364,5.2822,11.2366,14.6739,20.5408,31.202,37.7027,49.6742,58.8879
148D,2,-0.66313,-0.73045,-0.75533,-0.8553,-0.76286,-0.68374,-0.6257,-0.47075,-0.34285,-0.21463,-0.10144,0.01047,0.23495,0.48205,0.68292,0.9103,1.31247,1.79575,2.53108,3.46221,4.62233,6.16842,8.11849,10.445,13.1857,16.4239,20.0807,24.2273,28.6706,33.4027,38.1377,42.8564,47.1099,50.9232,54.168,56.6607,58.3968,59.3581,59.46,59.1712,58.0068,56.3389,54.0198,51.1707,47.9444,44.2815,40.2467,36.0868,31.9483,27.6103,23.4556,19.5287,15.8178,12.2465,9.05539,5.91532,3.19398,0.63404,-1.93453,-3.81027,-5.48105,-6.58867,-7.41192,-7.59279,-7.26967,-6.17841,-4.70681,-2.63069,-0.26335,2.37653,5.37947,8.18631,11.2046,13.9989,16.546,18.7628,20.8429,21.9937,22.8601,23.2402,23.0663,22.5197,21.3902,19.6095,17.739,15.5914,13.3835,11.1321,8.68353,6.35644,4.0923,2.19898,0.40808,-0.71298,-2.07633,-2.86591,-3.5254,-3.51765,-3.53936,-3.34579,-2.70492,-1.82684,-0.80666,0.33254,1.51244,2.9712,4.95334,6.65118,8.01705,9.38846,10.5637
