#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/DSSP-T0/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3-Helix   4-Helix   5-Helix   Bend      Beta-Bridge Beta-strand Turn      Unclassified 
# Helix  :    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Strand :    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# Bridge :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# Other  :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    1.0000  


#|  Wavelength    Helix          Strand         Bridge          Other            
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.012      -----     -----      -----     -----      -----     ----- 
#   0.150     0.012     0.012      0.048     0.044      0.015     0.026      0.029     0.054 
#   0.450     0.068     0.054      0.096     0.059      0.084     0.071      0.105     0.069 
#   0.750     0.096     0.057      0.118     0.068      0.106     0.069      0.137     0.077 
#   1.050     0.103     0.059      0.139     0.080      0.116     0.074      0.160     0.088 
#   1.350     0.116     0.066      0.163     0.088      0.138     0.079      0.189     0.097 
#   1.650     0.126     0.069      0.186     0.100      0.157     0.089      0.218     0.106 
#   1.950     0.135     0.072      0.205     0.110      0.170     0.090      0.242     0.116 
#   2.250     0.142     0.072      0.215     0.117      0.182     0.095      0.258     0.126 
#   2.550     0.151     0.074      0.220     0.118      0.194     0.101      0.267     0.131 
#   2.850     0.158     0.076      0.225     0.118      0.202     0.103      0.271     0.130 
#   3.150     0.167     0.079      0.228     0.116      0.206     0.102      0.273     0.128 
#   3.450     0.172     0.080      0.230     0.116      0.217     0.106      0.277     0.126 
#   3.750     0.181     0.082      0.234     0.113      0.224     0.107      0.280     0.124 
#   4.050     0.187     0.084      0.238     0.111      0.230     0.107      0.282     0.121 
#   4.350     0.193     0.084      0.241     0.108      0.236     0.108      0.286     0.119 
#   4.650     0.200     0.086      0.246     0.108      0.243     0.109      0.291     0.119 
#   4.950     0.208     0.087      0.252     0.107      0.249     0.109      0.295     0.117 
#   5.250     0.215     0.090      0.258     0.106      0.255     0.108      0.299     0.116 
#   5.550     0.222     0.091      0.262     0.103      0.261     0.109      0.304     0.114 
#   5.850     0.229     0.093      0.267     0.103      0.266     0.108      0.308     0.114 
#   6.150     0.236     0.094      0.270     0.101      0.272     0.109      0.315     0.112 
#   6.450     0.240     0.095      0.277     0.101      0.275     0.109      0.320     0.113 
#   6.750     0.250     0.097      0.282     0.099      0.281     0.112      0.324     0.111 
#   7.050     0.252     0.098      0.289     0.099      0.286     0.112      0.329     0.111 
#   7.350     0.260     0.101      0.296     0.099      0.289     0.112      0.333     0.110 
#   7.650     0.264     0.101      0.303     0.099      0.294     0.113      0.340     0.109 
#   7.950     0.268     0.104      0.311     0.099      0.297     0.115      0.346     0.111 
#   8.250     0.272     0.104      0.318     0.098      0.302     0.117      0.350     0.110 
#   8.550     0.276     0.109      0.327     0.101      0.305     0.115      0.352     0.109 
#   8.850     0.281     0.110      0.334     0.100      0.308     0.117      0.357     0.110 
#   9.150     0.283     0.112      0.338     0.102      0.312     0.118      0.361     0.110 
#   9.450     0.289     0.114      0.346     0.103      0.317     0.120      0.370     0.109 
#   9.750     0.291     0.116      0.353     0.104      0.317     0.119      0.373     0.110 
#  10.050     0.291     0.116      0.356     0.101      0.320     0.120      0.381     0.110 
#  10.350     0.294     0.116      0.362     0.102      0.323     0.120      0.388     0.112 
#  10.650     0.297     0.120      0.373     0.103      0.329     0.119      0.388     0.110 
#  10.950     0.302     0.123      0.378     0.104      0.332     0.121      0.398     0.112 
#  11.250     0.301     0.122      0.390     0.106      0.331     0.121      0.400     0.112 
#  11.550     0.307     0.124      0.397     0.107      0.335     0.120      0.408     0.111 
#  11.850     0.305     0.122      0.407     0.110      0.337     0.119      0.410     0.109 
#  12.150     0.304     0.123      0.413     0.108      0.337     0.120      0.415     0.110 
#  12.450     0.309     0.125      0.420     0.112      0.340     0.122      0.419     0.110 
#  12.750     0.311     0.124      0.427     0.111      0.341     0.122      0.424     0.107 
#  13.050     0.311     0.124      0.433     0.115      0.347     0.120      0.431     0.113 
#  13.350     0.315     0.124      0.437     0.115      0.349     0.121      0.435     0.110 
#  13.650     0.317     0.123      0.436     0.115      0.349     0.120      0.441     0.109 
#  13.950     0.317     0.125      0.436     0.107      0.354     0.122      0.446     0.113 
#  14.250     0.318     0.124      0.443     0.107      0.354     0.120      0.447     0.106 
#  14.550     0.324     0.124      0.452     0.105      0.358     0.120      0.453     0.110 
#  14.850     0.323     0.126      0.462     0.106      0.360     0.122      0.456     0.107 
#  15.150     0.323     0.128      0.465     0.112      0.359     0.122      0.457     0.103 
#  15.450     0.328     0.127      0.457     0.108      0.364     0.120      0.466     0.105 
#  15.750     0.329     0.130      0.472     0.110      0.366     0.121      0.466     0.107 
#  16.050     0.328     0.130      0.472     0.104      0.366     0.120      0.475     0.107 
#  16.350     0.332     0.128      0.485     0.103      0.369     0.118      0.479     0.106 
#  16.650     0.336     0.131      0.486     0.099      0.370     0.123      0.484     0.106 
#  16.950     0.336     0.132      0.499     0.101      0.370     0.120      0.484     0.102 
#  17.250     0.335     0.135      0.508     0.097      0.372     0.121      0.492     0.098 
#  17.550     0.336     0.138      0.522     0.098      0.375     0.121      0.493     0.101 
#  17.850     0.337     0.139      0.535     0.100      0.381     0.123      0.496     0.101 
#  18.150     0.337     0.137      0.533     0.096      0.382     0.123      0.504     0.102 
#  18.450     0.340     0.139      0.568     0.106      0.385     0.123      0.514     0.110 
#  18.750     0.344     0.138      0.568     0.104      0.382     0.123      0.516     0.101 
#  19.050     0.349     0.140      0.567     0.109      0.386     0.124      0.513     0.102 
#  19.350     0.346     0.142      0.565     0.107      0.388     0.126      0.515     0.102 
#  19.650     0.346     0.146      0.558     0.115      0.391     0.126      0.516     0.098 
#  19.950     0.350     0.151      0.564     0.102      0.388     0.127      0.522     0.092 
#  20.250     0.351     0.148      0.565     0.095      0.393     0.124      0.529     0.095 
#  20.550     0.347     0.152      0.569     0.109      0.393     0.126      0.530     0.097 
#  20.850     0.344     0.154      0.581     0.096      0.394     0.128      0.541     0.096 
#  21.150     0.331     0.158      0.642     0.111      0.412     0.148      0.589     0.096 
