#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/PCA_2/Baselines/SC_H1869/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/  3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# GRP1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# GRP2 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP5 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000  
# GRP6 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     213.0        -34.8364         -18.2976         -4.4190         22.3217         2.0526         -1.4376      
     212.0        -34.9371         -17.6830         -2.9244         28.8453         -0.1525         -1.3963      
     211.0        -35.4833         -16.1268         -0.3401         35.3594         -3.2678         -1.3014      
     210.0        -36.0067         -14.2531         2.3140         42.0967         -6.9035         -1.0968      
     209.0        -36.0257         -12.2341         3.0201         49.5103         -10.8906         -0.7008      
     208.0        -35.0521         -9.6360         2.9464         57.2058         -15.6563         -0.1280      
     207.0        -32.6442         -6.1507         4.2362         63.9129         -21.7976         0.6069      
     206.0        -28.3942         -2.4171         3.2217         70.5293         -28.2465         1.5268      
     205.0        -22.6898         2.0399         5.1351         76.2825         -35.6100         2.2224      
     204.0        -15.4382         5.9108         8.1323         81.7458         -42.4892         2.5935      
     203.0        -6.8898         8.7825         9.4901         88.0165         -47.7114         2.5367      
     202.0        2.5931         10.8063         14.1344         94.6590         -51.6107         1.6119      
     201.0        13.1788         11.4262         19.4177         101.9001         -53.5562         0.0507      
     200.0        24.8968         10.4826         22.6225         109.9882         -53.3419         -1.9224      
     199.0        37.2323         8.7236         25.5868         118.5049         -51.8462         -4.1340      
     198.0        49.7057         5.7190         23.4584         126.3734         -48.3467         -5.9445      
     197.0        61.0132         2.6680         17.4722         131.7025         -43.7969         -7.1376      
     196.0        70.0868         0.5180         9.9102         131.4772         -38.8451         -7.5838      
     195.0        76.5989         -1.7161         -1.5600         126.0996         -32.4956         -7.1879      
     194.0        80.6086         -3.9252         -12.7122         117.3972         -25.9232         -6.2793      
     193.0        82.1310         -6.0775         -20.3620         105.8880         -19.5789         -5.1063      
     192.0        81.5244         -7.8942         -25.1152         93.4172         -14.7193         -3.3212      
     191.0        79.0044         -9.3030         -25.7127         79.7345         -11.0786         -1.5606      
     190.0        74.6397         -9.5996         -22.9692         62.9481         -8.9560         0.4649      
     189.0        68.7780         -10.1199         -19.2180         46.9247         -7.4763         2.3897      
     188.0        62.3376         -11.1349         -12.9627         32.7510         -6.1961         3.5323      
     187.0        55.8951         -13.2285         -8.3277         20.1780         -4.5515         4.3697      
     186.0        49.6435         -15.5034         -2.7192         9.7925         -3.8253         4.9245      
     185.0        44.2062         -18.7266         -0.0581         1.8121         -2.2657         5.0288      
     184.0        39.3595         -22.1753         0.3866         -4.2026         -1.1342         5.1516      
     183.0        34.9933         -25.8149         -1.7540         -7.0731         -0.4222         5.2499      
     182.0        31.5154         -29.4312         -3.5362         -9.6123         0.4244         4.8090      
     181.0        28.7784         -32.7035         -8.0916         -12.3451         1.3710         4.3997      
     180.0        26.3827         -35.1958         -9.0258         -15.5339         1.8802         3.5241      
     179.0        24.4999         -37.5978         -12.2024         -17.2775         2.7821         2.5452      
     178.0        22.7645         -39.3970         -17.7537         -18.7365         3.6813         1.8525      
