#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     213.0        2.5255         0.6010         -3.1205         3.5568         -3.4824         8.9332      
     212.0        2.6709         0.3031         -3.2223         3.8882         -3.8419         9.1353      
     211.0        2.7964         -0.0462         -3.2648         4.0783         -4.2180         9.3922      
     210.0        2.9688         -0.2948         -3.4195         4.4797         -4.7378         9.6619      
     209.0        3.0980         -0.1770         -3.7860         4.8702         -5.2932         9.9971      
     208.0        3.2870         -0.0509         -4.3045         5.1354         -5.7932         10.3398      
     207.0        3.4258         0.1270         -4.9808         5.5454         -6.2942         10.7037      
     206.0        3.5821         0.3073         -5.6963         5.8843         -6.8724         11.1432      
     205.0        3.6846         0.5014         -6.5583         6.2320         -7.2582         11.4391      
     204.0        4.0243         0.8081         -7.4236         6.6711         -7.7801         11.4917      
     203.0        4.6579         1.1766         -8.3790         7.0036         -8.2366         11.3090      
     202.0        5.8093         1.4017         -9.6618         7.2928         -8.6642         10.9902      
     201.0        7.3737         1.3906         -11.0255         7.2615         -8.9259         10.4437      
     200.0        9.2324         1.2279         -12.4701         7.0178         -9.1158         9.8475      
     199.0        11.3210         0.9965         -13.8828         6.8799         -9.5786         9.2929      
     198.0        13.4576         0.7137         -14.8432         6.5156         -10.2747         8.8786      
     197.0        15.5169         0.2967         -15.3712         5.9319         -10.9921         8.6876      
     196.0        17.3235         -0.4706         -15.1796         5.0151         -11.7544         8.6033      
     195.0        18.0174         -1.5446         -13.9595         3.8904         -12.2869         8.5258      
     194.0        17.1986         -2.5342         -11.8565         2.7221         -12.1584         8.1000      
     193.0        15.1168         -3.0567         -9.2056         1.7409         -11.7171         7.5071      
     192.0        11.7099         -3.3072         -6.0445         1.0056         -10.7066         6.5795      
     191.0        7.5183         -3.1944         -2.6073         0.5558         -9.5762         5.5984      
     190.0        3.2122         -3.1498         0.7745         0.0074         -8.0978         4.6560      
     189.0        -1.4884         -2.6769         3.9752         -0.0803         -6.7199         3.8184      
     188.0        -6.5010         -1.6366         7.2125         -0.2431         -5.3083         3.0897      
     187.0        -10.8908         -0.2860         9.8561         -0.4634         -3.9091         2.5854      
     186.0        -14.7358         1.2347         11.9821         -0.5819         -2.5644         2.1469      
     185.0        -17.3975         2.7415         13.8188         -0.6939         -2.1742         2.1206      
     184.0        -18.7162         4.1189         14.8496         -1.2705         -1.9063         2.5454      
     183.0        -19.1155         5.8688         14.9127         -1.3040         -2.0861         3.1746      
     182.0        -18.9597         7.4758         14.8414         -1.6454         -2.1975         3.6248      
     181.0        -18.1254         8.8220         14.1765         -1.7838         -2.2972         4.0667      
     180.0        -16.8630         9.7916         12.9937         -1.8349         -2.1409         4.4664      
     179.0        -14.9584         10.5722         11.5207         -1.3085         -2.6858         4.9540      
     178.0        -12.8097         10.8912         9.6273         -1.0114         -2.7690         5.7088      
