#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/DS6-1/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# HEL1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000  
# HEL2 :    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BST1 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BST2 :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# TRN1 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000  
# COIL :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      HEL1           HEL2           BST1           BST2           TRN1           COIL           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     212.0        -32.9573         -1.2824         -6.9090         26.3369         3.8297         -8.6621      
     211.0        -33.3484         -4.3458         -5.7327         31.0937         2.5379         -8.4302      
     210.0        -33.6952         -8.4327         -4.3594         36.0100         1.1232         -8.0275      
     209.0        -33.6013         -13.4193         -2.6221         41.3502         -0.7184         -7.6673      
     208.0        -32.6152         -19.2192         -0.0817         46.7033         -3.4270         -7.2391      
     207.0        -30.2618         -26.5145         3.3695         51.1451         -7.2352         -6.5807      
     206.0        -26.2468         -34.2371         7.5008         55.1607         -11.9784         -6.1328      
     205.0        -20.8622         -42.5614         12.1193         58.4975         -17.2701         -5.5930      
     204.0        -14.0174         -51.0655         15.9018         61.7178         -22.1445         -5.0778      
     203.0        -6.0227         -57.6123         18.8875         65.4632         -26.6506         -5.0506      
     202.0        2.9489         -62.4190         21.0225         69.6526         -30.3699         -5.5127      
     201.0        12.9962         -65.1593         21.8752         74.2022         -33.0863         -6.4023      
     200.0        24.1200         -66.0112         21.4887         79.3773         -34.9893         -7.8861      
     199.0        35.9018         -64.8516         20.7448         84.2553         -36.7765         -9.7742      
     198.0        47.7150         -61.4336         19.3668         88.1323         -38.1883         -11.9913      
     197.0        58.3630         -56.7329         18.0149         89.9983         -39.3182         -14.1639      
     196.0        66.8818         -51.1674         17.1468         87.8459         -39.7802         -15.8678      
     195.0        72.8467         -43.2781         16.0996         81.7988         -39.0413         -17.2661      
     194.0        76.3804         -35.2409         14.1178         73.9124         -36.9919         -17.7077      
     193.0        77.6936         -27.8798         11.2698         64.5103         -33.5682         -17.2501      
     192.0        77.0033         -22.4224         7.7598         54.7996         -29.6750         -15.4260      
     191.0        74.6179         -19.2702         3.7214         44.8038         -25.0146         -12.8972      
     190.0        70.5752         -18.3161         0.0872         32.9722         -20.0230         -9.6725      
     189.0        65.1444         -18.3631         -3.6686         22.1058         -14.9145         -6.4253      
     188.0        59.1580         -18.1165         -7.3992         12.4109         -10.1491         -3.7287      
     187.0        53.1244         -18.8403         -11.8537         4.6286         -5.1001         -1.5681      
     186.0        47.2229         -20.8756         -16.2648         -1.3677         -0.6378         0.4469      
     185.0        42.0347         -21.7979         -20.3866         -6.1085         3.1757         1.2964      
     184.0        37.3238         -23.0103         -23.7318         -9.6819         5.8216         1.5173      
     183.0        32.9892         -24.3491         -26.3776         -10.9569         7.0740         1.2729      
     182.0        29.3582         -23.7882         -28.5850         -12.0879         7.2020         0.5527      
     181.0        26.3722         -23.8913         -30.3839         -12.8835         7.1308         -0.4254      
     180.0        23.7458         -23.0421         -31.4798         -13.7201         6.5612         -1.6242      
     179.0        21.6438         -22.6731         -32.3508         -13.6453         6.1772         -3.1673      
     178.0        19.6160         -21.2089         -32.0869         -13.9611         5.0427         -5.0609      
