#Bayesian error parameters for SS estimation (2D CD errors, including  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2		
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 3.450  1.900  1.906e-20 
 3.750  1.900  6.651e-22 
 4.050  1.900  1.401e-23 
 4.350  1.900  1.783e-25 
 4.650  1.900  1.370e-27 
 4.950  1.900  6.379e-30 
 5.250  1.900  1.806e-32 
 5.550  1.900  3.143e-35 
 5.850  1.900  4.896e-38 
 0.150  2.100  2.664e-24 
 0.450  2.100  7.606e-24 
 0.750  2.100  1.440e-23 
 1.050  2.100  1.809e-23 
 1.350  2.100  1.508e-23 
 1.650  2.100  8.344e-24 
 1.950  2.100  3.069e-24 
 2.250  2.100  7.508e-25 
 2.550  2.100  1.222e-25 
 2.850  2.100  1.324e-26 
 3.150  2.100  9.516e-28 
 3.450  2.100  4.527e-29 
 3.750  2.100  1.421e-30 
 4.050  2.100  2.934e-32 
 4.350  2.100  3.987e-34 
 4.650  2.100  3.568e-36 
 4.950  2.100  2.110e-38 
 5.250  2.100  8.274e-41 
 5.550  2.100  2.158e-43 
 5.850  2.100  4.237e-46 
 0.150  2.300  5.769e-33 
 0.450  2.300  1.647e-32 
 0.750  2.300  3.119e-32 
 1.050  2.300  3.915e-32 
 1.350  2.300  3.258e-32 
 1.650  2.300  1.798e-32 
 1.950  2.300  6.580e-33 
 2.250  2.300  1.596e-33 
 2.550  2.300  2.568e-34 
 2.850  2.300  2.739e-35 
 3.150  2.300  1.937e-36 
 3.450  2.300  9.083e-38 
 3.750  2.300  2.824e-39 
 4.050  2.300  5.821e-41 
 4.350  2.300  7.957e-43 
 4.650  2.300  7.211e-45 
 4.950  2.300  4.333e-47 
 5.250  2.300  1.726e-49 
 5.550  2.300  4.561e-52 
 5.850  2.300  8.073e-55 
 0.150  2.500  4.582e-43 
 0.450  2.500  1.308e-42 
 0.750  2.500  2.477e-42 
 1.050  2.500  3.109e-42 
 1.350  2.500  2.588e-42 
 1.650  2.500  1.428e-42 
 1.950  2.500  5.226e-43 
 2.250  2.500  1.268e-43 
 2.550  2.500  2.040e-44 
 2.850  2.500  2.175e-45 
 3.150  2.500  1.538e-46 
 3.450  2.500  7.214e-48 
 3.750  2.500  2.243e-49 
 4.050  2.500  4.623e-51 
 4.350  2.500  6.319e-53 
 4.650  2.500  5.727e-55 
 4.950  2.500  3.441e-57 
 5.250  2.500  1.371e-59 
 5.550  2.500  3.625e-62 
 5.850  2.500  6.384e-65 
 0.150  2.700  1.347e-54 
 0.450  2.700  7.109e-54 
 0.750  2.700  1.907e-52 
 1.050  2.700  2.232e-51 
 1.350  2.700  5.874e-51 
 1.650  2.700  3.376e-51 
 1.950  2.700  4.236e-52 
 2.250  2.700  1.188e-53 
 2.550  2.700  1.278e-55 
 2.850  2.700  6.424e-57 
 3.150  2.700  4.481e-58 
 3.450  2.700  2.101e-59 
 3.750  2.700  6.532e-61 
 4.050  2.700  1.347e-62 
 4.350  2.700  1.844e-64 
 4.650  2.700  1.692e-66 
 4.950  2.700  1.121e-68 
 5.250  2.700  7.716e-71 
 5.550  2.700  8.519e-73 
 5.850  2.700  9.725e-75 
 0.150  2.900  4.443e-61 
 0.450  2.900  1.135e-58 
 0.750  2.900  6.312e-57 
 1.050  2.900  7.648e-56 
 1.350  2.900  2.018e-55 
 1.650  2.900  1.160e-55 
 1.950  2.900  1.452e-56 
 2.250  2.900  3.960e-58 
 2.550  2.900  2.352e-60 
 2.850  2.900  3.042e-63 
 3.150  2.900  8.570e-67 
 3.450  2.900  5.496e-71 
 3.750  2.900  1.068e-73 
 4.050  2.900  8.227e-75 
 4.350  2.900  8.376e-76 
 4.650  2.900  6.345e-77 
 4.950  2.900  3.141e-78 
 5.250  2.900  1.003e-79 
 5.550  2.900  2.085e-81 
 5.850  2.900  2.902e-83 
 0.150  3.100  3.517e-66 
 0.450  3.100  8.983e-64 
 0.750  3.100  4.997e-62 
 1.050  3.100  6.055e-61 
 1.350  3.100  1.598e-60 
 1.650  3.100  9.184e-61 
 1.950  3.100  1.150e-61 
 2.250  3.100  3.135e-63 
 2.550  3.100  1.862e-65 
 2.850  3.100  2.408e-68 
 3.150  3.100  6.784e-72 
 3.450  3.100  4.163e-76 
 3.750  3.100  5.825e-81 
 4.050  3.100  3.407e-83 
 4.350  3.100  3.378e-84 
 4.650  3.100  2.544e-85 
 4.950  3.100  1.452e-86 
 5.250  3.100  6.308e-88 
 5.550  3.100  2.096e-89 
 5.850  3.100  5.350e-91 
 0.150  3.300  6.407e-72 
 0.450  3.300  1.636e-69 
 0.750  3.300  9.103e-68 
 1.050  3.300  1.103e-66 
 1.350  3.300  2.910e-66 
 1.650  3.300  1.673e-66 
 1.950  3.300  2.094e-67 
 2.250  3.300  5.710e-69 
 2.550  3.300  3.391e-71 
 2.850  3.300  4.387e-74 
 3.150  3.300  1.236e-77 
 3.450  3.300  7.583e-82 
 3.750  3.300  1.014e-86 
 4.050  3.300  7.806e-91 
 4.350  3.300  7.378e-92 
 4.650  3.300  5.546e-93 
 4.950  3.300  3.191e-94 
 5.250  3.300  1.405e-95 
 5.550  3.300  4.732e-97 
 5.850  3.300  1.220e-98 
 0.150  3.500  2.685e-78 
 0.450  3.500  6.859e-76 
 0.750  3.500  3.815e-74 
 1.050  3.500  4.623e-73 
 1.350  3.500  1.220e-72 
 1.650  3.500  7.012e-73 
 1.950  3.500  8.778e-74 
 2.250  3.500  2.393e-75 
 2.550  3.500  1.421e-77 
 2.850  3.500  1.839e-80 
 3.150  3.500  5.180e-84 
 3.450  3.500  3.178e-88 
 3.750  3.500  4.248e-93 
 4.050  3.500  1.592e-98 
 4.350  3.500  3.493e-100 
 4.650  3.500  2.625e-101 
 4.950  3.500  1.510e-102 
 5.250  3.500  6.649e-104 
 5.550  3.500  2.240e-105 
 5.850  3.500  5.774e-107 
 0.150  3.700  2.590e-85 
 0.450  3.700  6.615e-83 
 0.750  3.700  3.680e-81 
 1.050  3.700  4.459e-80 
 1.350  3.700  1.177e-79 
 1.650  3.700  6.763e-80 
 1.950  3.700  8.466e-81 
 2.250  3.700  2.308e-82 
 2.550  3.700  1.371e-84 
 2.850  3.700  1.773e-87 
 3.150  3.700  4.996e-91 
 3.450  3.700  3.066e-95 
 3.750  3.700  4.097e-100 
 4.050  3.700  1.196e-105 
 4.350  3.700  3.405e-109 
 4.650  3.700  2.554e-110 
 4.950  3.700  1.469e-111 
 5.250  3.700  6.468e-113 
 5.550  3.700  2.179e-114 
 5.850  3.700  5.618e-116 
 0.150  3.900  5.748e-93 
 0.450  3.900  1.468e-90 
 0.750  3.900  8.167e-89 
 1.050  3.900  9.895e-88 
 1.350  3.900  2.611e-87 
 1.650  3.900  1.501e-87 
 1.950  3.900  1.879e-88 
 2.250  3.900  5.123e-90 
 2.550  3.900  3.042e-92 
 2.850  3.900  3.935e-95 
 3.150  3.900  1.109e-98 
 3.450  3.900  6.803e-103 
 3.750  3.900  9.092e-108 
 4.050  3.900  2.647e-113 
 4.350  3.900  8.472e-119 
 4.650  3.900  5.107e-120 
 4.950  3.900  2.938e-121 
 5.250  3.900  1.293e-122 
 5.550  3.900  4.357e-124 
 5.850  3.900  1.123e-125 
 0.150  4.100  2.935e-101 
 0.450  4.100  7.497e-99 
 0.750  4.100  4.170e-97 
 1.050  4.100  5.053e-96 
 1.350  4.100  1.333e-95 
 1.650  4.100  7.664e-96 
 1.950  4.100  9.594e-97 
 2.250  4.100  2.616e-98 
 2.550  4.100  1.554e-100 
 2.850  4.100  2.010e-103 
 3.150  4.100  5.662e-107 
 3.450  4.100  3.474e-111 
 3.750  4.100  4.643e-116 
 4.050  4.100  1.352e-121 
 4.350  4.100  8.848e-128 
 4.650  4.100  2.099e-130 
 4.950  4.100  1.207e-131 
 5.250  4.100  5.315e-133 
 5.550  4.100  1.790e-134 
 5.850  4.100  4.616e-136 
&
