#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# Alpha :   1.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Coil :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000  


#|  Wavelength      Alpha          Beta           Coil           
#      nm        T (10^3)       T (10^3)       T (10^3)      
#   4.650     0.154     0.060      0.240     0.082      0.173     0.064      0.280     0.108 
#   4.950     0.162     0.063      0.253     0.083      0.181     0.064      0.291     0.109 
#   5.250     0.169     0.065      0.264     0.087      0.191     0.067      0.301     0.108 
#   5.550     0.177     0.067      0.278     0.090      0.201     0.067      0.313     0.109 
#   5.850     0.184     0.068      0.287     0.090      0.210     0.069      0.325     0.111 
#   6.150     0.191     0.070      0.295     0.088      0.219     0.071      0.333     0.109 
#   6.450     0.198     0.072      0.304     0.087      0.227     0.074      0.342     0.110 
#   6.750     0.207     0.073      0.311     0.085      0.237     0.076      0.349     0.107 
#   7.050     0.211     0.077      0.318     0.085      0.246     0.078      0.356     0.104 
#   7.350     0.218     0.079      0.324     0.079      0.253     0.079      0.365     0.102 
#   7.650     0.224     0.082      0.333     0.084      0.263     0.080      0.372     0.101 
#   7.950     0.232     0.083      0.339     0.082      0.271     0.083      0.380     0.100 
#   8.250     0.240     0.086      0.346     0.083      0.279     0.085      0.390     0.101 
