#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC  
# Helix1 :   0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta1 :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Helix2 :   1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Turn1 :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Turn2 :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000  
# Other :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     199.0        35.599         51.366         59.793         -34.800         -48.264         -2.210      
     198.0        48.344         49.670         53.680         -44.366         -39.361         -3.066      
     197.0        60.015         47.025         45.475         -53.085         -29.198         -4.402      
     196.0        69.578         43.179         34.799         -59.692         -18.465         -5.678      
     195.0        76.820         37.598         17.876         -63.524         -6.636         -6.611      
     194.0        81.687         30.584         -3.415         -65.813          5.684         -6.712      
     193.0        83.968         23.005         -23.127         -64.921         16.290         -6.278      
     192.0        83.945         15.126         -41.908         -63.167         24.636         -4.073      
     191.0        81.944          7.647         -57.673         -59.721         30.725         -1.717      
     190.0        78.082          0.612         -70.105         -54.870         33.988          1.360      
     189.0        72.670         -6.005         -79.494         -50.446         36.051          4.328      
     188.0        66.546         -11.805         -85.526         -44.671         37.116          5.884      
     187.0        59.989         -17.175         -86.773         -37.669         36.583          6.559      
     186.0        53.338         -21.707         -85.133         -29.716         34.030          7.091      
     185.0        47.449         -25.305         -82.626         -21.454         31.283          6.249      
     184.0        42.168         -27.930         -79.625         -13.417         27.534          4.975      
     183.0        37.428         -29.553         -76.476         -6.506         23.395          3.302      
     182.0        33.412         -30.830         -71.668          0.815         19.004          0.952      
     181.0        30.133         -32.028         -67.955          7.370         14.601         -1.010      
     180.0        27.161         -32.838         -62.488         13.964         10.014         -3.093      
     179.0        24.769         -33.187         -56.784         19.210          6.286         -5.654      
     178.0        22.762         -32.966         -53.297         23.533          3.141         -8.235      
     177.0        20.702         -32.467         -49.333         26.635          0.080         -10.196      
     176.0        18.657         -31.999         -44.755         25.900         -0.880         -12.093      
     175.0        16.268         -31.104         -40.080         28.292         -3.192         -13.596


#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.048      0.000     0.058      0.000     0.068      0.000     0.022
#   0.150     0.025	0.048      0.038     0.058      0.011     0.068      0.011     0.022 
#   0.450     0.075     0.048      0.108     0.069      0.032     0.068      0.068     0.081 
#   0.750     0.105     0.064      0.137     0.071      0.079     0.071      0.128     0.088 
#   1.050     0.128     0.060      0.153     0.070      0.114     0.078      0.162     0.090 
