#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/SC_Dssp-1/Baselines/SS_tri1/M1/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Seq_M1.inp
#Number of decomposed  spectra: 78

#Combination matrix for Structural Properties:
#Basis/  ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000    0.0000  
# GRP4 :    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     214.0        -1.1363         -0.9462         0.9726         -1.1320         2.3652         -0.6137      
     213.0        -1.3022         -1.4356         0.9768         -1.6858         3.1974         -1.0186      
     212.0        -1.4787         -2.1176         0.8363         -2.2752         4.2847         -1.5681      
     211.0        -1.8258         -2.6681         0.7579         -2.8994         5.5761         -2.3263      
     210.0        -2.3665         -3.3823         0.6842         -3.4605         7.0196         -3.1684      
     209.0        -3.1656         -4.2212         0.8059         -4.2123         8.8005         -4.2471      
     208.0        -4.1391         -5.3042         1.1894         -5.0338         10.7743         -5.5622      
     207.0        -5.3189         -6.5240         1.7397         -6.0385         13.0088         -6.9967      
     206.0        -6.6302         -8.0413         2.2879         -7.0246         15.5543         -8.6706      
     205.0        -7.9390         -9.6431         3.0251         -8.0155         18.0332         -10.4108      
     204.0        -9.0603         -11.1091         3.9330         -9.0623         20.3458         -12.0541      
     203.0        -9.7363         -12.6533         4.8808         -10.0922         22.3793         -13.5848      
     202.0        -10.0894         -14.2538         5.5449         -11.0531         24.1094         -14.7941      
     201.0        -10.1192         -15.2685         5.9210         -11.9219         25.2604         -15.5621      
     200.0        -9.8514         -15.7420         5.3936         -12.4520         25.9606         -15.7417      
     199.0        -9.2358         -15.4376         4.1013         -12.7466         26.0718         -15.3031      
     198.0        -8.2555         -14.3150         2.4249         -12.7230         25.5725         -14.3809      
     197.0        -7.0358         -12.7313         0.1618         -12.1677         24.5988         -13.0319      
     196.0        -5.7252         -10.6671         -2.5190         -11.1932         23.3393         -11.5705      
     195.0        -3.9604         -7.9851         -5.3277         -10.2280         21.8285         -10.1414      
     194.0        -1.9388         -4.8508         -8.5621         -8.8899         20.1395         -8.7099      
     193.0        0.2516         -1.5460         -11.8048         -7.8033         18.5315         -7.3604      
     192.0        2.9394         1.2373         -15.0077         -6.9768         17.0381         -6.1475      
     191.0        5.4490         3.5321         -18.2125         -6.0857         15.8002         -5.0784      
     190.0        7.5797         4.6993         -21.0832         -5.2735         14.8292         -4.0630      
     189.0        9.6530         5.3148         -22.9606         -4.6742         13.7408         -3.3112      
     188.0        11.2433         5.5242         -23.6376         -3.9685         12.5360         -2.8279      
     187.0        12.1755         5.0606         -23.1906         -3.4311         11.3035         -2.4144      
     186.0        13.0925         4.0716         -22.0196         -3.1029         10.2510         -2.3643      
     185.0        13.8084         3.5407         -20.4187         -2.9581         9.6083         -2.9851      
     184.0        13.8121         2.2619         -18.3009         -2.9145         9.2713         -3.6657      
     183.0        13.6937         0.7113         -15.8008         -3.2526         9.0155         -4.3940      
     182.0        13.2494         -0.7698         -12.9447         -3.3446         8.4483         -4.9863      
     181.0        12.5998         -2.1191         -10.2450         -3.4280         7.9329         -5.4474      
     180.0        11.5148         -3.4772         -7.4939         -3.4736         7.3903         -5.6408      
     179.0        10.7862         -4.5091         -5.3324         -3.3792         6.8780         -5.8588      
     178.0        8.9295         -5.3895         -3.1885         -3.5789         6.6651         -5.4889      
