#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_simple_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  3HT       HEL       BS        IRB       BT        OTT       LHT       UC        
# 3HT :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# HEL :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BS :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# IRB :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# BT :    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# OTT :    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# LHT :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# UC :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3HT            HEL            BS             IRB            BT             OTT            LHT            UC             
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     208.0        -8.690         -30.981         11.405         -28.669         60.196         -33.757         27.120         -13.205      
     207.0        -14.935         -27.705         13.906         -35.670         67.223         -42.762         32.823         -11.551      
     206.0        -23.045         -22.461         16.645         -43.740         77.809         -52.742         36.282         -9.747      
     205.0        -30.616         -15.868         19.198         -52.562         87.183         -64.135         45.843         -7.635      
     204.0        -37.420         -7.999         21.212         -60.904         98.275         -76.201         61.251         -5.691      
     203.0        -44.412          0.839         22.733         -69.163         109.883         -83.944         80.224         -4.204      
     202.0        -49.262         10.226         23.688         -77.750         119.522         -88.342         109.407         -3.445      
     201.0        -53.269         20.436         24.054         -87.058         125.244         -87.357         141.303         -2.927      
     200.0        -57.391         31.586         23.976         -96.265         128.966         -80.920         169.264         -2.870      
     199.0        -60.702         43.203         23.555         -105.543         127.640         -69.358         191.480         -3.029      
     198.0        -64.156         54.691         22.310         -111.844         123.424         -52.617         207.143         -3.490      
     197.0        -66.595         64.902         20.759         -115.210         116.093         -32.676         209.842         -4.463      
     196.0        -67.088         72.866         18.606         -113.226         101.735         -12.522         208.016         -5.537      
     195.0        -67.467         78.326         15.326         -104.770         77.805         10.031         207.606         -6.218      
     194.0        -68.094         81.400         11.177         -91.415         50.937         31.599         207.755         -6.047      
     193.0        -67.309         82.165          6.685         -75.684         26.662         48.546         208.124         -5.279      
     192.0        -66.419         80.774          1.651         -61.394          7.123         62.115         210.452         -2.684      
     191.0        -64.368         77.759         -2.916         -47.143         -7.195         69.195         209.554         -0.093      
     190.0        -60.767         73.182         -7.013         -35.103         -15.035         68.947         205.726          3.072      
     189.0        -56.759         67.282         -10.888         -23.963         -20.559         66.048         202.857          6.078      
     188.0        -51.805         60.937         -13.933         -13.306         -22.034         60.459         194.368          7.640      
