#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# HEL1 :    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# BSTR :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# HEL2 :    1.000    0.000    0.000    0.000    0.000    1.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# TRN2 :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    0.000  
# TRN1 :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# UNC :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      HEL1           BSTR           HEL2           TRN2           TRN1           UNC            
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     199.0        36.357         44.928         -16.472         -49.908         -41.914         -0.963      
     198.0        48.706         43.149         -26.379         -44.723         -35.005         -2.585      
     197.0        59.828         40.730         -35.337         -38.676         -26.292         -4.783      
     196.0        68.846         37.376         -43.430         -31.567         -17.039         -7.022      
     195.0        75.602         32.481         -53.548         -22.104         -6.584         -9.107      
     194.0        80.074         26.350         -64.770         -11.299          3.342         -10.498      
     193.0        82.145         19.646         -73.723         -1.021         11.801         -11.082      
     192.0        82.069         12.408         -83.684          8.144         20.012         -9.747      
     191.0        80.213          5.456         -91.005         16.096         24.919         -8.104      
     190.0        76.541         -1.075         -95.482         21.592         27.544         -5.463      
     189.0        71.451         -7.325         -97.973         26.208         27.519         -2.811      
     188.0        65.626         -12.660         -97.401         29.420         27.536         -1.168      
     187.0        59.361         -17.538         -92.732         30.756         26.402         -0.078      
     186.0        52.966         -21.723         -87.625         30.190         26.767          1.148      
     185.0        47.360         -25.072         -81.724         29.741         25.988          0.920      
     184.0        42.199         -27.392         -74.858         27.806         24.460          0.263      
     183.0        37.483         -28.693         -67.606         25.008         21.683         -0.865      
     182.0        33.510         -29.719         -59.357         22.054         18.776         -2.668      
     181.0        30.116         -30.558         -51.569         18.406         16.287         -4.134      
     180.0        27.057         -31.098         -43.640         14.584         14.830         -5.638      
     179.0        24.571         -31.207         -35.633         11.305         12.674         -7.711      
     178.0        22.311         -30.641         -28.661          7.980         11.181         -9.875      
     177.0        20.020         -29.878         -21.985          4.559          9.217         -11.449      
     176.0        17.903         -29.358         -16.580          3.068          6.068         -13.222      
     175.0        15.182         -28.124         -9.687         -0.446          6.358         -14.170      
