#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3-Helix  4-Helix  5-Helix   Bend   Beta-Bridge Beta-strand  Turn   Unclassified 
# Helix :    1.000    1.000    1.000    0.000    0.000     0.000        0.000    0.000  
# Sheet :    0.000    0.000    0.000    0.000    0.000     1.000        0.000    0.000  
# Coil  :    0.000    0.000    0.000    1.000    1.000     0.000        1.000    1.000  


#|  Wavelength      Helix         Sheet          Coil            
#      nm         CD(kMRE)       CD(kMRE)       CD(kMRE)      
#   5.850     0.201     0.085      0.311     0.100      0.257     0.099      0.396     0.125 
#   6.150     0.208     0.087      0.315     0.096      0.265     0.101      0.407     0.129 
#   6.450     0.215     0.089      0.319     0.093      0.273     0.102      0.414     0.129 
#   6.750     0.219     0.090      0.327     0.095      0.283     0.106      0.419     0.132 
#   7.050     0.225     0.091      0.331     0.092      0.290     0.108      0.428     0.134 
#   7.350     0.227     0.094      0.335     0.087      0.298     0.110      0.432     0.138 
#   7.650     0.235     0.096      0.341     0.086      0.305     0.113      0.436     0.138 
#   7.950     0.241     0.098      0.348     0.085      0.310     0.114      0.441     0.139 
#   8.250     0.243     0.099      0.350     0.083      0.318     0.116      0.440     0.138 
#   8.550     0.249     0.100      0.355     0.079      0.327     0.115      0.447     0.138 
#   8.850     0.255     0.102      0.362     0.081      0.333     0.117      0.443     0.136 
#   9.150     0.259     0.104      0.374     0.081      0.338     0.118      0.441     0.131 
#   9.450     0.265     0.106      0.373     0.076      0.344     0.120      0.445     0.123 
#   9.750     0.270     0.109      0.378     0.075      0.351     0.124      0.452     0.122 
#  10.050     0.272     0.111      0.389     0.076      0.357     0.125      0.455     0.115 
#  10.350     0.278     0.113      0.394     0.074      0.363     0.127      0.458     0.112 
#  10.650     0.284     0.113      0.402     0.072      0.370     0.128      0.464     0.115 
#  10.950     0.288     0.118      0.407     0.069      0.376     0.126      0.467     0.111 
#  11.250     0.287     0.119      0.422     0.072      0.379     0.133      0.471     0.107 
#  11.550     0.292     0.123      0.428     0.070      0.385     0.132      0.477     0.105 
#  11.850     0.292     0.126      0.438     0.072      0.392     0.135      0.486     0.102 
#  12.150     0.292     0.127      0.442     0.063      0.397     0.135      0.492     0.101 
#  12.450     0.296     0.133      0.457     0.069      0.399     0.140      0.499     0.098 
#  12.750     0.294     0.137      0.470     0.070      0.410     0.139      0.512     0.100 
#  13.050     0.294     0.139      0.481     0.070      0.410     0.142      0.521     0.099 
#  13.350     0.296     0.142      0.490     0.065      0.418     0.144      0.530     0.101 
#  13.650     0.295     0.146      0.498     0.064      0.420     0.145      0.540     0.099 
#  13.950     0.293     0.152      0.514     0.064      0.422     0.149      0.550     0.100 
#  14.250     0.295     0.153      0.516     0.057      0.430     0.148      0.553     0.097 
#  14.550     0.299     0.155      0.532     0.059      0.431     0.150      0.560     0.095 
#  14.850     0.291     0.160      0.538     0.060      0.437     0.152      0.571     0.093 
#  15.150     0.297     0.160      0.548     0.061      0.437     0.155      0.581     0.097 
#  15.450     0.293     0.165      0.558     0.057      0.442     0.155      0.584     0.092 
#  15.750     0.299     0.166      0.570     0.056      0.449     0.161      0.587     0.087 
#  16.050     0.298     0.165      0.583     0.055      0.452     0.159      0.603     0.091 
#  16.350     0.301     0.166      0.584     0.050      0.450     0.162      0.608     0.090 
#  16.650     0.306     0.170      0.586     0.049      0.454     0.164      0.605     0.085 
#  16.950     0.309     0.169      0.600     0.053      0.460     0.163      0.603     0.071 
#  17.250     0.304     0.167      0.609     0.050      0.458     0.166      0.621     0.078 
#  17.550     0.309     0.172      0.608     0.050      0.460     0.168      0.624     0.075 
#  17.850     0.308     0.173      0.628     0.046      0.468     0.167      0.629     0.070 
#  18.150     0.304     0.169      0.632     0.036      0.465     0.172      0.640     0.071 
#  18.450     0.300     0.170      0.643     0.034      0.463     0.177      0.655     0.069 
#  18.750     0.308     0.173      0.651     0.041      0.473     0.174      0.664     0.074 
#  19.050     0.301     0.174      0.654     0.034      0.472     0.178      0.660     0.064 
#  19.350     0.306     0.167      0.671     0.034      0.474     0.179      0.681     0.065 
#  19.650     0.312     0.171      0.673     0.031      0.478     0.187      0.694     0.066 
#  19.950     0.306     0.168      0.678     0.041      0.468     0.189      0.692     0.070 
#  20.250     0.300     0.166      0.703     0.035      0.473     0.194      0.710     0.064 
#  20.550     0.300     0.165      0.702     0.037      0.472     0.185      0.711     0.063 
#  20.850     0.305     0.166      0.720     0.037      0.470     0.196      0.712     0.059 
#  21.150     0.275     0.161      0.748     0.078      0.447     0.191      0.759     0.071 
