#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  		3-Helix   4-Helix   5-Helix   Bend      Beta-Bridge Beta-strand Turn      Unclassified 
# 3-Helix :    		1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 4-Helix :    		0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 5-Helix :    		0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# Bend    :    		0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# Beta-Bridge :   	0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Beta-strand :   	0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# Turn :    		0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# Unclassified :    	0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3-Helix        4-Helix        5-Helix        Bend           Beta-Bridge    Beta-strand    Turn           Unclassified   
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     211.0        11.478         -31.341         -535.276         -17.077         -38.187         -2.596         -1.793         -5.371      
     210.0        11.144         -31.372         -591.327         -15.003         -45.332         -0.905         -2.168         -7.508      
     209.0         9.762         -30.847         -630.661         -12.778         -51.359          1.139         -3.497         -9.723      
     208.0         7.299         -29.451         -674.416         -10.175         -59.565          3.521         -4.124         -12.355      
     207.0         4.614         -26.778         -690.842         -6.426         -70.557          5.988         -3.847         -15.804      
     206.0         1.241         -22.416         -713.958         -1.987         -80.529          8.713         -3.933         -19.732      
     205.0        -1.034         -16.869         -707.567          3.844         -91.220         11.364         -2.799         -24.723      
     204.0        -0.654         -10.092         -746.912         11.077         -100.045         13.672         -1.717         -30.486      
     203.0         1.981         -2.343         -805.753         18.839         -104.139         15.831         -1.279         -36.514      
     202.0         8.251          6.111         -829.123         27.172         -104.196         17.774         -0.264         -43.457      
     201.0        17.458         15.420         -824.511         35.580         -97.762         19.139         -0.525         -49.777      
     200.0        27.310         25.628         -775.760         42.754         -83.609         20.127         -2.376         -54.855      
     199.0        36.207         36.286         -718.579         48.184         -65.987         20.694         -3.561         -58.716      
     198.0        43.830         46.841         -695.214         51.707         -43.554         20.599         -5.503         -60.568      
     197.0        47.292         56.162         -668.336         52.307         -22.667         20.096         -6.084         -60.335      
     196.0        47.157         63.608         -636.891         50.678         -3.265         19.300         -5.887         -58.401      
     195.0        43.889         69.008         -591.531         46.441         20.117         18.229         -7.600         -53.924      
     194.0        36.219         72.402         -509.115         41.061         45.426         17.083         -10.184         -47.918      
     193.0        27.282         73.826         -413.076         35.811         69.078         15.855         -11.454         -42.345      
     192.0        17.892         73.508         -319.569         32.519         91.876         14.565         -12.227         -37.874      
     191.0         8.666         71.621         -251.914         29.052         107.672         13.151         -12.798         -33.252      
     190.0         2.210         68.294         -199.372         26.894         116.600         11.465         -12.961         -29.575      
