#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/SC_Dssp-1/Baselines/SC_2T121/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/    3-Helix   4-Helix   5-Helix   Bend   Beta-Bridge Beta-strand Turn     Unclassified 
# BS1 :    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BS2 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# BS3 :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    1.0000    1.0000  


#|  Wavelength      BS1            BS2            BS3            
#      nm        T (10^3)       T (10^3)       T (10^3)      
#   3.750     0.164     0.073      0.259     0.099      0.195     0.080      0.309     0.106 
#   4.050     0.171     0.076      0.270     0.099      0.206     0.084      0.324     0.106 
#   4.350     0.180     0.080      0.278     0.096      0.216     0.087      0.341     0.109 
#   4.650     0.185     0.083      0.288     0.096      0.228     0.091      0.358     0.112 
#   4.950     0.192     0.084      0.299     0.096      0.239     0.094      0.373     0.114 
#   5.250     0.198     0.087      0.308     0.093      0.248     0.098      0.388     0.117 
#   5.550     0.205     0.089      0.316     0.095      0.258     0.102      0.401     0.120 
#   5.850     0.212     0.090      0.322     0.094      0.269     0.104      0.414     0.124 
#   6.150     0.219     0.093      0.330     0.095      0.279     0.107      0.422     0.125 
#   6.450     0.226     0.095      0.340     0.095      0.286     0.110      0.430     0.128 
#   6.750     0.229     0.097      0.351     0.102      0.295     0.113      0.437     0.131 
#   7.050     0.236     0.099      0.360     0.108      0.304     0.115      0.448     0.136 
#   7.350     0.239     0.099      0.370     0.112      0.310     0.116      0.447     0.135 
#   7.650     0.245     0.104      0.383     0.113      0.319     0.118      0.454     0.136 
#   7.950     0.249     0.106      0.383     0.110      0.329     0.121      0.453     0.134 
#   8.250     0.256     0.111      0.386     0.104      0.333     0.123      0.454     0.132 
#   8.550     0.259     0.113      0.391     0.101      0.337     0.125      0.460     0.129 
#   8.850     0.263     0.115      0.398     0.101      0.345     0.127      0.460     0.125 
#   9.150     0.267     0.117      0.396     0.094      0.350     0.128      0.470     0.124 
#   9.450     0.273     0.121      0.409     0.097      0.357     0.131      0.470     0.123 
#   9.750     0.273     0.124      0.415     0.097      0.363     0.131      0.480     0.125 
#  10.050     0.275     0.126      0.417     0.093      0.366     0.130      0.482     0.119 
#  10.350     0.282     0.126      0.423     0.094      0.374     0.131      0.487     0.117 
#  10.650     0.280     0.129      0.433     0.088      0.380     0.134      0.496     0.118 
#  10.950     0.284     0.133      0.436     0.099      0.381     0.135      0.497     0.119 
#  11.250     0.292     0.135      0.454     0.093      0.385     0.134      0.500     0.111 
#  11.550     0.292     0.135      0.461     0.092      0.387     0.137      0.506     0.104 
#  11.850     0.293     0.136      0.462     0.092      0.396     0.136      0.521     0.105 
#  12.150     0.297     0.137      0.468     0.089      0.398     0.141      0.524     0.105 
#  12.450     0.298     0.143      0.487     0.088      0.406     0.138      0.532     0.099 
#  12.750     0.297     0.143      0.492     0.095      0.406     0.142      0.546     0.099 
#  13.050     0.296     0.144      0.508     0.090      0.416     0.147      0.547     0.098 
#  13.350     0.298     0.147      0.508     0.086      0.420     0.144      0.558     0.096 
#  13.650     0.300     0.150      0.526     0.087      0.424     0.147      0.566     0.097 
#  13.950     0.300     0.151      0.530     0.077      0.426     0.151      0.570     0.098 
#  14.250     0.304     0.153      0.543     0.079      0.434     0.150      0.583     0.098 
#  14.550     0.305     0.153      0.540     0.085      0.438     0.151      0.581     0.098 
#  14.850     0.298     0.154      0.573     0.089      0.438     0.154      0.590     0.088 
#  15.150     0.294     0.160      0.570     0.085      0.443     0.158      0.593     0.086 
#  15.450     0.293     0.162      0.597     0.085      0.444     0.162      0.603     0.088 
#  15.750     0.292     0.169      0.589     0.078      0.451     0.164      0.617     0.087 
#  16.050     0.295     0.172      0.603     0.081      0.449     0.170      0.618     0.088 
#  16.350     0.287     0.174      0.610     0.098      0.459     0.168      0.634     0.091 
#  16.650     0.297     0.180      0.613     0.074      0.447     0.177      0.638     0.081 
#  16.950     0.290     0.179      0.618     0.081      0.459     0.180      0.639     0.086 
#  17.250     0.276     0.178      0.624     0.091      0.458     0.181      0.650     0.090 
#  17.550     0.272     0.179      0.624     0.084      0.458     0.187      0.641     0.078 
#  17.850     0.290     0.180      0.697     0.069      0.458     0.188      0.643     0.080 
#  18.150     0.288     0.181      0.669     0.073      0.461     0.193      0.667     0.088 
#  18.450     0.283     0.180      0.681     0.077      0.456     0.194      0.653     0.074 
#  18.750     0.278     0.176      0.702     0.080      0.452     0.195      0.668     0.074 
#  19.050     0.299     0.184      0.670     0.059      0.459     0.206      0.674     0.075 
#  19.350     0.283     0.176      0.665     0.042      0.454     0.207      0.696     0.083 
#  19.650     0.289     0.171      0.716     0.065      0.456     0.207      0.704     0.076 
#  19.950     0.296     0.177      0.707     0.056      0.453     0.207      0.700     0.078 
#  20.250     0.314     0.175      0.742     0.084      0.446     0.211      0.708     0.081 
#  20.550     0.309     0.175      0.739     0.060      0.450     0.213      0.714     0.071 
#  20.850     0.318     0.178      0.740     0.058      0.443     0.216      0.732     0.076 
#  21.150     0.288     0.180      0.787     0.106      0.404     0.200      0.780     0.081 
