#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 0.450  0.900  6.025e-04 
 0.750  0.900  1.719e-03 
 1.050  0.900  3.277e-03 
 1.350  0.900  4.176e-03 
 1.650  0.900  3.560e-03 
 1.950  0.900  2.036e-03 
 2.250  0.900  7.907e-04 
 2.550  0.900  2.216e-04 
 2.850  0.900  5.860e-05 
 3.150  0.900  2.180e-05 
 3.450  0.900  8.940e-06 
 3.750  0.900  2.726e-06 
 4.050  0.900  5.477e-07 
 4.350  0.900  7.086e-08 
 4.650  0.900  5.881e-09 
 4.950  0.900  3.145e-10 
 5.250  0.900  1.131e-11 
 5.550  0.900  3.877e-13 
 5.850  0.900  3.333e-14 
 0.150  1.100  4.350e-03 
 0.450  1.100  1.859e-02 
 0.750  1.100  5.307e-02 
 1.050  1.100  1.012e-01 
 1.350  1.100  1.291e-01 
 1.650  1.100  1.103e-01 
 1.950  1.100  6.320e-02 
 2.250  1.100  2.447e-02 
 2.550  1.100  6.514e-03 
 2.850  1.100  1.278e-03 
 3.150  1.100  2.343e-04 
 3.450  1.100  5.493e-05 
 3.750  1.100  1.376e-05 
 4.050  1.100  2.621e-06 
 4.350  1.100  3.337e-07 
 4.650  1.100  2.751e-08 
 4.950  1.100  1.457e-09 
 5.250  1.100  4.949e-11 
 5.550  1.100  1.088e-12 
 5.850  1.100  1.764e-14 
 0.150  1.300  3.593e-03 
 0.450  1.300  1.541e-02 
 0.750  1.300  4.421e-02 
 1.050  1.300  8.505e-02 
 1.350  1.300  1.101e-01 
 1.650  1.300  9.634e-02 
 1.950  1.300  5.769e-02 
