#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# Helix1 :  0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000  
# Beta1 :   0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000  
# Helix2 :  0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Turn1 :   0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Turn2 :   1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# Other :   0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     213.0        -0.1272         9.8909         0.5605         -1.6507         -7.3704         8.5872      
     212.0        -0.5112         10.5851         0.5869         -1.9021         -7.5754         8.8002      
     211.0        -0.7926         11.5567         0.4596         -2.2430         -7.8875         9.0332      
     210.0        -1.1002         12.8215         0.0742         -2.5870         -8.2103         9.2951      
     209.0        -1.3364         14.3327         -0.6559         -2.9795         -8.5794         9.6155      
     208.0        -1.5737         16.1616         -1.5381         -3.5387         -8.9779         9.9053      
     207.0        -1.8935         18.4248         -2.6352         -4.2839         -9.3560         10.2128      
     206.0        -2.1428         20.8037         -3.8721         -5.0554         -9.8439         10.5639      
     205.0        -2.3040         23.5310         -5.2360         -5.8367         -10.3753         10.7315      
     204.0        -2.4534         26.7874         -6.6740         -6.4261         -10.9603         10.6342      
     203.0        -2.6693         30.1495         -8.0063         -6.6199         -11.5560         10.2688      
     202.0        -2.8923         33.6857         -9.1527         -6.4045         -12.4798         9.7332      
     201.0        -3.2354         36.7916         -10.0219         -5.8231         -13.3677         8.9718      
     200.0        -3.5805         38.6607         -10.4358         -4.9267         -14.2423         8.2279      
     199.0        -3.9448         39.3169         -10.5895         -3.8037         -15.0626         7.6515      
     198.0        -4.2604         38.9564         -10.3384         -2.7192         -15.7211         7.2808      
     197.0        -4.5563         37.2033         -9.8606         -1.5000         -16.0137         7.2130      
     196.0        -4.4598         34.6232         -9.1846         -0.2379         -16.2895         7.2447      
     195.0        -4.0082         30.3486         -8.1666         1.3195         -16.3169         7.2902      
     194.0        -2.8889         24.0196         -6.5953         3.0514         -15.9289         7.0030      
     193.0        -1.4002         16.5493         -4.8622         4.6636         -15.1553         6.6018      
     192.0        0.0451         8.2410         -2.5803         6.0537         -13.8410         5.9129      
     191.0        1.7395         -0.5632         -0.3604         7.2365         -12.2797         5.2298      
     190.0        3.3196         -8.9102         1.9201         7.9915         -10.5553         4.5709      
     189.0        4.5254         -16.5892         3.4997         8.7371         -8.5272         4.0340      
     188.0        5.7928         -23.6794         4.7403         9.1959         -6.3552         3.5641      
     187.0        6.7145         -28.8534         5.5709         8.8738         -4.1297         3.2713      
     186.0        7.3940         -32.5232         5.8840         8.4372         -1.9757         2.9928      
     185.0        8.1478         -34.2541         5.3269         7.8494         -0.4022         3.0446      
     184.0        8.3709         -34.3642         4.0497         7.1905         1.1022         3.4465      
     183.0        8.2634         -32.7102         1.8567         6.8084         2.2898         4.0285      
     182.0        8.3403         -30.1900         -0.3639         6.2821         3.2808         4.3504      
     181.0        8.2750         -26.9431         -2.2422         5.6236         3.8224         4.6738      
     180.0        8.0898         -23.3327         -3.9884         4.9180         4.1764         4.9419      
     179.0        7.7677         -19.5573         -6.0235         4.9431         4.1032         5.3305      
     178.0        6.8314         -15.9567         -8.1864         5.0056         4.4181         5.9763      
