#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H      ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# HEL1 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000  
# HEL2 :    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST1 :    1.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST2 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# TRN1 :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    0.000    0.000  
# COIL :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      HEL1           HEL2           BST1           BST2           TRN1           COIL           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     198.0        48.833         -78.777         -3.638         166.846         -53.722          4.737      
     197.0        58.900         -63.588         -8.058         175.023         -58.380          3.898      
     196.0        66.780         -45.996         -11.444         176.836         -61.782          2.744      
     195.0        72.038         -25.827         -14.253         171.708         -63.562          1.592      
     194.0        74.974         -7.384         -17.719         163.191         -62.878          1.059      
     193.0        75.841          7.250         -21.075         150.718         -59.533          0.971      
     192.0        74.788         16.714         -24.582         136.051         -55.018          2.565      
     191.0        72.258         20.813         -27.437         119.012         -48.447          4.095      
     190.0        68.296         19.457         -29.060         98.309         -40.725          6.119      
     189.0        63.121         15.396         -30.314         77.364         -32.378          7.979      
     188.0        57.621          9.575         -31.374         58.269         -23.161          8.538      
     187.0        52.162          2.652         -32.826         40.808         -13.655          8.313      
     186.0        46.909         -6.125         -34.521         26.386         -4.752          7.992      
     185.0        42.330         -13.079         -36.099         14.908          3.164          6.415      
     184.0        38.165         -18.712         -37.297          5.800          8.833          4.656      
     183.0        34.342         -22.390         -38.371          0.437         12.172          2.700      
     182.0        31.165         -22.920         -38.973         -4.650         13.932          0.209      
     181.0        28.521         -22.682         -39.730         -8.713         14.376         -1.788      
     180.0        26.203         -21.297         -40.015         -12.572         14.114         -3.773      
     179.0        24.347         -19.173         -39.892         -15.529         13.695         -6.293      
     178.0        22.528         -16.045         -38.992         -17.778         12.270         -8.816      
     177.0        20.615         -11.873         -38.041         -19.015          9.964         -10.686      
     176.0        18.717         -8.377         -36.604         -20.412          8.794         -12.984      
     175.0        16.369         -3.171         -34.736         -22.175          6.265         -14.094      

#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.044      0.000     0.046      0.000     0.056      0.000     0.017 
#   0.150     0.025     0.044      0.021     0.046      0.020     0.056      0.005     0.017 
#   0.450     0.076     0.044      0.072     0.057      0.060     0.056      0.056     0.074 
#   0.750     0.074     0.053      0.103     0.059      0.064     0.078      0.112     0.086 
#   1.050     0.100     0.054      0.122     0.061      0.096     0.085      0.157     0.087 
#   1.350     0.111     0.055      0.138     0.064      0.130     0.080      0.180     0.087 
#   1.650     0.126     0.058      0.148     0.065      0.147     0.079      0.195     0.088 
#   1.950     0.132     0.058      0.160     0.065      0.166     0.077      0.213     0.087 
#   2.250     0.143     0.058      0.174     0.067      0.184     0.077      0.227     0.088 
#   2.550     0.153     0.060      0.186     0.070      0.190     0.078      0.237     0.088 
#   2.850     0.158     0.060      0.199     0.074      0.200     0.079      0.247     0.089 
#   3.150     0.167     0.062      0.209     0.076      0.213     0.082      0.256     0.088 
#   3.450     0.172     0.063      0.220     0.079      0.222     0.082      0.265     0.091 
#   3.750     0.177     0.064      0.230     0.081      0.231     0.084      0.274     0.090 
#   4.050     0.184     0.066      0.240     0.085      0.238     0.083      0.283     0.091 
#   4.350     0.189     0.067      0.249     0.088      0.244     0.084      0.291     0.092 
#   4.650     0.196     0.068      0.258     0.090      0.252     0.086      0.296     0.092 
#   4.950     0.201     0.068      0.266     0.093      0.258     0.087      0.304     0.094 
#   5.250     0.206     0.070      0.273     0.092      0.264     0.089      0.308     0.093 
#   5.550     0.213     0.072      0.281     0.093      0.269     0.090      0.313     0.094 
#   5.850     0.217     0.073      0.290     0.096      0.273     0.091      0.320     0.095 
#   6.150     0.223     0.075      0.298     0.097      0.278     0.091      0.324     0.095 
#   6.450     0.228     0.076      0.304     0.097      0.281     0.092      0.329     0.096 
#   6.750     0.235     0.078      0.310     0.097      0.286     0.092      0.334     0.096 
#   7.050     0.240     0.081      0.321     0.100      0.292     0.093      0.340     0.098 
#   7.350     0.246     0.082      0.329     0.103      0.295     0.094      0.343     0.098 
#   7.650     0.251     0.085      0.337     0.104      0.298     0.094      0.347     0.098 
#   7.950     0.257     0.085      0.344     0.104      0.302     0.094      0.352     0.101 
#   8.250     0.262     0.085      0.352     0.107      0.304     0.096      0.358     0.101 
#   8.550     0.265     0.089      0.356     0.108      0.309     0.096      0.361     0.102 
#   8.850     0.272     0.090      0.360     0.107      0.312     0.096      0.363     0.103 
#   9.150     0.275     0.090      0.366     0.108      0.314     0.098      0.365     0.104 
#   9.450     0.281     0.092      0.371     0.108      0.316     0.098      0.370     0.106 
#   9.750     0.285     0.092      0.372     0.109      0.321     0.097      0.368     0.106 
#  10.050     0.289     0.092      0.373     0.109      0.321     0.099      0.370     0.104 
