#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000    0.0000  
# GRP4 :    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     214.0        1.1241         -2.6525         -1.9207         -3.1600         8.4678         -1.8746      
     213.0        1.1424         -2.8150         -1.8754         -3.5094         8.6840         -1.9253      
     212.0        1.2216         -3.1116         -1.8901         -3.7892         8.8834         -2.0113      
     211.0        1.2269         -3.1817         -1.8499         -4.0649         9.1295         -2.2502      
     210.0        1.1135         -3.3756         -1.8523         -4.2306         9.3975         -2.5021      
     209.0        0.8463         -3.6355         -1.6837         -4.4284         9.7462         -2.9171      
     208.0        0.4834         -4.0754         -1.2486         -4.5858         10.0711         -3.5249      
     207.0        0.0262         -4.6159         -0.6842         -4.8132         10.4285         -4.1986      
     206.0        -0.4823         -5.4450         -0.1118         -4.8924         10.8264         -5.0138      
     205.0        -1.0048         -6.2929         0.6416         -4.9243         11.0864         -5.9154      
     204.0        -1.5237         -6.9930         1.6581         -4.9856         11.1122         -6.7231      
     203.0        -1.7759         -7.8916         2.8815         -5.0728         10.8998         -7.4711      
     202.0        -1.9273         -8.9894         4.0140         -5.2690         10.5428         -7.9984      
     201.0        -1.9559         -9.9157         4.9712         -5.5425         9.9628         -8.2861      
     200.0        -1.9164         -10.8595         5.1922         -5.7431         9.3575         -8.2081      
     199.0        -1.7013         -11.4448         4.5058         -6.0784         8.8792         -7.8041      
     198.0        -1.3981         -11.5369         3.3875         -6.4570         8.5643         -7.2548      
     197.0        -0.9733         -11.3190         1.5900         -6.6257         8.5027         -6.6023      
     196.0        -0.4288         -10.3405         -0.6785         -6.4657         8.5128         -6.0260      
     195.0        0.4856         -8.5928         -2.9914         -6.2575         8.4620         -5.5784      
     194.0        1.6343         -6.1989         -5.5030         -5.4693         7.9887         -5.0380      
     193.0        2.9037         -3.2161         -7.9597         -4.6667         7.3649         -4.4531      
     192.0        4.5393         -0.3924         -10.0653         -3.7768         6.3900         -3.7967      
     191.0        6.0714         2.1975         -12.2310         -2.5675         5.3771         -3.0912      
     190.0        7.3364         4.2507         -14.1122         -1.2559         4.3860         -2.2947      
