#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/Ar-2/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/HB_ext_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/        4H        3H        5H        TU        UNC       LHP       NBP       RHP       LHA       NBA       RHA       
# Helix_reg :  1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Helix_irr :  0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta_all :   0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
# Turn :       0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Other :      0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      Helix_reg      Helix_irr      Beta_all       Turn           Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     195.0        62.7449         20.8909         20.9143         -4.6826         -10.2061      
     194.0        66.5296         20.9915         18.9663         -3.6772         -9.0606      
     193.0        68.3806         20.0237         16.4924         -2.6815         -7.5951      
     192.0        68.4697         18.1221         13.5651         -1.7769         -5.7653      
     191.0        67.0658         14.7850         10.5728         -1.1123         -3.9213      
     190.0        64.1255         12.2573         7.8257         -0.9698         -2.1330      
     189.0        59.7625         9.4680         4.8608         -0.8160         -0.5943      
     188.0        54.7456         7.2815         2.0720         -1.0394         0.6277      
     187.0        49.3868         6.3977         -0.9689         -1.4308         1.4558      
     186.0        44.0103         5.4394         -4.0453         -1.8524         2.0096      
     185.0        39.1999         3.6874         -6.8404         -2.2577         2.0642      
     184.0        34.6471         2.2680         -9.3289         -2.7218         1.6377      
     183.0        30.3593         -0.6082         -11.5877         -2.9095         0.8251      
     182.0        26.8017         -3.6291         -13.7349         -3.2551         -0.0150      
     181.0        23.6825         -5.2552         -15.8507         -3.5288         -1.0525      
     180.0        20.9456         -6.2673         -17.6967         -3.8077         -2.0834      
     179.0        18.6485         -6.9578         -19.1111         -4.1014         -3.2609      
     178.0        16.4941         -8.0047         -20.0017         -4.2799         -4.6063      

#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.055      0.000     0.052      0.000     0.077      0.000     0.056 
#   0.150     0.041     0.055      0.079     0.052      0.060     0.077      0.061     0.056 
#   0.450     0.124     0.055      0.128     0.059      0.128     0.077      0.147     0.072 
#   0.750     0.137     0.053      0.153     0.066      0.154     0.075      0.176     0.077 
#   1.050     0.151     0.060      0.171     0.071      0.170     0.073      0.199     0.080 
#   1.350     0.162     0.064      0.190     0.077      0.190     0.078      0.223     0.084 
#   1.650     0.173     0.068      0.214     0.083      0.206     0.080      0.250     0.089 
#   1.950     0.186     0.071      0.240     0.088      0.226     0.084      0.277     0.093 
#   2.250     0.198     0.074      0.260     0.091      0.240     0.088      0.302     0.098 
#   2.550     0.211     0.076      0.276     0.096      0.253     0.092      0.323     0.104 
#   2.850     0.219     0.080      0.295     0.099      0.265     0.094      0.338     0.108 
#   3.150     0.226     0.083      0.320     0.105      0.276     0.096      0.349     0.110 
#   3.450     0.233     0.085      0.340     0.107      0.286     0.099      0.355     0.108 
#   3.750     0.239     0.088      0.356     0.112      0.295     0.101      0.364     0.110 
#   4.050     0.246     0.090      0.367     0.112      0.304     0.104      0.374     0.114 
#   4.350     0.253     0.092      0.375     0.111      0.309     0.106      0.382     0.115 
#   4.650     0.258     0.094      0.382     0.113      0.316     0.108      0.388     0.114 
#   4.950     0.265     0.094      0.384     0.112      0.321     0.108      0.388     0.109 
#   5.250     0.271     0.097      0.384     0.103      0.327     0.111      0.391     0.106 
#   5.550     0.277     0.098      0.388     0.095      0.330     0.111      0.398     0.108 
#   5.850     0.284     0.101      0.397     0.095      0.334     0.112      0.409     0.109 
#   6.150     0.288     0.101      0.406     0.095      0.339     0.114      0.413     0.109 
#   6.450     0.295     0.104      0.413     0.093      0.342     0.113      0.423     0.108 
#   6.750     0.300     0.107      0.421     0.092      0.345     0.116      0.428     0.108 
#   7.050     0.304     0.109      0.428     0.089      0.350     0.119      0.438     0.107 
#   7.350     0.311     0.111      0.436     0.089      0.349     0.118      0.439     0.106 
#   7.650     0.315     0.114      0.447     0.093      0.352     0.119      0.446     0.104 
#   7.950     0.320     0.116      0.456     0.092      0.358     0.121      0.452     0.105 
#   8.250     0.324     0.119      0.464     0.091      0.359     0.122      0.460     0.102 
#   8.550     0.331     0.122      0.469     0.088      0.362     0.123      0.468     0.103 
#   8.850     0.335     0.123      0.477     0.089      0.364     0.126      0.472     0.104 
#   9.150     0.340     0.128      0.486     0.087      0.365     0.127      0.489     0.099 
#   9.450     0.341     0.128      0.495     0.089      0.366     0.129      0.491     0.103 
#   9.750     0.346     0.130      0.504     0.089      0.367     0.130      0.495     0.099 
#  10.050     0.348     0.135      0.509     0.086      0.366     0.132      0.506     0.097 
#  10.350     0.350     0.136      0.515     0.087      0.369     0.132      0.523     0.103 
#  10.650     0.354     0.137      0.528     0.089      0.366     0.134      0.526     0.098 
#  10.950     0.355     0.135      0.533     0.085      0.364     0.131      0.534     0.101 
#  11.250     0.358     0.142      0.556     0.087      0.369     0.136      0.548     0.102 
#  11.550     0.360     0.144      0.562     0.086      0.364     0.132      0.547     0.105 
#  11.850     0.362     0.144      0.570     0.084      0.365     0.135      0.563     0.104 
#  12.150     0.361     0.145      0.589     0.089      0.358     0.139      0.567     0.096 
