Time (µs), carbonic anhydrase A1 12:02:17 , carbonic anhydrase A2 12:05:51 , carbonic anhydrase A3 12:09:27 , carbonic anhydrase A4 12:13:00 , carbonic anhydrase A5 12:16:37 , carbonic anhydrase A1 12:20:14 , carbonic anhydrase A2 12:23:51 , carbonic anhydrase A3 12:27:25 , carbonic anhydrase A4 12:30:59 , carbonic anhydrase A5 12:34:33 , carbonic anhydrase A1 12:38:11 , carbonic anhydrase A2 12:41:47 , carbonic anhydrase A3 12:45:33 , carbonic anhydrase A4 12:49:12 , carbonic anhydrase A5 12:52:45 , carbonic anhydrase A1 12:56:24 , carbonic anhydrase A2 12:59:57 , carbonic anhydrase A3 13:03:36 , carbonic anhydrase A4 13:07:13 , carbonic anhydrase A5 13:10:48 , carbonic anhydrase A1 13:14:26 , carbonic anhydrase A2 13:18:21 , carbonic anhydrase A3 13:22:03 , carbonic anhydrase A4 13:25:48 , carbonic anhydrase A5 13:29:27 ,
44.8,1.00884,1.01161,1.01018,1.0076,1.01261,1.01128,1.01168,1.01036,1.00817,1.01077,1.01029,1.01327,1.00768,1.0079,1.01396,1.01105,1.01237,1.00958,1.00783,1.01295,1.00815,1.012,1.01081,1.00963,1.01105,
46.4,1.00831,1.01099,1.00959,1.0071,1.01184,1.01066,1.01106,1.00977,1.00768,1.01005,1.00961,1.01263,1.0071,1.00743,1.01321,1.01039,1.01174,1.00897,1.00734,1.01227,1.00753,1.01143,1.0102,1.00913,1.01038,
48,1.00772,1.01046,1.00904,1.00667,1.01111,1.01001,1.01049,1.00925,1.00726,1.0094,1.00904,1.01204,1.00658,1.00701,1.01257,1.00986,1.01116,1.00836,1.00688,1.01161,1.007,1.01088,1.00962,1.00867,1.00977,
49.6,1.00722,1.00991,1.00853,1.0063,1.01048,1.0095,1.00999,1.00879,1.00685,1.00878,1.00848,1.01154,1.0061,1.00662,1.01199,1.0093,1.01064,1.00785,1.00649,1.011,1.00652,1.0104,1.00912,1.00823,1.00919,
51.2,1.00678,1.00945,1.00809,1.00592,1.00991,1.00897,1.00955,1.00836,1.0065,1.00822,1.00805,1.01105,1.00568,1.00624,1.01146,1.00882,1.01017,1.00739,1.00613,1.01049,1.00608,1.00994,1.00867,1.00788,1.00867,
54.4,1.00602,1.00864,1.00733,1.0053,1.00893,1.00811,1.00876,1.00759,1.00585,1.00732,1.00717,1.01021,1.00493,1.00564,1.01049,1.00799,1.0094,1.00659,1.00552,1.0096,1.0053,1.00913,1.00783,1.00724,1.0078,
57.6,1.00532,1.00795,1.00667,1.00475,1.0081,1.00735,1.00809,1.0069,1.00534,1.00648,1.00645,1.0095,1.00431,1.00511,1.00966,1.00727,1.0087,1.00589,1.00499,1.0088,1.00469,1.00848,1.00713,1.00668,1.00708,
60.8,1.00477,1.00736,1.00615,1.00432,1.0074,1.00674,1.00755,1.0064,1.0049,1.00581,1.00589,1.00892,1.0038,1.00468,1.00898,1.00669,1.00815,1.00533,1.00454,1.00819,1.00413,1.00794,1.00658,1.00625,1.00648,
64,1.00429,1.0069,1.00568,1.00394,1.00679,1.00625,1.00708,1.00597,1.00452,1.00526,1.00537,1.0084,1.00337,1.00433,1.00843,1.00617,1.00767,1.00485,1.00418,1.00767,1.00368,1.00751,1.00611,1.00584,1.00597,
67.2,1.00387,1.00648,1.00526,1.00365,1.00628,1.00582,1.00668,1.0056,1.00419,1.00483,1.00495,1.008,1.00302,1.00402,1.00798,1.00579,1.00728,1.00446,1.00389,1.00724,1.00333,1.00715,1.00568,1.00552,1.00554,
70.4,1.00359,1.00614,1.0049,1.00339,1.00587,1.00544,1.00636,1.00528,1.00396,1.0044,1.00461,1.00763,1.00271,1.00377,1.00757,1.00545,1.00692,1.00413,1.00363,1.00687,1.00303,1.0068,1.00533,1.00526,1.00517,
73.6,1.00334,1.00582,1.00461,1.00317,1.0055,1.00516,1.0061,1.00501,1.00373,1.00409,1.00429,1.00733,1.00246,1.00357,1.00725,1.00515,1.00665,1.00384,1.00341,1.00658,1.00277,1.00651,1.00505,1.00502,1.00487,
76.8,1.00313,1.00555,1.00436,1.003,1.00518,1.0049,1.00586,1.00478,1.00355,1.00379,1.00405,1.00706,1.00227,1.00338,1.00695,1.00494,1.00642,1.00359,1.00322,1.00633,1.00253,1.00625,1.00481,1.00482,1.00465,
80,1.00294,1.00535,1.00417,1.00284,1.00496,1.00468,1.00564,1.00459,1.00338,1.00351,1.00386,1.00688,1.00211,1.0032,1.00671,1.00473,1.00622,1.00339,1.00308,1.00613,1.00234,1.00606,1.0046,1.00464,1.00439,
83.2,1.00274,1.00516,1.00401,1.00271,1.00474,1.0045,1.00548,1.00443,1.00326,1.00329,1.00365,1.00669,1.00197,1.00305,1.00649,1.00457,1.00603,1.00321,1.00292,1.00592,1.00216,1.00588,1.00445,1.00449,1.00422,
86.4,1.00262,1.00502,1.00387,1.00261,1.00455,1.00432,1.00533,1.0043,1.00314,1.00315,1.00351,1.00651,1.00184,1.00292,1.00635,1.00442,1.00588,1.00309,1.00283,1.00576,1.00205,1.00575,1.00429,1.00433,1.00409,
89.6,1.00248,1.00487,1.00377,1.00252,1.00443,1.00417,1.0052,1.00415,1.00305,1.00297,1.00339,1.0064,1.00173,1.00285,1.00618,1.00433,1.00578,1.003,1.00271,1.00563,1.00192,1.00561,1.00417,1.00424,1.00395,
92.8,1.00238,1.00476,1.00365,1.00243,1.0043,1.00409,1.00509,1.00405,1.00297,1.00283,1.00327,1.00623,1.00165,1.00274,1.00606,1.0042,1.00568,1.00288,1.00265,1.0055,1.00186,1.00551,1.00407,1.00411,1.00382,
96,1.00227,1.00463,1.00358,1.00237,1.00419,1.00397,1.005,1.00396,1.00287,1.00273,1.00316,1.00614,1.00159,1.00265,1.00596,1.00411,1.00557,1.0028,1.00258,1.00539,1.00176,1.00543,1.00398,1.00403,1.00373,
99.2,1.00219,1.00459,1.0035,1.00229,1.00409,1.00389,1.00493,1.00388,1.00279,1.00264,1.00307,1.00606,1.0015,1.0026,1.00586,1.00402,1.00549,1.00273,1.0025,1.00531,1.00169,1.00535,1.00389,1.00397,1.00363,
102.4,1.00214,1.00451,1.00342,1.00222,1.00403,1.00381,1.00487,1.00381,1.00272,1.0026,1.00301,1.00597,1.00143,1.00251,1.00576,1.00395,1.0054,1.00265,1.00244,1.00525,1.00165,1.00526,1.0038,1.00392,1.00354,
108.8,1.002,1.00436,1.00329,1.00214,1.00387,1.00367,1.00473,1.00371,1.0026,1.00247,1.00289,1.00585,1.00134,1.00242,1.00559,1.00383,1.00529,1.00254,1.00236,1.00516,1.00156,1.00516,1.00372,1.00379,1.00342,
115.2,1.00191,1.00424,1.00319,1.00207,1.00371,1.0035,1.00461,1.00364,1.00252,1.00235,1.00278,1.00577,1.00129,1.00233,1.00546,1.00368,1.00519,1.00244,1.00229,1.00509,1.00149,1.0051,1.00363,1.00374,1.00334,
121.6,1.00186,1.00416,1.00314,1.00201,1.00363,1.00342,1.00453,1.0036,1.00249,1.00227,1.00274,1.00568,1.00126,1.00226,1.00535,1.0036,1.00513,1.00237,1.00222,1.00501,1.00141,1.00501,1.00353,1.00369,1.00332,
128,1.00184,1.00406,1.00307,1.00198,1.00355,1.00338,1.00446,1.00353,1.00244,1.00221,1.00272,1.00565,1.00123,1.00224,1.00529,1.00355,1.00506,1.00231,1.00217,1.00495,1.00136,1.00495,1.00345,1.00364,1.00327,
134.4,1.00178,1.00403,1.00298,1.00192,1.0035,1.00332,1.00441,1.00348,1.00239,1.00214,1.00266,1.00558,1.00119,1.00221,1.00521,1.00349,1.005,1.00227,1.00213,1.00489,1.0013,1.0049,1.00339,1.00359,1.00321,
140.8,1.00171,1.00399,1.00293,1.00192,1.00344,1.00333,1.00438,1.00345,1.00233,1.00208,1.0026,1.00551,1.00118,1.00217,1.00513,1.00345,1.00495,1.00225,1.00211,1.0049,1.00131,1.00484,1.00337,1.00354,1.00318,
147.2,1.0017,1.00395,1.00291,1.00189,1.00339,1.00326,1.00436,1.00342,1.0023,1.00206,1.00258,1.00545,1.00114,1.00212,1.00507,1.00343,1.0049,1.00222,1.0021,1.00485,1.00132,1.00481,1.00335,1.00349,1.00316,
153.6,1.00167,1.00388,1.00289,1.00188,1.00334,1.00325,1.00432,1.0034,1.00229,1.00203,1.00253,1.00541,1.00114,1.0021,1.00501,1.0034,1.00485,1.00222,1.00208,1.00481,1.00133,1.00479,1.00335,1.00344,1.00315,
160,1.00166,1.00386,1.00285,1.00185,1.0033,1.0032,1.00431,1.00336,1.00228,1.00201,1.00252,1.00535,1.00112,1.0021,1.00501,1.00336,1.00483,1.00221,1.00207,1.00479,1.00134,1.00481,1.00334,1.00341,1.00312,
166.4,1.00161,1.00385,1.00284,1.00183,1.00327,1.00315,1.00429,1.00334,1.00228,1.00198,1.00249,1.00534,1.0011,1.00206,1.005,1.00336,1.00483,1.00218,1.00208,1.00478,1.00134,1.00482,1.00331,1.00341,1.00308,
172.8,1.00157,1.00381,1.00285,1.00179,1.00326,1.00317,1.00425,1.00333,1.00227,1.00196,1.00246,1.00531,1.0011,1.00205,1.00493,1.00336,1.00479,1.00215,1.00207,1.00473,1.00137,1.00478,1.00331,1.00339,1.00309,
179.2,1.00153,1.00381,1.00285,1.00175,1.0032,1.00314,1.0042,1.00331,1.00225,1.00191,1.00247,1.00529,1.00108,1.00206,1.00493,1.00334,1.00477,1.00211,1.00205,1.00469,1.00131,1.00476,1.00329,1.00338,1.00308,
185.6,1.00147,1.00378,1.00285,1.00174,1.00319,1.00315,1.00419,1.00331,1.00223,1.00188,1.00248,1.00527,1.00107,1.00203,1.00487,1.00334,1.00473,1.00208,1.00204,1.00467,1.00129,1.0047,1.00325,1.00339,1.00302,
192,1.00146,1.00375,1.00282,1.00172,1.00319,1.00315,1.00419,1.00327,1.00222,1.00186,1.00247,1.00529,1.00101,1.00201,1.00486,1.00333,1.0047,1.00206,1.00202,1.00473,1.00127,1.00471,1.00323,1.00339,1.00304,
198.4,1.00142,1.00377,1.0028,1.00173,1.0032,1.00312,1.00419,1.00326,1.00219,1.00184,1.00244,1.00528,1.00099,1.00198,1.00483,1.0033,1.0047,1.00203,1.00202,1.00473,1.00122,1.00472,1.00324,1.00337,1.00302,
204.8,1.00143,1.00377,1.00277,1.00171,1.00322,1.00309,1.00421,1.00327,1.00216,1.00183,1.00243,1.00528,1.00097,1.00197,1.00481,1.00325,1.00466,1.00203,1.002,1.00474,1.00119,1.00473,1.00325,1.00337,1.00301,
217.6,1.00147,1.0038,1.00273,1.00169,1.00318,1.00303,1.00419,1.00325,1.00217,1.00184,1.00242,1.00522,1.00098,1.00195,1.00475,1.00322,1.00468,1.002,1.00198,1.00471,1.00116,1.0047,1.00324,1.00335,1.00301,
230.4,1.00147,1.00378,1.00268,1.00171,1.00315,1.00297,1.00413,1.00319,1.00214,1.00184,1.00237,1.00518,1.00099,1.00192,1.00473,1.00323,1.00466,1.00199,1.00198,1.00466,1.00112,1.00468,1.00319,1.00332,1.00302,
243.2,1.00146,1.00377,1.00268,1.00169,1.00318,1.00294,1.00414,1.00317,1.00212,1.00181,1.00234,1.00517,1.00099,1.00192,1.00477,1.00323,1.00463,1.002,1.00194,1.0046,1.00114,1.00469,1.00316,1.00329,1.00304,
256,1.00142,1.00371,1.00266,1.00165,1.00318,1.0029,1.00412,1.00313,1.00204,1.00182,1.00237,1.00516,1.00099,1.0019,1.00476,1.00322,1.00459,1.00198,1.00189,1.00457,1.00112,1.00466,1.00312,1.00329,1.00299,
268.8,1.00136,1.00369,1.00264,1.0016,1.00317,1.0029,1.00403,1.00311,1.00203,1.00181,1.00237,1.00512,1.00097,1.00188,1.00474,1.00317,1.00457,1.00199,1.00189,1.00457,1.00107,1.00461,1.00314,1.00327,1.00299,
281.6,1.00132,1.00369,1.00265,1.0016,1.00311,1.00289,1.00406,1.00309,1.00203,1.00183,1.00231,1.00506,1.00092,1.00192,1.00473,1.00315,1.00454,1.00202,1.0019,1.0046,1.00108,1.00455,1.00313,1.00328,1.00302,
294.4,1.00133,1.00367,1.00266,1.00159,1.00306,1.00289,1.00406,1.00306,1.00201,1.00181,1.00226,1.00501,1.00088,1.00191,1.00468,1.0031,1.00453,1.00198,1.00187,1.00462,1.00111,1.00453,1.00311,1.00327,1.00298,
307.2,1.00134,1.00365,1.00266,1.00156,1.00305,1.00291,1.00404,1.00302,1.00202,1.00178,1.0023,1.00497,1.00086,1.0019,1.0046,1.00306,1.00451,1.00197,1.00188,1.00459,1.00109,1.00457,1.00311,1.00324,1.00293,
320,1.00134,1.00365,1.0026,1.00157,1.00302,1.00288,1.00404,1.00299,1.00201,1.00177,1.00233,1.00494,1.00088,1.00187,1.00459,1.00304,1.00448,1.00193,1.00186,1.00456,1.00111,1.00458,1.00314,1.00323,1.00289,
332.8,1.00133,1.00364,1.00253,1.00156,1.00299,1.00285,1.004,1.00295,1.002,1.00179,1.00229,1.00496,1.0009,1.00187,1.00456,1.00306,1.00447,1.00196,1.00185,1.00452,1.00112,1.00456,1.00315,1.00322,1.00287,
345.6,1.00131,1.0036,1.00251,1.00153,1.00296,1.00286,1.00401,1.00295,1.002,1.00179,1.00225,1.00496,1.00089,1.00183,1.00452,1.00305,1.00445,1.00192,1.00183,1.0045,1.00117,1.00453,1.0031,1.00322,1.00293,
358.4,1.0013,1.00355,1.00249,1.00151,1.00292,1.00288,1.004,1.00294,1.00199,1.00177,1.00223,1.00493,1.00087,1.00185,1.0045,1.00309,1.00448,1.0019,1.00183,1.00449,1.00115,1.00454,1.00304,1.00317,1.00297,
371.2,1.00126,1.0035,1.00251,1.00149,1.00296,1.00287,1.00398,1.00294,1.00201,1.00176,1.00221,1.00487,1.00087,1.00183,1.00451,1.00312,1.00451,1.00184,1.00181,1.00451,1.00111,1.00453,1.00305,1.00318,1.00292,
384,1.00124,1.0035,1.00246,1.00148,1.003,1.00286,1.00395,1.0029,1.00199,1.00173,1.00224,1.00485,1.00086,1.00181,1.0045,1.00311,1.00451,1.00186,1.0018,1.0045,1.00112,1.00452,1.00308,1.00318,1.0029,
396.8,1.00125,1.0035,1.00242,1.00149,1.00294,1.00285,1.00394,1.00288,1.00198,1.00167,1.00223,1.00482,1.00082,1.00179,1.00444,1.00303,1.00452,1.00185,1.00178,1.00447,1.00114,1.00451,1.00308,1.00315,1.00289,
409.6,1.00123,1.00351,1.00241,1.00145,1.00291,1.00282,1.00392,1.0029,1.00193,1.00165,1.00224,1.00477,1.00078,1.00175,1.00447,1.00299,1.00448,1.00186,1.00177,1.00441,1.00115,1.00451,1.00304,1.00313,1.00292,
435.2,1.00122,1.00354,1.00244,1.00142,1.00287,1.0028,1.00391,1.00292,1.0019,1.00163,1.00223,1.00477,1.00077,1.00167,1.00447,1.00298,1.00442,1.00179,1.00174,1.00441,1.00112,1.0045,1.00306,1.00311,1.00288,
460.8,1.00124,1.00353,1.00245,1.00144,1.00282,1.00277,1.00387,1.00286,1.00187,1.00155,1.00212,1.00481,1.00084,1.0017,1.00448,1.00299,1.0044,1.00179,1.00174,1.0044,1.00113,1.00449,1.00305,1.00307,1.00285,
486.4,1.00125,1.0035,1.00245,1.00145,1.00285,1.00277,1.00386,1.00281,1.00184,1.00155,1.00213,1.00481,1.0008,1.0017,1.00436,1.00298,1.00439,1.00172,1.00173,1.00435,1.0011,1.00447,1.00304,1.00303,1.0028,
512,1.00125,1.00343,1.00239,1.00141,1.00282,1.00269,1.00385,1.00277,1.00181,1.00156,1.00218,1.00475,1.00078,1.00164,1.00439,1.00294,1.00435,1.00173,1.00171,1.00429,1.00108,1.00442,1.00299,1.00301,1.00277,
537.6,1.00126,1.00336,1.00231,1.00138,1.00283,1.00267,1.00383,1.00279,1.00176,1.00152,1.00212,1.00472,1.00079,1.00162,1.00436,1.00291,1.00436,1.00173,1.00169,1.00428,1.00106,1.00439,1.00295,1.00299,1.00277,
563.2,1.00121,1.00333,1.00226,1.00138,1.00275,1.00265,1.00378,1.00276,1.00177,1.00152,1.00212,1.00468,1.00082,1.0016,1.00429,1.00291,1.00433,1.00169,1.00165,1.00431,1.00104,1.00441,1.00294,1.00297,1.00278,
588.8,1.00123,1.00335,1.00221,1.00134,1.00274,1.00266,1.00374,1.00277,1.00178,1.00158,1.00216,1.00466,1.00076,1.00158,1.00422,1.00295,1.0043,1.00165,1.00164,1.00425,1.00102,1.00436,1.00288,1.00293,1.00272,
614.4,1.0012,1.00334,1.0022,1.00133,1.00275,1.00268,1.00379,1.00271,1.00177,1.00157,1.00217,1.00465,1.00076,1.00158,1.00422,1.00294,1.00429,1.00164,1.00164,1.00421,1.00105,1.00435,1.00288,1.00292,1.00271,
640,1.0012,1.00331,1.00218,1.0013,1.0027,1.00266,1.00379,1.00269,1.00171,1.00151,1.00218,1.00463,1.00078,1.00159,1.00419,1.00285,1.00428,1.00164,1.00163,1.00418,1.00111,1.00429,1.00284,1.00291,1.00279,
665.6,1.00116,1.00326,1.00223,1.00128,1.00266,1.00262,1.00373,1.00269,1.00168,1.00151,1.00209,1.00463,1.00075,1.00158,1.00421,1.00283,1.00427,1.00161,1.00163,1.00421,1.00103,1.00429,1.00284,1.00289,1.00278,
691.2,1.00113,1.00324,1.00223,1.00126,1.00263,1.00262,1.00374,1.00266,1.00169,1.00151,1.00207,1.00462,1.00077,1.0016,1.00421,1.0029,1.00422,1.00165,1.00164,1.00425,1.00105,1.0043,1.00285,1.00288,1.00278,
716.8,1.00113,1.00321,1.0022,1.00126,1.00268,1.0026,1.0037,1.00264,1.00167,1.00145,1.00205,1.00459,1.00073,1.00156,1.00418,1.00286,1.0042,1.00165,1.00163,1.00422,1.00107,1.00431,1.00285,1.00284,1.00276,
742.4,1.00114,1.00322,1.00221,1.00127,1.00262,1.00265,1.00368,1.00259,1.00168,1.00145,1.00202,1.00454,1.0007,1.00155,1.00417,1.00284,1.00419,1.00162,1.00164,1.00419,1.00104,1.00429,1.00284,1.00285,1.00276,
768,1.00117,1.00326,1.00221,1.00127,1.00265,1.00261,1.00371,1.00256,1.00168,1.00141,1.00206,1.00452,1.00071,1.00152,1.00412,1.00282,1.00416,1.00163,1.00162,1.00419,1.00101,1.00425,1.00286,1.00284,1.00269,
793.6,1.00118,1.00326,1.0022,1.00121,1.00262,1.00259,1.00371,1.00253,1.00169,1.00136,1.00201,1.00454,1.00069,1.00153,1.00407,1.00277,1.00414,1.00163,1.00159,1.00413,1.00101,1.00426,1.00283,1.00283,1.00266,
819.2,1.00115,1.0032,1.00221,1.0012,1.00257,1.00256,1.00372,1.00254,1.00165,1.00132,1.00203,1.0045,1.00068,1.00151,1.00407,1.00282,1.00416,1.00163,1.00154,1.00412,1.00101,1.00427,1.00282,1.00282,1.00268,
870.4,1.00115,1.00314,1.00213,1.00116,1.00256,1.00252,1.00364,1.00253,1.00165,1.00137,1.00208,1.00444,1.00072,1.00148,1.00402,1.0028,1.00406,1.00165,1.00154,1.00403,1.00103,1.00424,1.00282,1.00278,1.00261,
921.6,1.00113,1.00314,1.00214,1.00121,1.00257,1.00259,1.00362,1.00249,1.00162,1.0014,1.00206,1.00445,1.00071,1.00144,1.00397,1.00278,1.00406,1.00163,1.00154,1.00401,1.00098,1.00418,1.0028,1.00279,1.00258,
972.8,1.00105,1.00312,1.00218,1.00117,1.00253,1.0025,1.00361,1.0025,1.00155,1.00139,1.00202,1.00441,1.00062,1.00141,1.00392,1.00277,1.00402,1.00158,1.00156,1.00396,1.001,1.00416,1.00276,1.00278,1.00265,
1024,1.00107,1.00313,1.00213,1.00111,1.00253,1.00246,1.00358,1.00248,1.00155,1.00137,1.00193,1.00438,1.0006,1.00143,1.0039,1.00272,1.00397,1.00157,1.0015,1.00399,1.00098,1.00417,1.00274,1.00276,1.00262,
1075.2,1.00112,1.00305,1.00208,1.00108,1.00247,1.00246,1.00354,1.00245,1.00153,1.00137,1.00193,1.00435,1.00064,1.00142,1.00382,1.00273,1.00394,1.00161,1.00155,1.00388,1.00092,1.00414,1.00275,1.00272,1.00255,
1126.4,1.00111,1.00303,1.0021,1.00108,1.00255,1.00241,1.00351,1.00244,1.00153,1.00135,1.00198,1.00432,1.00062,1.00141,1.00388,1.00273,1.00395,1.00154,1.00151,1.00381,1.0009,1.00407,1.00273,1.00269,1.00258,
1177.6,1.00109,1.00306,1.00209,1.00111,1.0025,1.00247,1.00347,1.00244,1.0015,1.00134,1.00197,1.00425,1.00062,1.0014,1.0038,1.0027,1.00392,1.00154,1.00145,1.00381,1.00096,1.00407,1.00275,1.0027,1.00255,
1228.8,1.00106,1.00304,1.00208,1.00109,1.00244,1.00242,1.00352,1.00238,1.00146,1.00132,1.00193,1.00421,1.00063,1.00141,1.00374,1.00269,1.00391,1.00156,1.00147,1.00381,1.00094,1.00412,1.0027,1.00266,1.00256,
1280,1.00107,1.00301,1.00207,1.00108,1.00244,1.00238,1.00349,1.00238,1.00147,1.0013,1.00198,1.00426,1.00059,1.00138,1.00373,1.00271,1.00388,1.00156,1.00146,1.00379,1.00099,1.0041,1.00272,1.00264,1.00255,
1331.2,1.00102,1.00296,1.00202,1.00103,1.00244,1.00245,1.00348,1.00234,1.00144,1.00131,1.00194,1.00425,1.00057,1.00139,1.00368,1.00269,1.00388,1.00153,1.00141,1.00381,1.001,1.00405,1.00272,1.00262,1.00258,
1382.4,1.00105,1.00293,1.00204,1.00102,1.00242,1.00246,1.00348,1.00233,1.00144,1.00129,1.00189,1.00423,1.00056,1.0014,1.00367,1.00264,1.00385,1.00153,1.00145,1.00373,1.00098,1.004,1.00271,1.00259,1.00251,
1433.6,1.00106,1.00292,1.00201,1.00099,1.00236,1.00241,1.00347,1.00227,1.00142,1.00136,1.0019,1.0042,1.00058,1.00135,1.00367,1.00264,1.00384,1.00153,1.00144,1.00377,1.00093,1.004,1.00278,1.0026,1.00248,
1484.8,1.00103,1.00289,1.00202,1.00099,1.00238,1.00242,1.00347,1.00227,1.00143,1.00137,1.00188,1.00415,1.0006,1.00132,1.00362,1.00262,1.0038,1.00152,1.00143,1.00367,1.00097,1.00402,1.00268,1.00258,1.00246,
1536,1.00103,1.0029,1.00201,1.00098,1.00247,1.0024,1.00344,1.00227,1.00143,1.00127,1.00194,1.00415,1.0006,1.00127,1.00362,1.00263,1.0038,1.00154,1.00141,1.00368,1.00095,1.00401,1.00266,1.00257,1.00243,
1587.2,1.00106,1.00287,1.00203,1.00098,1.00243,1.0024,1.00338,1.00226,1.00141,1.00131,1.0019,1.00414,1.00058,1.00126,1.00363,1.0026,1.00377,1.00149,1.00143,1.00368,1.00094,1.00399,1.00264,1.00257,1.00244,
1638.4,1.00104,1.00289,1.00199,1.00093,1.00239,1.00236,1.00342,1.00225,1.00139,1.00135,1.00185,1.0041,1.00058,1.00127,1.00359,1.00263,1.00378,1.0015,1.00141,1.00369,1.00094,1.00397,1.00263,1.00254,1.00245,
1740.8,1.00104,1.00282,1.00197,1.0009,1.00233,1.0024,1.00341,1.00223,1.00141,1.00128,1.00191,1.00408,1.00059,1.00127,1.00353,1.00256,1.00371,1.0015,1.00141,1.00358,1.00101,1.00397,1.00261,1.00253,1.00244,
1843.2,1.00102,1.0028,1.00197,1.00092,1.00236,1.00238,1.00338,1.00217,1.00142,1.00123,1.00191,1.00403,1.00057,1.00125,1.00343,1.00261,1.00369,1.00146,1.00143,1.0035,1.00099,1.0039,1.00262,1.0025,1.00245,
1945.6,1.00101,1.0028,1.00201,1.00088,1.00236,1.0024,1.00335,1.00215,1.00135,1.00123,1.00189,1.00403,1.00051,1.00125,1.00345,1.00264,1.00366,1.00145,1.00138,1.00348,1.00097,1.00389,1.0026,1.00249,1.00238,
2048,1.00101,1.00274,1.00199,1.00085,1.00233,1.00235,1.00333,1.00211,1.00136,1.00121,1.00187,1.00399,1.00049,1.00124,1.00343,1.00256,1.00362,1.00146,1.00137,1.00345,1.00092,1.00385,1.00259,1.00248,1.00238,
2150.4,1.00097,1.00275,1.00196,1.00084,1.00239,1.00234,1.00331,1.00209,1.00135,1.00126,1.00182,1.00399,1.0005,1.00123,1.00335,1.0025,1.00358,1.00143,1.0014,1.00343,1.00092,1.00386,1.00256,1.00249,1.00234,
2252.8,1.00102,1.00272,1.00191,1.0008,1.00235,1.00236,1.00332,1.00211,1.00134,1.00134,1.00185,1.00393,1.00054,1.00118,1.00337,1.00254,1.00357,1.00144,1.00134,1.00342,1.00094,1.00382,1.00257,1.00243,1.00231,
2355.2,1.00098,1.00272,1.00196,1.00079,1.00233,1.00236,1.00329,1.00208,1.00133,1.00124,1.00187,1.00393,1.00053,1.00117,1.00331,1.00247,1.00357,1.00137,1.00136,1.00331,1.0009,1.0038,1.00253,1.00242,1.00233,
2457.6,1.00099,1.00271,1.00194,1.00077,1.00231,1.00236,1.00324,1.00207,1.00129,1.00114,1.00185,1.0039,1.0005,1.00113,1.00334,1.00254,1.00357,1.00141,1.00133,1.00329,1.00095,1.00375,1.00253,1.00238,1.0023,
2560,1.00097,1.00265,1.00192,1.00077,1.00235,1.00234,1.00319,1.00201,1.00128,1.00117,1.00184,1.00386,1.00045,1.0012,1.00329,1.00251,1.00357,1.00141,1.00133,1.00332,1.00093,1.00375,1.00255,1.00238,1.00235,
2662.4,1.00096,1.00262,1.00195,1.00076,1.00237,1.00232,1.00323,1.00201,1.00125,1.00118,1.00182,1.00387,1.00048,1.00114,1.00322,1.00246,1.0035,1.00136,1.00136,1.00323,1.00095,1.00376,1.00251,1.00234,1.00231,
2764.8,1.00093,1.00258,1.00192,1.00075,1.00237,1.00229,1.00322,1.002,1.00128,1.00121,1.00178,1.00384,1.00045,1.00114,1.00324,1.00244,1.00346,1.00139,1.00129,1.00322,1.00097,1.00372,1.00253,1.0024,1.00228,
2867.2,1.00092,1.00259,1.00192,1.00072,1.00231,1.00228,1.00325,1.00198,1.00126,1.00123,1.00181,1.00378,1.00047,1.00111,1.00324,1.00248,1.00346,1.0014,1.00128,1.00313,1.00097,1.00374,1.00251,1.00235,1.00224,
2969.6,1.00095,1.00261,1.0019,1.0007,1.0023,1.00235,1.00317,1.002,1.00122,1.00119,1.0018,1.0038,1.00043,1.00113,1.00323,1.00247,1.0035,1.00139,1.00134,1.00312,1.00092,1.00368,1.00245,1.00233,1.00215,
3072,1.00099,1.00258,1.0019,1.00076,1.00232,1.0023,1.00315,1.00195,1.00126,1.00119,1.0018,1.00378,1.00047,1.00114,1.00318,1.00246,1.00348,1.00137,1.00126,1.00314,1.0009,1.0037,1.00245,1.00234,1.00219,
3174.4,1.00099,1.00258,1.00193,1.00074,1.00233,1.00228,1.00313,1.00196,1.00127,1.00114,1.00179,1.00377,1.00046,1.00111,1.00315,1.00245,1.0034,1.00136,1.00131,1.00314,1.00092,1.00369,1.00249,1.00232,1.00217,
3276.8,1.00097,1.00254,1.00195,1.00071,1.00229,1.00232,1.0031,1.00195,1.00123,1.00114,1.00178,1.00375,1.00044,1.00111,1.00315,1.00245,1.00334,1.00135,1.0013,1.00311,1.00095,1.00368,1.00249,1.0023,1.00213,
3481.6,1.00093,1.00255,1.00189,1.0007,1.0023,1.00235,1.00309,1.00193,1.00123,1.00116,1.00178,1.0037,1.00042,1.00109,1.00314,1.00244,1.00338,1.00137,1.00127,1.00297,1.00095,1.00367,1.00246,1.00232,1.00216,
3686.4,1.00095,1.00251,1.00189,1.00071,1.00228,1.00232,1.00309,1.0019,1.00123,1.00119,1.00176,1.00366,1.00046,1.00111,1.00309,1.00243,1.0034,1.00136,1.00126,1.00299,1.00091,1.00364,1.00246,1.0023,1.00212,
3891.2,1.00097,1.00245,1.00187,1.00071,1.0023,1.0023,1.00311,1.00187,1.00123,1.00118,1.00177,1.0036,1.00041,1.00109,1.00307,1.00243,1.00334,1.00135,1.00126,1.00295,1.00091,1.00362,1.00242,1.00228,1.00213,
