Time (µs), carbonic anhydrase A1 12:02:17 , carbonic anhydrase A2 12:05:51 , carbonic anhydrase A3 12:09:27 , carbonic anhydrase A4 12:13:00 , carbonic anhydrase A5 12:16:37 , carbonic anhydrase A1 12:20:14 , carbonic anhydrase A2 12:23:51 , carbonic anhydrase A3 12:27:25 , carbonic anhydrase A4 12:30:59 , carbonic anhydrase A5 12:34:33 , carbonic anhydrase A1 12:38:11 , carbonic anhydrase A2 12:41:47 , carbonic anhydrase A3 12:45:33 , carbonic anhydrase A4 12:49:12 , carbonic anhydrase A5 12:52:45 , carbonic anhydrase A1 12:56:24 , carbonic anhydrase A2 12:59:57 , carbonic anhydrase A3 13:03:36 , carbonic anhydrase A4 13:07:13 , carbonic anhydrase A5 13:10:48 , carbonic anhydrase A1 13:14:26 , carbonic anhydrase A2 13:18:21 , carbonic anhydrase A3 13:22:03 , carbonic anhydrase A4 13:25:48 , carbonic anhydrase A5 13:29:27 ,
1.8,1.10252,1.10454,1.09918,1.08209,1.12947,1.11089,1.10531,1.09935,1.08053,1.12445,1.10999,1.10854,1.09977,1.07921,1.12196,1.11012,1.1052,1.10639,1.07901,1.1236,1.10489,1.10293,1.10882,1.08243,1.12013,
1.9,1.10179,1.10389,1.0985,1.08149,1.12857,1.10996,1.10465,1.0987,1.08,1.12349,1.10921,1.10782,1.09913,1.07856,1.1212,1.10932,1.1045,1.10566,1.07841,1.12266,1.10434,1.10219,1.1081,1.08189,1.11932,
2,1.10109,1.10319,1.09788,1.08094,1.12761,1.10954,1.104,1.09804,1.07943,1.12283,1.1087,1.1072,1.09848,1.07814,1.1204,1.10858,1.10369,1.10489,1.07807,1.12184,1.10348,1.10144,1.10736,1.08142,1.11863,
2.1,1.10043,1.1025,1.09724,1.08043,1.12694,1.10865,1.10331,1.09733,1.07892,1.12193,1.10804,1.10649,1.09766,1.0775,1.11954,1.10799,1.10315,1.10418,1.07738,1.12113,1.10276,1.10088,1.10664,1.08081,1.11776,
2.2,1.0997,1.10187,1.09661,1.07992,1.12604,1.10802,1.10266,1.09666,1.07842,1.12115,1.10724,1.1057,1.09707,1.07697,1.11884,1.10715,1.10249,1.10363,1.07697,1.12018,1.10218,1.10027,1.10585,1.08034,1.11696,
2.3,1.09908,1.10111,1.09591,1.0794,1.12516,1.10729,1.10184,1.09612,1.07794,1.1203,1.10641,1.10505,1.09646,1.07653,1.11801,1.10638,1.10186,1.10285,1.07626,1.1194,1.1013,1.09956,1.10537,1.0798,1.11619,
2.4,1.09828,1.10056,1.09537,1.07883,1.12435,1.10653,1.10122,1.09543,1.07754,1.11955,1.10586,1.10435,1.09568,1.07596,1.11739,1.10577,1.10114,1.10212,1.07596,1.1187,1.10057,1.099,1.10452,1.07932,1.11544,
2.5,1.09785,1.09981,1.09462,1.07832,1.12343,1.10578,1.10058,1.09492,1.07689,1.11857,1.10507,1.10376,1.09512,1.0756,1.11654,1.1051,1.10046,1.10138,1.07533,1.11781,1.09988,1.09828,1.10374,1.07874,1.11459,
2.6,1.09706,1.09919,1.094,1.07792,1.12274,1.10515,1.09996,1.09422,1.07648,1.11779,1.10422,1.10301,1.09439,1.07503,1.11574,1.10429,1.09983,1.10077,1.07489,1.11711,1.09927,1.0977,1.10316,1.07828,1.11374,
2.7,1.09658,1.0986,1.09343,1.07726,1.12202,1.10445,1.09936,1.09362,1.07595,1.11718,1.10382,1.10241,1.09379,1.07451,1.1151,1.10367,1.09917,1.10003,1.07434,1.11635,1.09866,1.09692,1.10252,1.07779,1.11326,
2.8,1.09573,1.0979,1.09278,1.0768,1.1211,1.10381,1.09874,1.093,1.07549,1.11624,1.1029,1.1018,1.09317,1.07396,1.11434,1.10304,1.09859,1.09942,1.07397,1.11567,1.09792,1.09643,1.10186,1.07723,1.11231,
2.9,1.09516,1.09725,1.09216,1.07627,1.12023,1.10322,1.09813,1.09231,1.07488,1.1155,1.10221,1.10112,1.09264,1.07356,1.11349,1.10222,1.09791,1.09872,1.07337,1.11469,1.09727,1.09579,1.10111,1.07689,1.11154,
3,1.0946,1.09672,1.09161,1.07571,1.11945,1.10248,1.09736,1.09179,1.0744,1.11477,1.10171,1.10055,1.09187,1.07306,1.11285,1.1016,1.09733,1.09812,1.07303,1.11399,1.09653,1.09514,1.10054,1.07624,1.11077,
3.1,1.09402,1.09612,1.091,1.07536,1.1187,1.10176,1.09676,1.09119,1.07394,1.11399,1.10108,1.09981,1.09128,1.07255,1.11211,1.10112,1.09678,1.0975,1.0725,1.11316,1.09583,1.09449,1.09988,1.07581,1.11007,
3.2,1.09325,1.09552,1.09033,1.07478,1.11789,1.10125,1.09619,1.09062,1.07351,1.11334,1.10036,1.09928,1.09059,1.07215,1.1115,1.10036,1.0961,1.09682,1.07206,1.11268,1.09531,1.09402,1.09919,1.07527,1.10942,
3.4,1.09214,1.09428,1.08932,1.07376,1.11637,1.0998,1.09493,1.08948,1.07254,1.11178,1.099,1.09799,1.08938,1.07126,1.11,1.09906,1.0949,1.09546,1.0712,1.11107,1.094,1.09274,1.09788,1.07438,1.10788,
3.6,1.09094,1.09307,1.08808,1.07294,1.11488,1.09852,1.09368,1.08827,1.0716,1.11033,1.09781,1.09682,1.08825,1.07029,1.10861,1.09784,1.09365,1.0943,1.07013,1.10974,1.09264,1.09163,1.0966,1.07349,1.10653,
3.8,1.08968,1.09191,1.08697,1.07188,1.11335,1.09729,1.09253,1.08717,1.07069,1.10884,1.09639,1.09559,1.08708,1.06942,1.10726,1.09651,1.09245,1.0931,1.06928,1.10831,1.09148,1.09047,1.09536,1.07258,1.10507,
4,1.08842,1.09073,1.08585,1.07093,1.11191,1.09598,1.09136,1.08615,1.06987,1.10744,1.09516,1.09446,1.0859,1.0685,1.10585,1.09518,1.09137,1.09178,1.06839,1.10695,1.09035,1.08932,1.09421,1.07162,1.10367,
4.2,1.08737,1.08956,1.08478,1.07011,1.1105,1.09487,1.09024,1.08499,1.06901,1.10602,1.09394,1.09324,1.08473,1.06766,1.10464,1.09413,1.09021,1.09059,1.06754,1.10554,1.08907,1.08813,1.09293,1.07067,1.1024,
4.4,1.08617,1.08844,1.08373,1.06916,1.10911,1.09363,1.08909,1.08386,1.06803,1.10466,1.09277,1.09214,1.08362,1.06674,1.1033,1.0928,1.08919,1.08941,1.06663,1.10419,1.08788,1.0871,1.0917,1.06991,1.10107,
4.6,1.08501,1.08735,1.08268,1.06821,1.10763,1.09239,1.08799,1.08279,1.06726,1.10323,1.09154,1.09096,1.08252,1.06598,1.102,1.09173,1.08799,1.08827,1.06585,1.10279,1.08681,1.08595,1.09061,1.06904,1.09977,
4.8,1.08398,1.0863,1.08167,1.06738,1.10622,1.09127,1.08679,1.0817,1.06637,1.10196,1.09036,1.08986,1.08139,1.06511,1.10077,1.09055,1.0869,1.08716,1.065,1.10156,1.08553,1.08491,1.08939,1.06817,1.0985,
5,1.08281,1.08524,1.08059,1.06646,1.1049,1.09012,1.08585,1.0807,1.06552,1.10057,1.08923,1.08879,1.08029,1.06427,1.09951,1.08935,1.08583,1.086,1.06426,1.10023,1.08432,1.08377,1.08828,1.06737,1.09716,
5.2,1.08175,1.08408,1.0796,1.0656,1.10361,1.08909,1.08471,1.0797,1.06468,1.0993,1.08808,1.0876,1.07924,1.06351,1.09823,1.08824,1.08479,1.08489,1.06334,1.09899,1.08325,1.08284,1.08724,1.06648,1.09585,
5.4,1.08075,1.08311,1.07855,1.06481,1.10223,1.08789,1.08364,1.07874,1.06387,1.09806,1.08679,1.08656,1.07822,1.06262,1.09703,1.08719,1.08371,1.08383,1.06249,1.0976,1.08216,1.0818,1.08614,1.0657,1.0947,
5.6,1.07968,1.08201,1.07754,1.06394,1.10095,1.08681,1.08257,1.0777,1.06308,1.09682,1.08576,1.08559,1.07722,1.06185,1.09598,1.08603,1.08267,1.08267,1.06176,1.0965,1.081,1.0808,1.08501,1.06493,1.09347,
5.8,1.07871,1.08107,1.07655,1.06316,1.09978,1.0857,1.08154,1.07673,1.06235,1.09552,1.08471,1.0845,1.07612,1.06112,1.09474,1.08504,1.08168,1.08172,1.06105,1.09525,1.08,1.07981,1.08387,1.06405,1.09224,
6,1.07763,1.08012,1.0756,1.06228,1.09837,1.08466,1.08052,1.07582,1.0615,1.09431,1.08362,1.08353,1.07525,1.06033,1.09357,1.08388,1.08076,1.08064,1.06024,1.09406,1.07898,1.07881,1.0828,1.06338,1.09099,
6.2,1.07659,1.07902,1.07471,1.06158,1.09709,1.08362,1.07961,1.07482,1.06071,1.09313,1.08259,1.08249,1.07421,1.05959,1.09236,1.08268,1.07971,1.07957,1.05953,1.09286,1.07796,1.0778,1.0818,1.06258,1.08988,
6.4,1.07561,1.07801,1.07374,1.06076,1.09595,1.0824,1.07865,1.0739,1.06,1.09186,1.08164,1.08145,1.07318,1.05888,1.09126,1.08176,1.07875,1.0786,1.05873,1.09172,1.07684,1.07683,1.08079,1.06182,1.08869,
6.8,1.0738,1.07625,1.07198,1.05925,1.09355,1.08055,1.07671,1.07206,1.05855,1.08961,1.07945,1.07953,1.07129,1.05741,1.08903,1.07972,1.07686,1.07656,1.05724,1.0894,1.07492,1.07501,1.07873,1.06034,1.08642,
7.2,1.07193,1.07439,1.07014,1.0578,1.09121,1.0785,1.07485,1.07029,1.05712,1.08731,1.07749,1.07768,1.06944,1.05603,1.08695,1.07775,1.07495,1.07461,1.05589,1.08726,1.073,1.07319,1.07676,1.05891,1.08429,
7.6,1.07003,1.07258,1.06848,1.05635,1.08902,1.07658,1.07303,1.0686,1.05567,1.08507,1.07563,1.0758,1.06765,1.05462,1.08478,1.07587,1.07316,1.07272,1.05445,1.08505,1.07113,1.07145,1.07485,1.05745,1.08216,
8,1.06834,1.07083,1.06673,1.05488,1.08678,1.0747,1.07122,1.06689,1.05428,1.08294,1.07372,1.07402,1.06589,1.05328,1.08277,1.07398,1.07149,1.07092,1.05316,1.083,1.06925,1.06973,1.07299,1.05611,1.08009,
8.4,1.06659,1.06908,1.06518,1.05349,1.08461,1.07297,1.06952,1.06524,1.05299,1.08088,1.07181,1.07227,1.06422,1.05198,1.08085,1.07222,1.06974,1.06913,1.05188,1.08094,1.06748,1.0681,1.07122,1.05477,1.07812,
8.8,1.06495,1.06744,1.06357,1.05221,1.08251,1.0711,1.0679,1.06369,1.05172,1.07884,1.07003,1.07059,1.06251,1.05068,1.0789,1.07038,1.06811,1.06744,1.05057,1.07894,1.06572,1.06646,1.06946,1.05352,1.07613,
9.2,1.06327,1.06591,1.06205,1.05092,1.08048,1.0694,1.06623,1.06209,1.05049,1.07685,1.06827,1.06897,1.06092,1.04943,1.07704,1.0687,1.06654,1.06572,1.04931,1.07701,1.06406,1.06485,1.06772,1.05228,1.07425,
