C:\Users\fileExample.mxp
Segment  2 Plateau  1 Well  1
                                    	          ROX			
                                    	  43	      3802	 66.7	
                                    	  44	      4365	 67.9	
                                    	  45	      4972	 68.7	
                                    	  46	      5503	 69.7	
                                    	  47	      5784	 70.7	
                                    	  48	      5886	 71.9	
                                    	  49	      5877	 72.7	
                                    	  50	      5855	 73.7	
                                    	  51	      5809	 74.9	
                                    	  52	      5824	 75.9	
                                    	  53	      5765	 76.7	
                                    	  54	      5757	 77.7	
                                    	  55	      5753	 78.7	
                                    	  56	      5732	 79.9	
                                    	  57	      5758	 80.9	
                                    	  58	      5780	 81.7	
                                    	  59	      5758	 82.9	
                                    	  60	      5731	 83.9	
                                    	  61	      5691	 84.7	
                                    	  62	      5674	 85.7	
                                    	  63	      5616	 86.7	
                                    	  64	      5563	 87.7	
                                    	  65	      5470	 88.7	
                                    	  66	      5442	 89.9	
                                    	  67	      5416	 90.7	
                                    	  68	      5361	 91.7	
                                    	  69	      5314	 93.0	
                                    	  70	      5296	 93.7
