#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#Example parameter file designed for the basis set DS-dT, with an SS prior based on the reference SP175 set:

#|SS Dist	dim 	mean	SD		min	max	step
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
#
# Helix  Beta  Other   P(SS)  
 0.150  0.350  0.550  1.534e-02 
 0.250  0.350  0.550  3.213e-02 
 0.050  0.450  0.550  9.086e-04 
 0.150  0.450  0.550  2.093e-04 
 0.050  0.550  0.550  1.536e-05 
 0.250  0.050  0.650  3.967e-04 
 0.350  0.050  0.650  6.401e-04 
 0.450  0.050  0.650  3.489e-04 
 0.150  0.150  0.650  1.389e-02 
 0.250  0.150  0.650  4.290e-03 
 0.350  0.150  0.650  1.286e-03 
 0.050  0.250  0.650  1.863e-02 
 0.150  0.250  0.650  3.493e-02 
 0.250  0.250  0.650  1.984e-02 
 0.050  0.350  0.650  1.213e-03 
 0.150  0.350  0.650  2.625e-03 
 0.050  0.450  0.650  8.366e-05 
 0.150  0.050  0.750  1.218e-03 
 0.250  0.050  0.750  7.327e-05 
 0.350  0.050  0.750  2.696e-06 
 0.050  0.150  0.750  4.682e-03 
 0.150  0.150  0.750  1.176e-02 
 0.250  0.150  0.750  6.402e-04 
 0.050  0.250  0.750  4.921e-03 
 0.150  0.250  0.750  7.292e-03 
 0.050  0.350  0.750  2.598e-04 
 0.050  0.050  0.850  1.450e-04 
 0.150  0.050  0.850  1.734e-04 
 0.250  0.050  0.850  4.990e-06 
 0.050  0.150  0.850  2.731e-04 
 0.150  0.150  0.850  3.949e-04 
 0.050  0.250  0.850  1.742e-04 
 0.050  0.050  0.950  5.755e-05 
 0.150  0.050  0.950  5.755e-05 
 0.050  0.150  0.950  3.767e-06 
&

#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 0.150  0.300  6.476e-07 
 0.450  0.300  7.186e-05 
 0.750  0.300  9.779e-05 
 1.050  0.300  1.632e-06 
 1.350  0.300  5.093e-10 
 1.650  0.300  2.703e-10 
 1.950  0.300  5.814e-10 
 2.250  0.300  1.380e-09 
 2.550  0.300  2.479e-09 
 2.850  0.300  2.959e-09 
 3.150  0.300  2.280e-09 
 3.450  0.300  1.127e-09 
 3.750  0.300  3.565e-10 
 4.050  0.300  7.220e-11 
 4.350  0.300  9.359e-12 
 4.650  0.300  7.762e-13 
 4.950  0.300  4.121e-14 
 5.250  0.300  1.401e-15 
 5.550  0.300  3.078e-17 
 5.850  0.300  4.927e-19 
 0.150  0.500  2.861e-10 
 0.450  0.500  1.155e-09 
 0.750  0.500  2.615e-09 
 1.050  0.500  8.140e-09 
 1.350  0.500  3.755e-06 
 1.650  0.500  6.512e-06 
 1.950  0.500  4.266e-08 
 2.250  0.500  5.535e-08 
 2.550  0.500  9.969e-08 
 2.850  0.500  1.191e-07 
 3.150  0.500  9.176e-08 
 3.450  0.500  4.535e-08 
 3.750  0.500  1.435e-08 
 4.050  0.500  2.906e-09 
 4.350  0.500  3.768e-10 
 4.650  0.500  3.130e-11 
 4.950  0.500  1.673e-12 
 5.250  0.500  6.001e-14 
 5.550  0.500  2.023e-15 
 5.850  0.500  1.696e-16 
 0.150  0.700  1.241e-07 
 0.450  0.700  5.281e-07 
 0.750  0.700  1.506e-06 
 1.050  0.700  2.877e-06 
 1.350  0.700  3.695e-06 
 1.650  0.700  3.248e-06 
 1.950  0.700  2.193e-06 
 2.250  0.700  1.756e-06 
 2.550  0.700  2.131e-06 
 2.850  0.700  2.368e-06 
 3.150  0.700  1.805e-06 
 3.450  0.700  8.903e-07 
 3.750  0.700  2.817e-07 
 4.050  0.700  5.707e-08 
 4.350  0.700  7.405e-09 
 4.650  0.700  6.172e-10 
 4.950  0.700  3.368e-11 
 5.250  0.700  1.385e-12 
 5.550  0.700  8.447e-14 
 5.850  0.700  1.188e-14 
 0.150  0.900  1.410e-04 
 0.450  0.900  6.025e-04 
 0.750  0.900  1.719e-03 
 1.050  0.900  3.277e-03 
 1.350  0.900  4.176e-03 
 1.650  0.900  3.560e-03 
 1.950  0.900  2.036e-03 
 2.250  0.900  7.907e-04 
 2.550  0.900  2.216e-04 
 2.850  0.900  5.860e-05 
 3.150  0.900  2.180e-05 
 3.450  0.900  8.940e-06 
 3.750  0.900  2.726e-06 
 4.050  0.900  5.477e-07 
 4.350  0.900  7.086e-08 
 4.650  0.900  5.881e-09 
 4.950  0.900  3.145e-10 
 5.250  0.900  1.131e-11 
 5.550  0.900  3.877e-13 
 5.850  0.900  3.333e-14 
 0.150  1.100  4.350e-03 
 0.450  1.100  1.859e-02 
 0.750  1.100  5.307e-02 
 1.050  1.100  1.012e-01 
 1.350  1.100  1.291e-01 
 1.650  1.100  1.103e-01 
 1.950  1.100  6.320e-02 
 2.250  1.100  2.447e-02 
 2.550  1.100  6.514e-03 
 2.850  1.100  1.278e-03 
 3.150  1.100  2.343e-04 
 3.450  1.100  5.493e-05 
 3.750  1.100  1.376e-05 
 4.050  1.100  2.621e-06 
 4.350  1.100  3.337e-07 
 4.650  1.100  2.751e-08 
 4.950  1.100  1.457e-09 
 5.250  1.100  4.949e-11 
 5.550  1.100  1.088e-12 
 5.850  1.100  1.764e-14 
 0.150  1.300  3.593e-03 
 0.450  1.300  1.541e-02 
 0.750  1.300  4.421e-02 
 1.050  1.300  8.505e-02 
 1.350  1.300  1.101e-01 
 1.650  1.300  9.634e-02 
 1.950  1.300  5.769e-02 
 2.250  1.300  2.413e-02 
 2.550  1.300  7.372e-03 
 2.850  1.300  1.831e-03 
 3.150  1.300  4.546e-04 
 3.450  1.300  1.263e-04 
 3.750  1.300  3.220e-05 
 4.050  1.300  6.061e-06 
 4.350  1.300  7.653e-07 
 4.650  1.300  6.284e-08 
 4.950  1.300  3.321e-09 
 5.250  1.300  1.126e-10 
 5.550  1.300  2.445e-12 
 5.850  1.300  3.400e-14 
 0.150  1.500  9.257e-05 
 0.450  1.500  4.210e-04 
 0.750  1.500  1.318e-03 
 1.050  1.500  2.882e-03 
 1.350  1.500  4.475e-03 
 1.650  1.500  5.025e-03 
 1.950  1.500  4.151e-03 
 2.250  1.500  2.586e-03 
 2.550  1.500  1.298e-03 
 2.850  1.500  6.031e-04 
 3.150  1.500  2.793e-04 
 3.450  1.500  1.124e-04 
 3.750  1.500  3.310e-05 
 4.050  1.500  6.537e-06 
 4.350  1.500  8.394e-07 
 4.650  1.500  6.937e-08 
 4.950  1.500  3.676e-09 
 5.250  1.500  1.248e-10 
 5.550  1.500  2.711e-12 
 5.850  1.500  3.770e-14 
 0.150  1.700  6.535e-07 
 0.450  1.700  3.821e-06 
 0.750  1.700  1.563e-05 
 1.050  1.700  4.473e-05 
 1.350  1.700  8.993e-05 
 1.650  1.700  1.293e-04 
 1.950  1.700  1.427e-04 
 2.250  1.700  1.449e-04 
 2.550  1.700  1.567e-04 
 2.850  1.700  1.549e-04 
 3.150  1.700  1.127e-04 
 3.450  1.700  5.477e-05 
 3.750  1.700  1.724e-05 
 4.050  1.700  3.485e-06 
 4.350  1.700  4.514e-07 
