178 -7.849
179 -6.926
180 -5.903
181 -4.782
182 -3.595
183 -2.375
184 -1.187
185 -0.033
186 1.022
187 1.979
188 2.737
189 3.331
190 3.694
191 3.826
192 3.925
193 3.925
194 3.826
195 3.694
196 3.694
197 3.892
198 4.221
199 4.617
200 4.947
201 5.145
202 5.013
203 4.683
204 4.155
205 3.397
206 2.572
207 1.682
208 0.89
209 0.198
210 -0.363
211 -0.89
212 -1.385
213 -1.781
214 -2.144
215 -2.441
216 -2.638
217 -2.803
218 -2.935
219 -3.067
220 -3.133
221 -3.166
222 -3.133
223 -3.067
224 -3.001
225 -2.902
226 -2.803
227 -2.671
228 -2.506
229 -2.309
230 -2.111
231 -1.913
232 -1.682
233 -1.451
234 -1.22
235 -0.989
236 -0.792
237 -0.66
238 -0.561
239 -0.495
240 -0.495
241 -0.462
242 -0.429
243 -0.363
244 -0.33
245 -0.297
246 -0.264
247 -0.231
248 -0.198
249 -0.165
250 -0.165
251 -0.132
252 -0.132
253 -0.099
254 -0.066
255 -0.033
256 0
257 0.033
258 0
259 0
260 -0.033

