#Reformatted CD measurement data (ProData):
#source: ../raw/H2O_1um_rep100056.txt
#repeat: 1

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 300.0   -0.528     0.141      -0.016635    281.876   7.97347     22.6     20000.0
 299.5   -0.579     0.137      -0.017027    281.876   7.96823     22.6     20000.0
 299.0   -0.573     0.123      -0.014597    281.876   7.95705     22.6     20000.0
 298.5   -0.532     0.127      -0.016866    281.876   8.02761     22.6     20000.0
 298.0   -0.437     0.123      -0.014745    281.876   8.00167     22.6     20000.0
 297.5   -0.631     0.140      -0.016788    281.876   8.08893     22.6     20000.0
 297.0   -0.414     0.110      -0.015688    281.876   8.06055     22.6     20000.0
 296.5   -0.445     0.119      -0.015476    281.876   8.09593     22.6     20000.0
 296.0   -0.413     0.130      -0.017017    281.876   8.13548     22.6     20000.0
 295.5   -0.560     0.122      -0.016138    281.845   8.12708     22.6     20000.0
 295.0   -0.708     0.122      -0.017491    281.845   8.18808     22.6     20000.0
 294.5   -0.530     0.134      -0.015365    281.296   8.07457     22.6     20000.0
 294.0   -0.550     0.117      -0.019067    281.296   8.16046     22.6     20000.0
 293.5   -0.652     0.144      -0.015309    281.204   8.09021     22.6     20000.0
 293.0   -0.573     0.126      -0.017625    281.204   8.15373     22.6     20000.0
 292.5   -0.629     0.115      -0.016258    281.021   8.11260     22.6     20000.0
 292.0   -0.524     0.114      -0.016729    280.426   8.08111     22.6     20000.0
 291.5   -0.526     0.108      -0.018435    280.426   8.21008     22.6     20000.0
 291.0   -0.553     0.138      -0.015701    279.358   8.08514     22.6     20000.0
 290.5   -0.688     0.142      -0.018907    279.358   7.97567     22.6     20000.0
 290.0   -0.626     0.130      -0.016210    279.358   7.88245     22.6     20000.0
 289.5   -0.485     0.147      -0.019080    279.358   7.92252     22.6     20000.0
 289.0   -0.704     0.117      -0.016096    279.358   7.89215     22.6     20000.0
 288.5   -0.569     0.137      -0.017574    279.358   7.94648     22.6     20000.0
 288.0   -0.551     0.129      -0.018478    279.358   7.93655     22.6     20000.0
 287.5   -0.597     0.124      -0.017528    279.358   7.95764     22.6     20000.0
 287.0   -0.734     0.137      -0.018996    279.358   7.94746     22.6     20000.0
 286.5   -0.383     0.123      -0.017224    279.358   7.95358     22.6     20000.0
 286.0   -0.630     0.131      -0.019380    279.358   7.95647     22.6     20000.0
 285.5   -0.513     0.132      -0.016208    279.358   7.94308     22.6     20000.0
 285.0   -0.426     0.119      -0.018020    279.358   7.95137     22.6     20000.0
 284.5   -0.367     0.124      -0.018529    279.358   7.97554     22.6     20000.0
 284.0   -0.759     0.136      -0.017029    279.358   7.94538     22.6     20000.0
 283.5   -0.421     0.115      -0.019416    279.358   7.98042     22.6     20000.0
 283.0   -0.836     0.129      -0.017456    279.358   7.97876     22.6     20000.0
 282.5   -0.584     0.139      -0.019628    279.358   7.98315     22.6     20000.0
 282.0   -0.548     0.145      -0.017780    279.358   7.99180     22.6     20000.0
 281.5   -0.799     0.130      -0.018124    279.358   7.98736     22.6     20000.0
 281.0   -0.583     0.132      -0.019158    279.358   8.00471     22.6     20000.0
 280.5   -0.517     0.139      -0.017626    279.358   7.97208     22.6     20000.0
 280.0   -0.589     0.119      -0.020038    279.358   7.99284     22.6     20000.0
 279.5   -0.778     0.130      -0.018630    279.358   7.95991     22.6     20000.0
 279.0   -0.607     0.138      -0.019839    279.358   7.96974     22.6     20000.0
 278.5   -0.677     0.118      -0.017771    279.358   7.95879     22.6     20000.0
 278.0   -0.675     0.121      -0.020185    279.358   7.95768     22.6     20000.0
 277.5   -0.775     0.110      -0.018913    279.358   7.94778     22.6     20000.0
 277.0   -0.315     0.127      -0.019386    279.358   7.94888     22.6     20000.0
 276.5   -0.630     0.129      -0.019590    279.358   7.91586     22.6     20000.0
 276.0   -0.597     0.117      -0.018472    279.358   7.93420     22.6     20000.0
 275.5   -0.600     0.133      -0.019682    279.358   7.91598     22.6     20000.0
 275.0   -0.516     0.122      -0.018219    279.358   7.89020     22.6     20000.0
 274.5   -0.615     0.117      -0.020160    279.480   7.91021     22.6     20000.0
 274.0   -0.555     0.120      -0.019554    279.480   7.88397     22.6     20000.0
 273.5   -0.564     0.118      -0.019543    279.480   7.89566     22.6     20000.0
 273.0   -0.671     0.120      -0.020239    279.953   7.95642     22.6     20000.0
 272.5   -0.724     0.130      -0.018740    279.953   7.92077     22.6     20000.0
 272.0   -0.698     0.122      -0.020645    279.953   7.94177     22.6     20000.0
 271.5   -0.755     0.130      -0.019759    279.953   7.88152     22.6     20000.0
 271.0   -0.701     0.123      -0.020010    279.953   7.86590     22.6     20000.0
 270.5   -0.592     0.127      -0.020310    280.594   7.97427     22.6     20000.0
 270.0   -0.520     0.136      -0.019757    280.594   7.91708     22.6     20000.0
 269.5   -0.583     0.128      -0.020550    280.594   7.88524     22.6     20000.0
 269.0   -0.542     0.139      -0.018728    281.128   7.92091     22.6     20000.0
 268.5   -0.561     0.147      -0.020409    281.128   7.91447     22.6     20000.0
 268.0   -0.556     0.127      -0.019603    281.128   7.83297     22.6     20000.0
 267.5   -0.696     0.128      -0.020979    281.586   7.88679     22.6     20000.0
 267.0   -0.365     0.132      -0.020161    282.089   7.94773     22.6     20000.0
 266.5   -0.323     0.123      -0.020331    282.089   7.87960     22.6     20000.0
 266.0   -0.630     0.129      -0.020199    282.745   7.93070     22.6     20000.0
 265.5   -0.499     0.121      -0.018974    282.745   7.85278     22.6     20000.0
 265.0   -0.681     0.134      -0.021848    283.218   7.92933     22.6     20000.0
 264.5   -0.582     0.145      -0.020391    283.554   7.91636     22.6     20000.0
 264.0   -0.584     0.132      -0.021413    283.554   7.84012     22.6     20000.0
 263.5   -0.479     0.134      -0.021123    284.882   7.99658     22.7     20000.0
 263.0   -0.434     0.118      -0.019686    284.882   7.94201     22.6     20000.0
 262.5   -0.380     0.126      -0.022814    284.882   7.90711     22.6     20000.0
 262.0   -0.281     0.148      -0.018950    285.751   7.94348     22.6     20000.0
 261.5   -0.499     0.116      -0.021587    285.751   7.90272     22.6     20000.0
 261.0   -0.537     0.146      -0.020778    286.331   7.93623     22.6     20000.0
 260.5   -0.333     0.159      -0.019981    286.331   7.88447     22.6     20000.0
 260.0   -0.378     0.136      -0.021771    287.064   7.94285     22.6     20000.0
 259.5   -0.694     0.149      -0.019773    287.064   7.85754     22.6     20000.0
 259.0   -0.304     0.146      -0.021665    287.643   7.91253     22.6     20000.0
 258.5   -0.613     0.142      -0.021142    288.284   7.94420     22.6     20000.0
 258.0   -0.572     0.116      -0.020752    288.284   7.89054     22.6     20000.0
 257.5   -0.407     0.136      -0.023020    288.284   7.85617     22.6     20000.0
 257.0   -0.410     0.146      -0.020000    288.818   7.87223     22.6     20000.0
 256.5   -0.338     0.160      -0.022631    289.185   7.91891     22.6     20000.0
 256.0   -0.691     0.149      -0.020622    289.551   7.93653     22.6     20000.0
 255.5   -0.640     0.139      -0.021546    289.551   7.89790     22.6     20000.0
 255.0   -0.575     0.132      -0.022047    289.551   7.87643     22.6     20000.0
 254.5   -0.622     0.133      -0.020740    290.161   7.93047     22.6     20000.0
 254.0   -0.425     0.141      -0.022365    290.161   7.92098     22.6     20000.0
 253.5   -0.280     0.152      -0.020478    290.161   7.86388     22.6     20000.0
 253.0   -0.605     0.138      -0.021787    290.405   7.90163     22.6     20000.0
 252.5   -0.748     0.143      -0.021359    290.985   7.96624     22.6     20000.0
 252.0   -0.571     0.143      -0.020918    290.985   7.93633     22.6     20000.0
 251.5   -0.494     0.137      -0.023191    290.985   7.92043     22.6     20000.0
 251.0   -0.508     0.129      -0.020112    291.168   7.90377     22.6     20000.0
 250.5   -0.807     0.163      -0.022690    291.168   7.89983     22.6     20000.0
 250.0   -0.586     0.141      -0.020816    291.168   7.84454     22.6     20000.0
 249.5   -0.854     0.143      -0.022418    291.702   7.93473     22.6     20000.0
 249.0   -0.480     0.154      -0.021698    291.702   7.89504     22.6     20000.0
 248.5   -0.500     0.151      -0.021545    291.702   7.85072     22.6     20000.0
 248.0   -0.441     0.147      -0.023569    292.404   7.95719     22.6     20000.0
 247.5   -0.591     0.125      -0.020262    292.404   7.92681     22.6     20000.0
 247.0   -0.496     0.142      -0.022088    292.404   7.88392     22.6     20000.0
 246.5   -0.577     0.143      -0.021571    293.076   7.92603     22.6     20000.0
 246.0   -0.608     0.142      -0.022122    293.076   7.92030     22.6     20000.0
 245.5   -0.790     0.138      -0.023027    293.076   7.88508     22.6     20000.0
 245.0   -0.759     0.157      -0.021576    293.411   7.89743     22.6     20000.0
 244.5   -0.394     0.145      -0.022552    293.777   7.90345     22.6     20000.0
 244.0   -0.634     0.158      -0.022281    293.839   7.87613     22.6     20000.0
 243.5   -0.556     0.143      -0.021688    294.449   7.93715     22.6     20000.0
 243.0   -0.685     0.148      -0.020897    294.632   7.90929     22.6     20000.0
 242.5   -0.399     0.154      -0.021326    294.632   7.87951     22.6     20000.0
 242.0   -0.636     0.148      -0.021914    295.441   7.92866     22.6     20000.0
 241.5   -0.700     0.156      -0.021114    295.563   7.88116     22.6     20000.0
 241.0   -0.300     0.160      -0.022348    295.868   7.91054     22.6     20000.0
 240.5   -0.729     0.179      -0.021649    296.341   7.87067     22.6     20000.0
 240.0   -0.415     0.153      -0.022354    296.936   7.91866     22.6     20000.0
 239.5   -0.182     0.158      -0.021695    296.936   7.83655     22.6     20000.0
 239.0   -0.499     0.151      -0.022776    298.233   7.98582     22.7     20000.0
 238.5   -0.537     0.157      -0.021413    298.233   7.87884     22.7     20000.0
 238.0   -0.488     0.144      -0.023237    298.767   7.90982     22.6     20000.0
 237.5   -0.674     0.163      -0.023433    299.469   7.93228     22.6     20000.0
 237.0   -0.381     0.168      -0.022633    299.911   7.91586     22.6     20000.0
 236.5   -0.753     0.137      -0.023106    300.217   7.89584     22.6     20000.0
 236.0   -0.675     0.147      -0.022824    300.827   7.89681     22.7     20000.0
 235.5   -0.307     0.170      -0.021587    301.254   7.87831     22.7     20000.0
 235.0   -0.875     0.156      -0.023059    302.124   7.93822     22.7     20000.0
 234.5   -0.666     0.173      -0.021328    302.124   7.86065     22.7     20000.0
 234.0   -0.621     0.162      -0.023537    303.253   7.95642     22.6     20000.0
 233.5   -0.590     0.168      -0.022215    303.497   7.89582     22.7     20000.0
 233.0   -0.921     0.161      -0.021755    304.214   7.92839     22.7     20000.0
 232.5   -0.394     0.167      -0.023598    305.023   7.98133     22.6     20000.0
 232.0   -0.882     0.166      -0.020998    305.023   7.90466     22.6     20000.0
 231.5   -0.594     0.167      -0.022758    305.023   7.83720     22.7     20000.0
 231.0   -0.952     0.210      -0.021202    306.152   7.91313     22.7     20000.0
 230.5   -0.845     0.166      -0.023776    306.152   7.88335     22.6     20000.0
 230.0   -0.469     0.193      -0.022463    306.885   7.93324     22.7     20000.0
 229.5   -0.517     0.171      -0.022051    306.885   7.94733     22.7     20000.0
 229.0   -0.693     0.161      -0.023068    307.831   7.96850     22.7     20000.0
 228.5   -1.000     0.185      -0.022020    308.136   7.89304     22.7     20000.0
 228.0   -0.397     0.178      -0.023880    308.823   7.91466     22.7     20000.0
 227.5   -0.446     0.163      -0.022719    309.341   7.92412     22.6     20000.0
 227.0   -0.483     0.165      -0.022203    309.341   7.84037     22.7     20000.0
 226.5   -0.519     0.185      -0.024923    310.318   7.96013     22.7     20000.0
 226.0   -0.550     0.178      -0.021312    310.562   7.89628     22.7     20000.0
 225.5   -0.818     0.184      -0.025156    310.806   7.88660     22.7     20000.0
 225.0   -0.591     0.192      -0.021647    311.569   7.90902     22.7     20000.0
 224.5   -0.748     0.158      -0.023278    311.890   7.89624     22.6     20000.0
 224.0   -0.713     0.204      -0.024281    312.500   7.93229     22.7     20000.0
 223.5   -0.655     0.183      -0.022361    312.927   7.91209     22.7     20000.0
 223.0   -0.591     0.164      -0.025220    313.110   7.90259     22.7     20000.0
 222.5   -0.597     0.196      -0.021754    313.889   7.92818     22.7     20000.0
 222.0   -0.982     0.191      -0.024024    313.889   7.89481     22.7     20000.0
 221.5   -0.558     0.167      -0.023866    314.392   7.90464     22.7     20000.0
 221.0   -0.949     0.185      -0.022170    314.697   7.87034     22.7     20000.0
 220.5   -0.462     0.213      -0.023599    315.414   7.92628     22.7     20000.0
 220.0   -0.699     0.180      -0.022327    315.613   7.87413     22.7     20000.0
 219.5   -1.068     0.196      -0.024477    315.857   7.87484     22.7     20000.0
