#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 2, 3]
#input format:  mdeg
#spectrum files:
#CD_CSAplus_av.dat
#basline files:
#H2O_01.dat
#H2O_02.dat
#H2O_03.dat

#   wvlgth  Int_avg   Int_sd 
    193.5   -45.485     1.029  
    193.0   -45.848     0.678  
    192.5   -46.310     1.099  
    192.0   -46.327     0.993  
    191.5   -46.938     1.352  
    191.0   -46.344     1.022  
    190.5   -45.607     0.961  
    190.0   -45.493     0.958  
    189.5   -44.444     0.941  
    189.0   -44.756     0.841  
    188.5   -43.587     1.113  
    188.0   -43.081     1.110  
    187.5   -41.723     1.454  
    187.0   -40.623     0.883  
    186.5   -39.789     1.544  
    186.0   -38.915     1.341  
    185.5   -37.930     1.341  
    185.0   -36.406     2.306  
    184.5   -34.899     1.568  
    184.0   -34.965     2.125  
    183.5   -32.737     1.988  
    183.0   -32.725     2.671  
    182.5   -31.912     2.626  
    182.0   -32.697     4.223  
    181.5   -26.736     6.770  
    181.0   -23.750    14.985  
    180.5   -25.040    26.279  
    180.0   -7.585    46.523  
