#Reformatted CD measurement data (ProData):
#source: ../raw/H2O_1um_rep100056.txt
#repeat: 3

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 300.0   -0.588     0.115      -0.020987    281.433   7.97345     22.8     20000.0
 299.5   -0.794     0.132      -0.021357    281.433   7.96780     22.8     20000.0
 299.0   -0.677     0.111      -0.019967    281.433   7.97570     22.8     20000.0
 298.5   -0.672     0.115      -0.020154    281.433   8.00795     22.8     20000.0
 298.0   -0.622     0.130      -0.020526    281.433   8.02803     22.8     20000.0
 297.5   -0.443     0.135      -0.020096    281.433   8.06948     22.8     20000.0
 297.0   -0.420     0.126      -0.020075    281.433   8.06119     22.8     20000.0
 296.5   -0.621     0.122      -0.019657    281.433   8.09273     22.8     20000.0
 296.0   -0.609     0.132      -0.019313    281.433   8.09704     22.8     20000.0
 295.5   -0.584     0.123      -0.019727    281.433   8.11840     22.8     20000.0
 295.0   -0.573     0.115      -0.019747    281.067   8.08681     22.8     20000.0
 294.5   -0.399     0.132      -0.019569    281.067   8.11087     22.8     20000.0
 294.0   -0.561     0.135      -0.020113    281.067   8.13776     22.8     20000.0
 293.5   -0.719     0.147      -0.018831    280.945   8.10819     22.8     20000.0
 293.0   -0.383     0.132      -0.020109    280.945   8.15237     22.8     20000.0
 292.5   -0.389     0.116      -0.019999    280.640   8.11219     22.8     20000.0
 292.0   -0.799     0.123      -0.018481    280.365   8.10251     22.8     20000.0
 291.5   -0.386     0.127      -0.021259    279.633   8.11560     22.8     20000.0
 291.0   -0.724     0.148      -0.019395    279.327   8.14852     22.8     20000.0
 290.5   -0.477     0.106      -0.020404    279.327   7.99764     22.8     20000.0
 290.0   -0.726     0.132      -0.019296    279.327   7.93312     22.8     20000.0
 289.5   -0.524     0.156      -0.020697    279.327   7.94653     22.8     20000.0
 289.0   -0.760     0.132      -0.018576    279.327   7.93181     22.8     20000.0
 288.5   -0.893     0.133      -0.019009    279.327   7.96722     22.8     20000.0
 288.0   -0.679     0.113      -0.020552    279.327   7.96899     22.8     20000.0
 287.5   -0.518     0.132      -0.019138    279.327   7.98161     22.8     20000.0
 287.0   -0.608     0.126      -0.020500    279.327   7.96948     22.8     20000.0
 286.5   -0.631     0.120      -0.020233    279.327   8.00330     22.8     20000.0
 286.0   -0.849     0.139      -0.021158    279.327   7.98354     22.8     20000.0
 285.5   -0.469     0.121      -0.019446    279.327   7.99694     22.8     20000.0
 285.0   -0.729     0.127      -0.020170    279.327   7.98527     22.8     20000.0
 284.5   -0.712     0.116      -0.019523    279.327   7.98824     22.8     20000.0
 284.0   -0.620     0.116      -0.020273    279.327   7.99937     22.8     20000.0
 283.5   -0.728     0.121      -0.020001    279.327   7.98562     22.8     20000.0
 283.0   -0.570     0.111      -0.020966    279.327   8.03791     22.8     20000.0
 282.5   -0.562     0.126      -0.020725    279.327   7.99775     22.8     20000.0
