#Reformatted CD measurement data (ProData):
#source: ../raw/CSAplus_10X_1um_rep100058.txt
#repeat: 1

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 300.0   16.951     0.151      -0.013099    281.967   7.92521     23.4     20000.0
 299.5   17.656     0.130      -0.011173    281.967   7.87784     23.4     20000.0
 299.0   17.731     0.142      -0.012034    281.967   7.92663     23.4     20000.0
 298.5   18.614     0.135      -0.012030    281.967   7.95518     23.3     20000.0
 298.0   18.856     0.129      -0.011307    281.967   7.95504     23.3     20000.0
 297.5   19.354     0.134      -0.011416    281.967   8.00605     23.3     20000.0
 297.0   20.012     0.129      -0.011225    281.967   7.99470     23.4     20000.0
 296.5   20.304     0.137      -0.012270    281.967   8.05306     23.3     20000.0
 296.0   20.810     0.117      -0.011343    281.967   8.04654     23.3     20000.0
 295.5   20.724     0.146      -0.011629    281.967   8.06540     23.3     20000.0
 295.0   21.392     0.143      -0.011259    281.967   8.09374     23.3     20000.0
 294.5   21.552     0.122      -0.010863    281.967   8.11376     23.4     20000.0
 294.0   21.707     0.134      -0.011792    281.662   8.09178     23.4     20000.0
 293.5   21.912     0.133      -0.010217    281.662   8.07930     23.4     20000.0
 293.0   22.241     0.132      -0.011081    281.662   8.11557     23.3     20000.0
 292.5   21.978     0.134      -0.010603    281.662   8.12488     23.3     20000.0
 292.0   22.015     0.127      -0.010424    281.448   8.15169     23.4     20000.0
 291.5   22.541     0.133      -0.010971    280.777   8.13483     23.3     20000.0
 291.0   22.479     0.146      -0.009912    280.258   8.14353     23.3     20000.0
 290.5   22.602     0.129      -0.010182    280.258   7.97916     23.3     20000.0
 290.0   22.346     0.111      -0.010209    280.258   7.93551     23.3     20000.0
 289.5   22.170     0.136      -0.010823    280.258   7.93452     23.4     20000.0
 289.0   22.442     0.109      -0.010173    280.258   7.94669     23.4     20000.0
 288.5   21.987     0.121      -0.009219    280.258   7.95672     23.4     20000.0
 288.0   22.061     0.110      -0.009893    280.258   7.94258     23.4     20000.0
 287.5   21.683     0.127      -0.009997    280.258   7.98301     23.4     20000.0
 287.0   21.509     0.120      -0.009830    280.258   7.94286     23.4     20000.0
 286.5   21.328     0.125      -0.010395    280.258   7.99186     23.4     20000.0
 286.0   21.240     0.125      -0.010483    280.258   7.95679     23.3     20000.0
 285.5   20.707     0.134      -0.009923    280.258   7.99131     23.3     20000.0
 285.0   20.769     0.137      -0.009995    280.258   7.96768     23.4     20000.0
 284.5   20.247     0.124      -0.010161    280.258   7.98558     23.3     20000.0
 284.0   19.869     0.146      -0.010133    280.258   7.98240     23.3     20000.0
 283.5   19.267     0.133      -0.010899    280.258   7.98772     23.3     20000.0
 283.0   19.342     0.122      -0.010963    280.258   8.02338     23.4     20000.0
 282.5   18.941     0.139      -0.010525    280.258   7.97967     23.4     20000.0
 282.0   18.377     0.131      -0.011534    280.258   8.04104     23.3     20000.0
 281.5   18.014     0.128      -0.011113    280.258   8.02244     23.4     20000.0
 281.0   17.645     0.117      -0.011855    280.258   8.03446     23.4     20000.0
 280.5   16.956     0.121      -0.010823    280.258   8.01095     23.3     20000.0
 280.0   16.562     0.128      -0.011837    280.258   8.00598     23.4     20000.0
 279.5   16.371     0.106      -0.011438    280.258   7.99155     23.3     20000.0
 279.0   15.791     0.114      -0.010887    280.258   7.96904     23.3     20000.0
 278.5   15.129     0.132      -0.013121    280.258   8.03734     23.4     20000.0
 278.0   14.791     0.139      -0.012805    280.258   7.98584     23.4     20000.0
 277.5   14.334     0.128      -0.013823    280.258   8.01807     23.3     20000.0
 277.0   13.925     0.133      -0.012804    280.258   7.99168     23.4     20000.0
 276.5   13.215     0.126      -0.012503    280.258   7.94924     23.3     20000.0
 276.0   13.018     0.130      -0.012869    280.258   7.99492     23.4     20000.0
 275.5   12.555     0.133      -0.012558    280.258   7.94869     23.4     20000.0
 275.0   12.189     0.133      -0.013337    280.258   7.96381     23.4     20000.0
 274.5   11.907     0.134      -0.013383    280.258   7.92712     23.3     20000.0
 274.0   11.114     0.120      -0.014479    280.258   7.93184     23.4     20000.0
 273.5   10.868     0.133      -0.014208    280.258   7.93885     23.4     20000.0
 273.0   10.401     0.139      -0.014710    280.258   7.91058     23.3     20000.0
 272.5    9.894     0.123      -0.014497    280.701   7.97837     23.3     20000.0
 272.0    9.600     0.133      -0.014483    280.701   7.96426     23.4     20000.0
 271.5    8.944     0.130      -0.015788    280.701   7.94379     23.3     20000.0
 271.0    8.726     0.127      -0.014190    280.701   7.89440     23.3     20000.0
 270.5    8.360     0.148      -0.016471    280.701   7.92330     23.4     20000.0
 270.0    7.899     0.140      -0.015186    280.701   7.85324     23.4     20000.0
 269.5    7.782     0.136      -0.015779    281.250   7.91617     23.4     20000.0
 269.0    6.996     0.148      -0.015507    281.250   7.88420     23.4     20000.0
 268.5    7.119     0.139      -0.016300    281.250   7.86168     23.3     20000.0
 268.0    6.610     0.138      -0.017094    281.799   7.90726     23.4     20000.0
 267.5    6.256     0.146      -0.016335    281.921   7.86243     23.3     20000.0
 267.0    5.917     0.127      -0.017444    281.921   7.86822     23.3     20000.0
 266.5    5.745     0.121      -0.016941    283.051   7.98987     23.3     20000.0
 266.0    5.426     0.119      -0.016444    283.051   7.91673     23.4     20000.0
 265.5    5.079     0.145      -0.017252    283.051   7.87571     23.4     20000.0
 265.0    4.885     0.137      -0.017395    283.539   7.90526     23.3     20000.0
 264.5    4.593     0.133      -0.017337    283.905   7.92317     23.3     20000.0
 264.0    4.086     0.132      -0.017525    284.393   7.91814     23.4     20000.0
 263.5    4.132     0.147      -0.019937    284.576   7.92044     23.3     20000.0
 263.0    3.876     0.139      -0.017512    284.912   7.90774     23.3     20000.0
 262.5    3.628     0.131      -0.020505    284.912   7.87056     23.3     20000.0
 262.0    3.313     0.144      -0.018144    285.904   7.95581     23.3     20000.0
 261.5    2.984     0.134      -0.018536    286.270   7.93874     23.4     20000.0
 261.0    2.771     0.134      -0.019583    286.270   7.90367     23.4     20000.0
 260.5    2.628     0.154      -0.019001    286.270   7.85601     23.4     20000.0
 260.0    2.567     0.143      -0.020039    287.140   7.92466     23.4     20000.0
 259.5    2.206     0.137      -0.018617    287.140   7.84996     23.3     20000.0
 259.0    2.411     0.144      -0.020530    287.872   7.93202     23.4     20000.0
 258.5    2.036     0.142      -0.019915    288.483   7.95662     23.4     20000.0
 258.0    1.652     0.122      -0.019485    288.483   7.90216     23.4     20000.0
 257.5    1.685     0.150      -0.022992    288.483   7.89022     23.4     20000.0
 257.0    1.494     0.130      -0.019258    289.093   7.90659     23.3     20000.0
 256.5    1.316     0.138      -0.022400    289.093   7.89874     23.3     20000.0
 256.0    1.579     0.135      -0.019521    289.337   7.87923     23.4     20000.0
 255.5    1.259     0.140      -0.022150    289.459   7.89296     23.3     20000.0
 255.0    1.169     0.160      -0.021327    290.009   7.94302     23.4     20000.0
 254.5    1.178     0.154      -0.021441    290.009   7.91667     23.4     20000.0
 254.0    0.955     0.128      -0.023199    290.009   7.90962     23.4     20000.0
 253.5    0.840     0.140      -0.021080    290.314   7.90123     23.4     20000.0
 253.0    0.833     0.132      -0.022318    290.314   7.89538     23.3     20000.0
 252.5    0.413     0.151      -0.022271    290.558   7.90851     23.3     20000.0
 252.0    0.701     0.151      -0.020912    290.680   7.88327     23.4     20000.0
 251.5    0.336     0.127      -0.023623    290.863   7.90711     23.4     20000.0
 251.0    0.251     0.135      -0.020559    290.863   7.85914     23.4     20000.0
 250.5    0.494     0.146      -0.023171    291.580   7.98025     23.3     20000.0
 250.0    0.417     0.151      -0.021285    291.580   7.92416     23.4     20000.0
 249.5    0.394     0.154      -0.022367    291.580   7.91264     23.4     20000.0
 249.0    0.066     0.147      -0.021441    292.160   7.96969     23.4     20000.0
 248.5    0.150     0.150      -0.022831    292.160   7.95317     23.4     20000.0
 248.0    0.097     0.148      -0.024084    292.160   7.92428     23.3     20000.0
 247.5   -0.079     0.129      -0.022263    292.160   7.92109     23.4     20000.0
 247.0   -0.066     0.142      -0.022928    292.526   7.92025     23.4     20000.0
 246.5    0.064     0.135      -0.022683    292.587   7.86226     23.4     20000.0
 246.0    0.081     0.159      -0.022568    293.137   7.93897     23.4     20000.0
 245.5   -0.062     0.138      -0.023656    293.137   7.90701     23.4     20000.0
 245.0   -0.363     0.137      -0.022560    293.137   7.86818     23.3     20000.0
 244.5   -0.113     0.160      -0.022146    294.067   7.94591     23.4     20000.0
 244.0    0.036     0.150      -0.022271    294.067   7.91516     23.3     20000.0
 243.5    0.012     0.150      -0.023017    294.067   7.89590     23.3     20000.0
 243.0   -0.089     0.158      -0.022597    294.647   7.94293     23.4     20000.0
 242.5   -0.273     0.165      -0.022363    294.647   7.90096     23.4     20000.0
 242.0   -0.178     0.165      -0.023475    294.647   7.82187     23.4     20000.0
