#Reformatted CD measurement data (ProData):
#source: ../raw/H2O_1um_rep100056.txt
#repeat: 2

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 259.5   -0.603     0.118      -0.022788    287.216   7.93915     22.7     20000.0
 259.0   -0.735     0.125      -0.024700    287.216   7.89282     22.7     20000.0
 258.5   -0.565     0.152      -0.024863    287.399   7.85692     22.7     20000.0
 258.0   -0.618     0.146      -0.022105    288.513   7.95532     22.7     20000.0
 257.5   -0.848     0.141      -0.025587    288.513   7.94286     22.7     20000.0
 257.0   -0.528     0.140      -0.022507    288.513   7.86459     22.8     20000.0
 256.5   -0.472     0.144      -0.024818    288.925   7.91346     22.7     20000.0
 256.0   -0.960     0.153      -0.022698    289.429   7.95312     22.7     20000.0
 255.5   -0.753     0.146      -0.024016    289.429   7.92161     22.7     20000.0
 255.0   -0.523     0.135      -0.024207    289.429   7.89444     22.7     20000.0
 254.5   -0.610     0.148      -0.023297    289.673   7.89204     22.7     20000.0
 254.0   -0.334     0.129      -0.025550    289.673   7.89399     22.7     20000.0
 253.5   -0.450     0.147      -0.023296    289.673   7.83047     22.8     20000.0
 253.0   -0.624     0.131      -0.025376    290.146   7.92190     22.7     20000.0
 252.5   -0.747     0.135      -0.023771    290.146   7.86434     22.7     20000.0
 252.0   -0.706     0.136      -0.024388    290.146   7.85393     22.7     20000.0
 251.5   -0.706     0.132      -0.025097    290.985   7.95526     22.8     20000.0
 251.0   -0.779     0.134      -0.022382    290.985   7.91335     22.7     20000.0
 250.5   -0.680     0.143      -0.025073    290.985   7.91149     22.8     20000.0
 250.0   -0.635     0.145      -0.023315    291.168   7.88980     22.7     20000.0
 249.5   -0.859     0.124      -0.024371    291.168   7.87784     22.7     20000.0
 249.0   -0.528     0.152      -0.024385    291.168   7.85170     22.7     20000.0
 248.5   -0.816     0.131      -0.023584    291.916   7.92459     22.7     20000.0
 248.0   -0.668     0.143      -0.025739    291.916   7.91223     22.7     20000.0
 247.5   -0.757     0.154      -0.024058    291.916   7.91160     22.8     20000.0
 247.0   -0.713     0.143      -0.025085    292.603   7.97294     22.7     20000.0
 246.5   -0.859     0.151      -0.024286    292.603   7.89397     22.7     20000.0
 246.0   -0.544     0.149      -0.023893    292.603   7.87113     22.8     20000.0
 245.5   -0.759     0.139      -0.025022    293.243   7.95038     22.7     20000.0
 245.0   -0.842     0.140      -0.022863    293.243   7.89199     22.7     20000.0
 244.5   -0.901     0.144      -0.025002    293.793   7.95079     22.8     20000.0
 244.0   -0.742     0.146      -0.023399    293.793   7.88858     22.8     20000.0
 243.5   -0.888     0.148      -0.024213    293.793   7.87063     22.8     20000.0
 243.0   -0.729     0.139      -0.023359    294.205   7.88095     22.8     20000.0
 242.5   -0.568     0.149      -0.023154    294.693   7.92321     22.8     20000.0
 242.0   -0.823     0.151      -0.024025    295.395   7.95943     22.7     20000.0
 241.5   -0.550     0.166      -0.023889    295.395   7.90300     22.7     20000.0
 241.0   -0.526     0.131      -0.023626    295.898   7.93906     22.7     20000.0
 240.5   -0.515     0.145      -0.024183    295.898   7.84162     22.8     20000.0
 240.0   -0.498     0.161      -0.024312    296.982   7.96227     22.8     20000.0
 239.5   -0.512     0.162      -0.024228    297.043   7.90049     22.8     20000.0
 239.0   -0.542     0.163      -0.024435    297.577   7.90453     22.8     20000.0
 238.5   -0.616     0.166      -0.023928    298.141   7.90909     22.8     20000.0
 238.0   -0.615     0.162      -0.024457    298.721   7.92431     22.8     20000.0
 237.5   -0.495     0.175      -0.024953    298.981   7.87766     22.8     20000.0
 237.0   -0.806     0.148      -0.025363    299.515   7.89879     22.7     20000.0
 236.5   -0.786     0.153      -0.023623    300.232   7.90782     22.8     20000.0
 236.0   -0.879     0.161      -0.024214    300.720   7.90421     22.8     20000.0
 235.5   -1.061     0.137      -0.024027    301.376   7.94320     22.8     20000.0
 235.0   -0.552     0.192      -0.024309    301.788   7.90484     22.8     20000.0
 234.5   -0.778     0.146      -0.023066    302.277   7.91764     22.8     20000.0
 234.0   -0.721     0.158      -0.023778    303.009   7.92003     22.7     20000.0
 233.5   -0.637     0.168      -0.024718    303.421   7.92872     22.8     20000.0
 233.0   -0.844     0.170      -0.023176    303.848   7.89348     22.8     20000.0
 232.5   -0.999     0.165      -0.025220    304.352   7.89936     22.8     20000.0
 232.0   -0.622     0.184      -0.023689    304.840   7.92338     22.8     20000.0
 231.5   -0.730     0.158      -0.023362    305.450   7.91849     22.7     20000.0
 231.0   -1.027     0.185      -0.024161    305.969   7.93687     22.8     20000.0
 230.5   -0.728     0.185      -0.024050    306.030   7.86828     22.8     20000.0
 230.0   -1.031     0.177      -0.024466    306.030   7.82939     22.8     20000.0
 229.5   -0.933     0.168      -0.023443    306.717   7.94506     22.8     20000.0
 229.0   -0.961     0.172      -0.023668    307.312   7.89411     22.8     20000.0
 228.5   -0.638     0.193      -0.024447    307.968   7.90972     22.8     20000.0
 228.0   -0.685     0.165      -0.024118    308.777   7.91151     22.8     20000.0
 227.5   -0.830     0.190      -0.024278    308.838   7.87040     22.8     20000.0
 227.0   -0.523     0.190      -0.022928    310.165   7.98789     22.8     20000.0
 226.5   -0.761     0.184      -0.024438    310.165   7.92633     22.8     20000.0
 226.0   -0.711     0.172      -0.023155    310.715   7.95474     22.8     20000.0
 225.5   -0.710     0.152      -0.023899    310.837   7.86874     22.8     20000.0
 225.0   -0.892     0.180      -0.024283    310.837   7.83860     22.8     20000.0
 224.5   -0.813     0.152      -0.023489    311.996   7.91736     22.8     20000.0
 224.0   -0.615     0.182      -0.025107    312.057   7.87587     22.8     20000.0
 223.5   -0.725     0.187      -0.023161    313.202   7.97118     22.8     20000.0
 223.0   -0.650     0.200      -0.024762    313.202   7.90899     22.8     20000.0
 222.5   -0.977     0.168      -0.024218    313.446   7.90185     22.8     20000.0
 222.0   -0.717     0.169      -0.022665    313.980   7.88481     22.8     20000.0
 221.5   -0.860     0.198      -0.024690    314.224   7.89273     22.8     20000.0
 221.0   -0.625     0.211      -0.022953    314.941   7.92363     22.8     20000.0
 220.5   -0.838     0.154      -0.022999    315.308   7.89824     22.8     20000.0
 220.0   -0.766     0.181      -0.023408    315.872   7.93524     22.8     20000.0
 219.5   -1.153     0.187      -0.024712    315.994   7.90098     22.8     20000.0
 219.0   -0.791     0.192      -0.022682    316.620   7.92923     22.8     20000.0
 218.5   -0.588     0.191      -0.023716    316.864   7.91957     22.8     20000.0
 218.0   -0.793     0.186      -0.023460    317.200   7.90912     22.8     20000.0
 217.5   -0.724     0.213      -0.022551    317.200   7.88105     22.8     20000.0
 217.0   -1.068     0.177      -0.024641    317.780   7.92408     22.8     20000.0
 216.5   -0.647     0.161      -0.022627    317.780   7.88574     22.8     20000.0
 216.0   -0.716     0.174      -0.024567    317.963   7.89925     22.8     20000.0
 215.5   -0.947     0.188      -0.024282    318.268   7.92683     22.8     20000.0
 215.0   -1.144     0.218      -0.023241    318.268   7.87074     22.8     20000.0
 214.5   -0.868     0.211      -0.024751    318.832   7.96354     22.8     20000.0
 214.0   -0.924     0.204      -0.022358    318.832   7.90694     22.8     20000.0
 213.5   -1.196     0.213      -0.023166    318.832   7.88932     22.8     20000.0
 213.0   -0.881     0.203      -0.023117    318.832   7.88082     22.8     20000.0
 212.5   -0.591     0.224      -0.022304    318.832   7.84200     22.8     20000.0
 212.0   -0.840     0.194      -0.024481    319.504   7.95301     22.8     20000.0
 211.5   -1.060     0.184      -0.022407    319.504   7.91818     22.8     20000.0
 211.0   -1.018     0.193      -0.023930    319.504   7.90992     22.8     20000.0
 210.5   -0.994     0.191      -0.023340    319.687   7.91533     22.8     20000.0
 210.0   -0.793     0.183      -0.023238    319.687   7.89562     22.8     20000.0
 209.5   -0.836     0.201      -0.024335    319.687   7.89545     22.8     20000.0
 209.0   -1.133     0.206      -0.023001    319.687   7.86130     22.8     20000.0
 208.5   -1.126     0.184      -0.023879    319.687   7.84202     22.8     20000.0
 208.0   -0.789     0.181      -0.022705    320.602   7.95869     22.8     20000.0
 207.5   -0.887     0.182      -0.022888    320.602   7.93748     22.8     20000.0
 207.0   -1.094     0.179      -0.025930    320.602   7.96748     22.8     20000.0
 206.5   -1.073     0.207      -0.022885    320.602   7.93488     22.8     20000.0
 206.0   -1.037     0.193      -0.024797    320.602   7.94786     22.8     20000.0
 205.5   -1.112     0.210      -0.024358    320.602   7.93656     22.8     20000.0
 205.0   -1.224     0.194      -0.024221    320.602   7.93218     22.8     20000.0
 204.5   -0.849     0.201      -0.025130    320.602   7.94560     22.8     20000.0
 204.0   -1.123     0.197      -0.023390    320.602   7.93684     22.8     20000.0
 203.5   -0.860     0.174      -0.026627    320.602   7.97404     22.8     20000.0
 203.0   -1.083     0.201      -0.024564    320.602   7.95494     22.8     20000.0
 202.5   -0.739     0.200      -0.025176    320.602   7.99864     22.8     20000.0
 202.0   -0.904     0.206      -0.027691    320.602   8.02766     22.8     20000.0
 201.5   -0.772     0.201      -0.024990    320.602   8.00869     22.8     20000.0
 201.0   -1.222     0.238      -0.028314    320.602   8.06759     22.8     20000.0
 200.5   -0.632     0.200      -0.026954    320.602   8.07935     22.8     20000.0
 200.0   -0.749     0.201      -0.028012    320.480   8.10170     22.8     20000.0
 199.5   -0.781     0.184      -0.029791    320.389   8.14419     22.8     20000.0
 199.0   -1.103     0.225      -0.030652    319.641   8.08751     22.8     20000.0
 198.5   -0.759     0.210      -0.034058    319.519   8.13759     22.8     20000.0
 198.0   -0.748     0.184      -0.032723    319.000   8.12375     22.8     20000.0
 197.5   -0.871     0.179      -0.033682    318.481   8.10990     22.8     20000.0
 197.0   -0.745     0.186      -0.037305    317.810   8.12192     22.8     20000.0
 196.5   -0.811     0.164      -0.036357    317.657   8.15718     22.8     20000.0
 196.0   -1.046     0.218      -0.040241    316.742   8.11052     22.8     20000.0
 195.5   -0.937     0.181      -0.041376    316.345   8.13315     22.8     20000.0
 195.0   -1.066     0.214      -0.042262    316.040   8.11714     22.8     20000.0
 194.5   -0.854     0.195      -0.046311    314.911   8.11519     22.8     20000.0
 194.0   -1.030     0.191      -0.047248    314.362   8.16731     22.8     20000.0
 193.5   -0.835     0.183      -0.049556    313.599   8.14175     22.8     20000.0
 193.0   -0.740     0.199      -0.051799    313.202   8.11181     22.8     20000.0
 192.5   -1.221     0.175      -0.051828    313.202   8.04587     22.8     20000.0
 192.0   -0.974     0.186      -0.054415    311.768   8.09770     22.8     20000.0
 191.5   -0.955     0.174      -0.057089    310.883   8.12035     22.8     20000.0
 191.0   -0.754     0.186      -0.057125    310.883   8.02952     22.8     20000.0
 190.5   -1.196     0.199      -0.055030    312.485   7.91068     22.8     20000.0
 190.0   -1.033     0.171      -0.056032    311.569   8.11887     22.8     20000.0
 189.5   -1.194     0.160      -0.055954    309.830   8.11769     22.8     20000.0
 189.0   -1.040     0.174      -0.051230    310.562   7.92126     22.8     20000.0
 188.5   -0.736     0.177      -0.043484    317.856   8.21029     22.8     20000.0
 188.0   -0.932     0.200      -0.036984    314.713   8.11133     22.8     20000.0
 187.5   -1.539     0.194      -0.028012    314.011   8.12090     22.8     20000.0
 187.0   -1.260     0.188      -0.010164    320.358   8.07758     22.8     20000.0
 186.5   -1.028     0.211      0.012248    332.047   8.29309     22.8     20000.0
 186.0   -1.186     0.212      0.034716    325.073   8.08935     22.8     20000.0
 185.5   -1.037     0.234      0.065981    331.635   8.07293     22.8     20000.0
 185.0   -1.552     0.279      0.110230    350.677   8.08875     22.8     20000.0
 184.5   -1.115     0.252      0.170496    355.957   8.10274     22.8     20000.0
 184.0   -1.395     0.268      0.225932    356.827   7.90038     22.8     20000.0
 183.5   -1.437     0.329      0.315860    388.077   8.11603     22.8     20000.0
 183.0   -1.481     0.396      0.449171    414.642   8.09811     22.8     20000.0
 182.5   -1.982     0.439      0.572903    433.502   8.33728     22.8     20000.0
 182.0   -1.484     0.575      0.757608    501.251   8.09948     22.8     20000.0
 181.5   -1.223     0.914      1.032880    566.925   8.10743     22.8     20000.0
 181.0   -4.115     1.252      1.268390    641.876   8.01431     22.8     20000.0
 180.5   -4.833     2.778      1.739250    863.785   8.19400     22.8     20000.0
 180.0    3.640     4.657      2.218750    999.985   6.72858     22.8     20000.0
