#Reformatted CD measurement data (ProData):
#source: ../raw/CSAplus_10X_1um_rep100058.txt
#repeat: 3

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 258.5    1.819     0.162      -0.023256    287.964   7.92652     23.4     20000.0
 258.0    1.790     0.138      -0.022768    287.964   7.87120     23.4     20000.0
 257.5    1.482     0.123      -0.025422    288.269   7.89708     23.4     20000.0
 257.0    1.365     0.151      -0.023361    288.269   7.83762     23.4     20000.0
 256.5    1.482     0.144      -0.025435    289.200   7.97289     23.4     20000.0
 256.0    1.021     0.142      -0.022817    289.200   7.91525     23.4     20000.0
 255.5    1.555     0.159      -0.024573    289.200   7.89184     23.4     20000.0
 255.0    1.210     0.131      -0.024585    289.841   7.97334     23.4     20000.0
 254.5    0.776     0.138      -0.024689    289.841   7.94669     23.4     20000.0
 254.0    0.817     0.136      -0.026364    289.841   7.93809     23.3     20000.0
 253.5    0.820     0.142      -0.024363    289.963   7.90000     23.4     20000.0
 253.0    0.735     0.138      -0.026327    289.963   7.90736     23.4     20000.0
 252.5    0.786     0.159      -0.025167    289.963   7.85796     23.4     20000.0
 252.0    0.420     0.138      -0.024834    290.314   7.89107     23.3     20000.0
 251.5    0.583     0.157      -0.026837    290.558   7.91267     23.4     20000.0
 251.0    0.317     0.155      -0.023814    290.619   7.87597     23.4     20000.0
 250.5    0.570     0.152      -0.026161    290.619   7.86788     23.4     20000.0
 250.0    0.299     0.139      -0.024825    291.260   7.93319     23.4     20000.0
 249.5    0.166     0.127      -0.025326    291.260   7.91104     23.4     20000.0
 249.0    0.180     0.124      -0.025448    291.260   7.88675     23.3     20000.0
 248.5    0.161     0.156      -0.026271    291.260   7.86011     23.4     20000.0
 248.0    0.188     0.155      -0.026871    291.870   7.92494     23.4     20000.0
 247.5    0.064     0.143      -0.026022    291.870   7.93951     23.3     20000.0
 247.0    0.033     0.147      -0.025616    292.465   7.95881     23.3     20000.0
 246.5    0.112     0.156      -0.026302    292.465   7.90697     23.4     20000.0
 246.0   -0.172     0.134      -0.026233    292.465   7.89000     23.4     20000.0
 245.5    0.037     0.142      -0.026776    292.465   7.84836     23.4     20000.0
 245.0    0.113     0.149      -0.026192    292.816   7.87909     23.4     20000.0
 244.5    0.081     0.158      -0.026253    293.411   7.90791     23.3     20000.0
 244.0   -0.157     0.155      -0.026428    293.411   7.87821     23.3     20000.0
 243.5   -0.075     0.147      -0.025762    294.205   7.96968     23.4     20000.0
 243.0   -0.117     0.159      -0.025802    294.205   7.92541     23.3     20000.0
 242.5   -0.134     0.147      -0.025913    294.205   7.88980     23.4     20000.0
 242.0   -0.152     0.150      -0.026075    295.151   7.95500     23.4     20000.0
 241.5   -0.405     0.135      -0.026456    295.151   7.90801     23.4     20000.0
 241.0   -0.200     0.146      -0.026427    295.578   7.93541     23.3     20000.0
 240.5   -0.242     0.154      -0.026583    295.578   7.83077     23.3     20000.0
 240.0   -0.098     0.154      -0.026354    296.829   7.97362     23.3     20000.0
 239.5   -0.209     0.137      -0.025353    296.829   7.88472     23.4     20000.0
 239.0   -0.565     0.148      -0.026399    297.302   7.89372     23.4     20000.0
 238.5   -0.298     0.165      -0.025457    298.126   7.93440     23.4     20000.0
 238.0   -0.116     0.150      -0.025307    298.431   7.89081     23.4     20000.0
 237.5   -0.180     0.161      -0.026824    299.088   7.92971     23.4     20000.0
 237.0   -0.403     0.160      -0.025689    299.500   7.90215     23.4     20000.0
 236.5   -0.543     0.154      -0.026336    299.805   7.88539     23.4     20000.0
 236.0   -0.592     0.141      -0.025872    300.476   7.89344     23.4     20000.0
 235.5   -0.242     0.137      -0.025654    300.476   7.82228     23.4     20000.0
 235.0   -0.260     0.168      -0.027058    302.032   7.99617     23.4     20000.0
 234.5   -0.221     0.188      -0.024787    302.032   7.90821     23.4     20000.0
 234.0   -0.251     0.174      -0.027586    302.536   7.91053     23.4     20000.0
 233.5   -0.139     0.164      -0.026024    303.040   7.88903     23.4     20000.0
 233.0   -0.459     0.162      -0.025260    303.543   7.88076     23.4     20000.0
 232.5   -0.369     0.147      -0.027170    304.291   7.92475     23.4     20000.0
 232.0   -0.551     0.156      -0.024206    304.596   7.89238     23.4     20000.0
 231.5   -0.314     0.169      -0.026715    304.947   7.89632     23.4     20000.0
 231.0   -0.446     0.164      -0.024363    305.710   7.89772     23.4     20000.0
 230.5   -0.625     0.148      -0.027058    305.710   7.87019     23.4     20000.0
 230.0   -0.437     0.166      -0.025848    306.396   7.91451     23.4     20000.0
 229.5   -0.303     0.195      -0.025082    306.396   7.92210     23.4     20000.0
 229.0   -0.669     0.180      -0.027052    307.098   7.92065     23.4     20000.0
 228.5   -0.580     0.166      -0.024966    307.724   7.87922     23.4     20000.0
 228.0   -0.632     0.195      -0.026955    308.563   7.92829     23.3     20000.0
 227.5   -0.383     0.197      -0.024200    309.219   7.93119     23.4     20000.0
 227.0   -0.548     0.174      -0.025183    309.219   7.87451     23.4     20000.0
 226.5   -0.278     0.180      -0.026285    310.486   8.01274     23.4     20000.0
 226.0   -0.833     0.174      -0.024410    310.486   7.94036     23.4     20000.0
 225.5   -0.612     0.179      -0.027257    310.608   7.89264     23.4     20000.0
 225.0   -0.591     0.188      -0.024073    310.913   7.84708     23.4     20000.0
 224.5   -0.579     0.171      -0.025019    311.737   7.90325     23.4     20000.0
 224.0   -0.640     0.176      -0.026327    312.439   7.95983     23.4     20000.0
 223.5   -0.544     0.185      -0.023371    312.622   7.88131     23.4     20000.0
 223.0   -0.675     0.196      -0.025488    312.988   7.88781     23.4     20000.0
 222.5   -0.699     0.163      -0.022590    314.026   7.96565     23.4     20000.0
 222.0   -0.554     0.195      -0.022226    314.026   7.88417     23.4     20000.0
 221.5   -1.110     0.216      -0.023592    314.606   7.93396     23.4     20000.0
 221.0   -1.099     0.192      -0.020567    315.033   7.89485     23.4     20000.0
 220.5   -1.228     0.167      -0.022332    315.521   7.92029     23.4     20000.0
 220.0   -1.213     0.181      -0.019865    316.360   7.94869     23.4     20000.0
 219.5   -0.918     0.161      -0.020296    316.360   7.87906     23.4     20000.0
 219.0   -1.568     0.169      -0.018828    317.032   7.92465     23.4     20000.0
 218.5   -1.432     0.201      -0.016047    317.581   7.89400     23.4     20000.0
 218.0   -1.671     0.179      -0.017246    317.703   7.87606     23.4     20000.0
 217.5   -1.922     0.224      -0.013381    318.375   7.90055     23.4     20000.0
 217.0   -2.015     0.201      -0.015403    318.558   7.87931     23.4     20000.0
 216.5   -2.049     0.188      -0.011672    319.656   7.98366     23.4     20000.0
 216.0   -2.299     0.179      -0.009813    319.656   7.89861     23.4     20000.0
 215.5   -3.078     0.195      -0.009071    319.656   7.86956     23.4     20000.0
 215.0   -2.596     0.192      -0.005771    320.313   7.87569     23.4     20000.0
 214.5   -3.440     0.204      -0.004029    320.816   7.89895     23.4     20000.0
 214.0   -3.452     0.206      -0.000747    321.548   7.94144     23.4     20000.0
 213.5   -3.701     0.199      0.001990    321.548   7.85933     23.4     20000.0
 213.0   -4.691     0.223      0.005682    322.342   7.90867     23.4     20000.0
 212.5   -5.111     0.214      0.010381    323.227   7.93723     23.4     20000.0
 212.0   -5.323     0.207      0.012341    323.349   7.88597     23.4     20000.0
 211.5   -6.058     0.201      0.017256    324.005   7.90176     23.4     20000.0
 211.0   -6.719     0.198      0.022378    324.844   7.90303     23.4     20000.0
 210.5   -7.059     0.206      0.026534    325.394   7.89983     23.4     20000.0
 210.0   -7.553     0.208      0.031936    326.385   7.93718     23.4     20000.0
 209.5   -8.678     0.223      0.038606    327.026   7.89452     23.4     20000.0
 209.0   -8.947     0.248      0.044501    327.896   7.91119     23.4     20000.0
 208.5   -10.102     0.207      0.052076    328.995   7.90660     23.4     20000.0
 208.0   -11.131     0.231      0.061219    330.017   7.89055     23.4     20000.0
 207.5   -11.545     0.217      0.068191    331.100   7.90448     23.4     20000.0
 207.0   -13.100     0.231      0.078102    332.306   7.88185     23.4     20000.0
 206.5   -13.558     0.227      0.088411    333.618   7.91595     23.4     20000.0
 206.0   -14.945     0.248      0.099631    334.869   7.87867     23.4     20000.0
 205.5   -16.570     0.208      0.110692    336.136   7.86450     23.4     20000.0
 205.0   -17.439     0.233      0.124015    338.211   7.93046     23.4     20000.0
 204.5   -19.540     0.239      0.137425    339.645   7.89655     23.4     20000.0
 204.0   -19.730     0.220      0.151299    341.248   7.90431     23.4     20000.0
 203.5   -22.444     0.243      0.166047    343.399   7.93091     23.3     20000.0
 203.0   -22.992     0.216      0.181070    344.833   7.88625     23.4     20000.0
 202.5   -24.072     0.246      0.198620    347.275   7.95490     23.4     20000.0
 202.0   -25.622     0.257      0.214423    348.907   7.88649     23.4     20000.0
 201.5   -27.652     0.264      0.233650    351.410   7.92742     23.4     20000.0
 201.0   -29.697     0.238      0.252670    354.294   7.99124     23.4     20000.0
 200.5   -30.206     0.290      0.272145    355.713   7.87422     23.4     20000.0
 200.0   -31.758     0.304      0.294016    359.207   7.99131     23.4     20000.0
 199.5   -33.700     0.274      0.314717    361.084   7.90022     23.4     20000.0
 199.0   -35.199     0.280      0.337390    364.258   7.97613     23.4     20000.0
 198.5   -36.291     0.292      0.358531    367.096   7.98893     23.4     20000.0
 198.0   -38.350     0.300      0.384037    369.553   7.95354     23.4     20000.0
 197.5   -39.392     0.270      0.408309    373.108   8.04686     23.4     20000.0
 197.0   -40.595     0.300      0.432761    375.473   7.97167     23.4     20000.0
 196.5   -41.603     0.312      0.458375    378.647   8.00600     23.3     20000.0
 196.0   -42.705     0.330      0.483221    381.699   7.98791     23.4     20000.0
 195.5   -44.594     0.309      0.509856    384.872   7.98523     23.4     20000.0
 195.0   -45.076     0.362      0.536282    388.870   8.04312     23.4     20000.0
 194.5   -45.497     0.351      0.562540    391.068   7.95319     23.4     20000.0
 194.0   -46.071     0.337      0.586558    393.524   7.95343     23.4     20000.0
 193.5   -45.856     0.388      0.613211    397.247   7.99935     23.4     20000.0
 193.0   -46.735     0.391      0.640220    401.260   8.00865     23.4     20000.0
 192.5   -47.227     0.351      0.670763    406.754   8.07449     23.4     20000.0
 192.0   -47.285     0.392      0.691393    406.754   7.93237     23.4     20000.0
 191.5   -48.279     0.454      0.716195    410.156   8.01858     23.4     20000.0
 191.0   -47.330     0.448      0.743951    415.039   8.02065     23.4     20000.0
 190.5   -46.523     0.366      0.774607    423.203   8.10769     23.4     20000.0
 190.0   -46.331     0.455      0.794236    423.203   8.08497     23.4     20000.0
 189.5   -45.816     0.452      0.812897    423.203   8.02682     23.4     20000.0
 189.0   -45.569     0.421      0.840630    429.108   7.99371     23.4     20000.0
 188.5   -44.048     0.493      0.875311    441.986   8.10940     23.4     20000.0
 188.0   -43.503     0.429      0.897846    440.979   8.10780     23.4     20000.0
 187.5   -42.610     0.502      0.917708    440.979   8.02992     23.4     20000.0
 187.0   -41.773     0.537      0.956544    454.666   8.14025     23.4     20000.0
 186.5   -41.347     0.574      1.003420    474.258   8.22657     23.4     20000.0
 186.0   -40.739     0.461      1.028010    466.339   8.21176     23.4     20000.0
 185.5   -39.699     0.577      1.069850    476.501   8.07873     23.4     20000.0
 185.0   -38.859     0.668      1.133300    507.706   8.12906     23.4     20000.0
 184.5   -36.581     0.643      1.201750    515.244   7.98079     23.4     20000.0
 184.0   -35.464     0.617      1.250900    516.434   7.88817     23.4     20000.0
 183.5   -33.189     0.847      1.355900    564.941   8.12333     23.4     20000.0
 183.0   -35.098     1.101      1.500600    606.567   8.14532     23.4     20000.0
 182.5   -32.961     1.193      1.611940    627.914   8.10083     23.4     20000.0
 182.0   -32.941     2.069      1.803860    731.232   8.09948     23.4     20000.0
 181.5   -28.499     2.892      2.034750    807.587   7.71488     23.4     20000.0
 181.0   -19.438     3.595      2.256160    898.178   7.02999     23.4     20000.0
 180.5   -33.987    13.115      2.379070    976.654   4.11091     23.4     20000.0
 180.0    6.731    19.959      2.681610    999.985   2.31772     23.4     20000.0
