#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 5]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    191.0   415.420     0.497  
    190.5   424.306     1.085  
    190.0   424.235     0.989  
    189.5   424.083     0.786  
    189.0   430.232     0.805  
    188.5   444.646     2.149  
    188.0   442.541     1.241  
    187.5   442.541     1.241  
    187.0   457.209     2.174  
    186.5   478.297     3.259  
    186.0   468.119     1.613  
    185.5   479.762     2.718  
    185.0   512.995     4.348  
    184.5   520.432     4.248  
    184.0   520.828     3.775  
    183.5   572.260     6.142  
    183.0   615.850     7.989  
    182.5   637.609     8.219  
    182.0   747.782    14.098  
    181.5   824.717    14.612  
    181.0   914.317    12.329  
    180.5   992.208    10.998  
    180.0   999.985     0.000  
