#Spectrum Matrix:
#Wvl       1       2       3       4       5       6       7       8       9    
 235.0   -8.443  -7.717  -2.704  -4.287  -2.968  -0.396   0.000  -1.748  -1.055 
 236.0   -6.860  -6.233  -2.111  -3.562  -2.506  -0.099  -0.330  -1.451  -0.923 
 237.0   -5.475  -4.980  -1.649  -2.869  -2.111   0.099  -0.561  -1.187  -0.759 
 238.0   -4.287  -3.925  -1.319  -2.243  -1.748   0.198  -0.660  -0.989  -0.627 
 239.0   -3.331  -3.034  -1.022  -1.814  -1.451   0.231  -0.660  -0.825  -0.495 
 240.0   -2.539  -2.309  -0.759  -1.484  -1.187   0.264  -0.660  -0.660  -0.396 
 241.0   -1.880  -1.715  -0.561  -1.220  -0.956   0.264  -0.693  -0.528  -0.297 
 242.0   -1.385  -1.253  -0.363  -0.989  -0.726   0.264  -0.660  -0.396  -0.231 
 243.0   -1.022  -0.857  -0.198  -0.792  -0.528   0.264  -0.528  -0.330  -0.165 
 244.0   -0.726  -0.561  -0.066  -0.660  -0.396   0.231  -0.330  -0.264  -0.099 
 245.0   -0.495  -0.330   0.000  -0.561  -0.297   0.198  -0.132  -0.198  -0.066 
 246.0   -0.297  -0.165   0.000  -0.462  -0.198   0.198   0.000  -0.132  -0.033 
 247.0   -0.132  -0.066   0.000  -0.396  -0.132   0.198   0.033  -0.066  -0.033 
 248.0   -0.033   0.000   0.000  -0.363  -0.099   0.165   0.000   0.000   0.000 
 249.0   -0.033   0.000   0.000  -0.297  -0.066   0.132   0.000   0.000   0.000 
 250.0   -0.033   0.000   0.000  -0.231  -0.033   0.132   0.000   0.000   0.033 
 251.0   -0.033   0.000   0.000  -0.165   0.000   0.132   0.000   0.000   0.066 
 252.0    0.000   0.000   0.000  -0.132   0.000   0.099   0.000   0.000   0.066 
 253.0    0.000   0.000   0.000  -0.066   0.000   0.066   0.000   0.000   0.099 
 254.0    0.000   0.000   0.000  -0.033   0.000   0.066   0.000   0.000   0.132 
 255.0    0.000   0.000   0.000   0.000   0.000   0.066   0.000   0.000   0.132 
 256.0    0.000   0.000   0.000   0.000   0.000   0.033   0.000   0.000   0.132 
 257.0    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.132 
 258.0    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.099 
 259.0    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.066 
 260.0    0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
#&
#Structure Matrix:
#   Wjk   3-Helix      4-Helix      5-Helix      Bend         Beta-Bridge  Beta-strand  Turn         Unclassified 
      1     3.9         73.9          0.0          2.0          0.0          0.0          8.5         11.8      
      2     8.7         67.2          0.0          3.8          0.0          0.0          9.1         11.1      
      3     0.0         40.8          0.0          8.7          1.9          0.0         16.5         32.0      
      4     9.3         31.0          0.0          6.2          4.7          6.2         24.8         17.8      
      5     2.8         22.3          0.0         12.3          4.3         17.1         10.9         30.3      
      6     3.2         17.7          0.0         10.5          2.4         33.1         14.5         18.5      
      7     2.8          0.0          0.0         10.7          0.5         49.1         14.0         22.9      
      8     3.8          0.0          0.0         13.5          0.8         46.0         11.8         24.1      
      9     3.3          3.0          0.0         14.9          2.3         39.4         14.2         22.8      
#&
#Coefficient Matrix:
#   Cji    Alpha        Beta         Turn         Coil         
      1   0.739        0.000        0.124        0.138      
      2   0.672        0.000        0.178        0.149      
      3   0.408        0.000        0.165        0.426      
      4   0.310        0.062        0.341        0.287      
      5   0.223        0.171        0.137        0.469      
      6   0.177        0.331        0.177        0.314      
      7   0.000        0.491        0.168        0.341      
      8   0.000        0.460        0.156        0.384      
      9   0.030        0.394        0.175        0.400      
#&
